run_name,tokens,learning_rate
Main pretraining,0.0,0.0
Main pretraining,11011011011.011011,1.668335001668335e-05
Main pretraining,22022022022.022022,3.33667000333667e-05
Main pretraining,33033033033.03303,5.0050050050050046e-05
Main pretraining,44044044044.044044,6.67334000667334e-05
Main pretraining,55055055055.05505,8.341675008341675e-05
Main pretraining,66066066066.06606,0.00010010010010010009
Main pretraining,77077077077.07707,0.00011678345011678344
Main pretraining,88088088088.08809,0.0001334668001334668
Main pretraining,99099099099.0991,0.00015015015015015014
Main pretraining,110110110110.1101,0.0001668335001668335
Main pretraining,121121121121.12112,0.00018351685018351684
Main pretraining,132132132132.13213,0.0002
Main pretraining,143143143143.14313,0.0002
Main pretraining,154154154154.15414,0.0002
Main pretraining,165165165165.16516,0.0002
Main pretraining,176176176176.17618,0.0002
Main pretraining,187187187187.1872,0.0002
Main pretraining,198198198198.1982,0.0002
Main pretraining,209209209209.20923,0.0002
Main pretraining,220220220220.2202,0.0002
Main pretraining,231231231231.23126,0.0002
Main pretraining,242242242242.24225,0.0002
Main pretraining,253253253253.25327,0.0002
Main pretraining,264264264264.26425,0.0002
Main pretraining,275275275275.27527,0.0002
Main pretraining,286286286286.28625,0.0002
Main pretraining,297297297297.2973,0.0002
Main pretraining,308308308308.3083,0.0002
Main pretraining,319319319319.31934,0.0002
Main pretraining,330330330330.3303,0.0002
Main pretraining,341341341341.3414,0.0002
Main pretraining,352352352352.35236,0.0002
Main pretraining,363363363363.36334,0.0002
Main pretraining,374374374374.3744,0.0002
Main pretraining,385385385385.3854,0.0002
Main pretraining,396396396396.3964,0.0002
Main pretraining,407407407407.4074,0.0002
Main pretraining,418418418418.41846,0.0002
Main pretraining,429429429429.42944,0.0002
Main pretraining,440440440440.4404,0.0002
Main pretraining,451451451451.4514,0.0002
Main pretraining,462462462462.4625,0.0002
Main pretraining,473473473473.4735,0.0002
Main pretraining,484484484484.4845,0.0002
Main pretraining,495495495495.4955,0.0002
Main pretraining,506506506506.50653,0.0002
Main pretraining,517517517517.5175,0.0002
Main pretraining,528528528528.5285,0.0002
Main pretraining,539539539539.5395,0.0002
Main pretraining,550550550550.5505,0.0002
Main pretraining,561561561561.5615,0.0002
Main pretraining,572572572572.5725,0.0002
Main pretraining,583583583583.5836,0.0002
Main pretraining,594594594594.5946,0.0002
Main pretraining,605605605605.6056,0.0002
Main pretraining,616616616616.6166,0.0002
Main pretraining,627627627627.6276,0.0002
Main pretraining,638638638638.6387,0.0002
Main pretraining,649649649649.6497,0.0002
Main pretraining,660660660660.6606,0.0002
Main pretraining,671671671671.6716,0.0002
Main pretraining,682682682682.6827,0.0002
Main pretraining,693693693693.6936,0.0002
Main pretraining,704704704704.7047,0.0002
Main pretraining,715715715715.7158,0.0002
Main pretraining,726726726726.7267,0.0002
Main pretraining,737737737737.7378,0.0002
Main pretraining,748748748748.7488,0.0002
Main pretraining,759759759759.7598,0.0002
Main pretraining,770770770770.7708,0.0002
Main pretraining,781781781781.7817,0.0002
Main pretraining,792792792792.7928,0.0002
Main pretraining,803803803803.8038,0.0002
Main pretraining,814814814814.8148,0.0002
Main pretraining,825825825825.8258,0.0002
Main pretraining,836836836836.8369,0.0002
Main pretraining,847847847847.8478,0.0002
Main pretraining,858858858858.8589,0.0002
Main pretraining,869869869869.8698,0.0002
Main pretraining,880880880880.8809,0.0002
Main pretraining,891891891891.892,0.0002
Main pretraining,902902902902.9028,0.0002
Main pretraining,913913913913.914,0.0002
Main pretraining,924924924924.925,0.0002
Main pretraining,935935935935.9359,0.0002
Main pretraining,946946946946.947,0.0002
Main pretraining,957957957957.9579,0.0002
Main pretraining,968968968968.969,0.0002
Main pretraining,979979979979.98,0.0002
Main pretraining,990990990990.991,0.0002
Main pretraining,1002002002002.002,0.0002
Main pretraining,1013013013013.0131,0.0002
Main pretraining,1024024024024.024,0.0002
Main pretraining,1035035035035.035,0.0002
Main pretraining,1046046046046.046,0.0002
Main pretraining,1057057057057.057,0.0002
Main pretraining,1068068068068.0681,0.0002
Main pretraining,1079079079079.079,0.0002
Main pretraining,1090090090090.0901,0.0002
Main pretraining,1101101101101.101,0.0002
Main pretraining,1112112112112.112,0.0002
Main pretraining,1123123123123.123,0.0002
Main pretraining,1134134134134.134,0.0002
Main pretraining,1145145145145.145,0.0002
Main pretraining,1156156156156.1562,0.0002
Main pretraining,1167167167167.1672,0.0002
Main pretraining,1178178178178.1782,0.0002
Main pretraining,1189189189189.1892,0.0002
Main pretraining,1200200200200.2002,0.0002
Main pretraining,1211211211211.2112,0.0002
Main pretraining,1222222222222.2222,0.0002
Main pretraining,1233233233233.2332,0.0002
Main pretraining,1244244244244.2444,0.0002
Main pretraining,1255255255255.2551,0.0002
Main pretraining,1266266266266.2664,0.0002
Main pretraining,1277277277277.2773,0.0002
Main pretraining,1288288288288.2883,0.0002
Main pretraining,1299299299299.2993,0.0002
Main pretraining,1310310310310.3103,0.0002
Main pretraining,1321321321321.3213,0.0002
Main pretraining,1332332332332.3323,0.0002
Main pretraining,1343343343343.3433,0.0002
Main pretraining,1354354354354.3542,0.0002
Main pretraining,1365365365365.3655,0.0002
Main pretraining,1376376376376.3765,0.0002
Main pretraining,1387387387387.3872,0.0002
Main pretraining,1398398398398.3984,0.0002
Main pretraining,1409409409409.4094,0.0002
Main pretraining,1420420420420.4204,0.0002
Main pretraining,1431431431431.4316,0.0002
Main pretraining,1442442442442.4424,0.0002
Main pretraining,1453453453453.4534,0.0002
Main pretraining,1464464464464.4644,0.0002
Main pretraining,1475475475475.4756,0.0002
Main pretraining,1486486486486.4866,0.0002
Main pretraining,1497497497497.4976,0.0002
Main pretraining,1508508508508.5083,0.0002
Main pretraining,1519519519519.5195,0.0002
Main pretraining,1530530530530.5305,0.0002
Main pretraining,1541541541541.5415,0.0002
Main pretraining,1552552552552.5527,0.0002
Main pretraining,1563563563563.5635,0.0002
Main pretraining,1574574574574.5745,0.0002
Main pretraining,1585585585585.5857,0.0002
Main pretraining,1596596596596.5967,0.0002
Main pretraining,1607607607607.6077,0.0002
Main pretraining,1618618618618.6184,0.0002
Main pretraining,1629629629629.6296,0.0002
Main pretraining,1640640640640.6406,0.0002
Main pretraining,1651651651651.6516,0.0002
Main pretraining,1662662662662.6628,0.0002
Main pretraining,1673673673673.6738,0.0002
Main pretraining,1684684684684.6846,0.0002
Main pretraining,1695695695695.6956,0.0002
Main pretraining,1706706706706.7068,0.0002
Main pretraining,1717717717717.7178,0.0002
Main pretraining,1728728728728.7288,0.0002
Main pretraining,1739739739739.7395,0.0002
Main pretraining,1750750750750.7507,0.0002
Main pretraining,1761761761761.7617,0.0002
Main pretraining,1772772772772.7727,0.0002
Main pretraining,1783783783783.784,0.0002
Main pretraining,1794794794794.7947,0.0002
Main pretraining,1805805805805.8057,0.0002
Main pretraining,1816816816816.817,0.0002
Main pretraining,1827827827827.828,0.0002
Main pretraining,1838838838838.8389,0.0002
Main pretraining,1849849849849.85,0.0002
Main pretraining,1860860860860.8608,0.0002
Main pretraining,1871871871871.8718,0.0002
Main pretraining,1882882882882.8828,0.0002
Main pretraining,1893893893893.894,0.0002
Main pretraining,1904904904904.905,0.0002
Main pretraining,1915915915915.9158,0.0002
Main pretraining,1926926926926.9268,0.0002
Main pretraining,1937937937937.938,0.0002
Main pretraining,1948948948948.949,0.0002
Main pretraining,1959959959959.96,0.0002
Main pretraining,1970970970970.9707,0.0002
Main pretraining,1981981981981.982,0.0002
Main pretraining,1992992992992.993,0.0002
Main pretraining,2004004004004.004,0.0002
Main pretraining,2015015015015.0151,0.0002
Main pretraining,2026026026026.0261,0.0002
Main pretraining,2037037037037.0369,0.0002
Main pretraining,2048048048048.048,0.0002
Main pretraining,2059059059059.059,0.0002
Main pretraining,2070070070070.07,0.0002
Main pretraining,2081081081081.0813,0.0002
Main pretraining,2092092092092.092,0.0002
Main pretraining,2103103103103.103,0.0002
Main pretraining,2114114114114.114,0.0002
Main pretraining,2125125125125.1252,0.0002
Main pretraining,2136136136136.1362,0.0002
Main pretraining,2147147147147.147,0.0002
Main pretraining,2158158158158.158,0.0002
Main pretraining,2169169169169.1692,0.0002
Main pretraining,2180180180180.1802,0.0002
Main pretraining,2191191191191.1912,0.0002
Main pretraining,2202202202202.202,0.0002
