run_name,tokens,loss
GQA 8 groups (baseline),47185920.0,9.680587768554688
GQA 8 groups (baseline),113246208.0,8.134571075439453
GQA 8 groups (baseline),199753728.0,6.969154357910156
GQA 8 groups (baseline),264241152.0,6.478798866271973
GQA 8 groups (baseline),317718528.0,6.171806812286377
GQA 8 groups (baseline),418381824.0,5.714324951171875
GQA 8 groups (baseline),756547584.0,4.653656005859375
GQA 8 groups (baseline),764411904.0,4.650981426239014
GQA 8 groups (baseline),860356608.0,4.433552265167236
GQA 8 groups (baseline),961019904.0,4.127289772033691
GQA 8 groups (baseline),978321408.0,4.106768608093262
GQA 8 groups (baseline),992477184.0,4.028785228729248
GQA 8 groups (baseline),1162346496.0,3.7261133193969727
GQA 8 groups (baseline),1170210816.0,3.715879440307617
GQA 8 groups (baseline),1283457024.0,3.5617876052856445
GQA 8 groups (baseline),1406140416.0,3.529632329940796
GQA 8 groups (baseline),1524105216.0,3.4238104820251465
GQA 8 groups (baseline),1576009728.0,3.364877223968506
GQA 8 groups (baseline),1999110144.0,3.171480894088745
GQA 8 groups (baseline),2006974464.0,3.1797685623168945
GQA 8 groups (baseline),2137522176.0,3.2135658264160156
GQA 8 groups (baseline),2143813632.0,3.1760025024414062
GQA 8 groups (baseline),2246049792.0,3.0842392444610596
GQA 8 groups (baseline),2272788480.0,3.148294448852539
GQA 8 groups (baseline),2286944256.0,3.0872931480407715
GQA 8 groups (baseline),2340421632.0,3.085750102996826
GQA 8 groups (baseline),2341994496.0,3.0797502994537354
GQA 8 groups (baseline),2403336192.0,3.2118477821350098
GQA 8 groups (baseline),2474115072.0,3.046905040740967
GQA 8 groups (baseline),2521300992.0,3.076505422592163
GQA 8 groups (baseline),2653421568.0,3.0029373168945312
GQA 8 groups (baseline),2721054720.0,3.0424509048461914
GQA 8 groups (baseline),2757230592.0,2.9601447582244873
GQA 8 groups (baseline),2821718016.0,2.9970688819885254
GQA 8 groups (baseline),2879913984.0,3.042203187942505
GQA 8 groups (baseline),2923954176.0,2.946086883544922
GQA 8 groups (baseline),3082813440.0,2.9272191524505615
GQA 8 groups (baseline),3155165184.0,2.9263792037963867
GQA 8 groups (baseline),3202351104.0,2.8914003372192383
GQA 8 groups (baseline),3312451584.0,2.871267318725586
GQA 8 groups (baseline),3570401280.0,2.8642756938934326
GQA 8 groups (baseline),3658481664.0,2.8396410942077637
GQA 8 groups (baseline),3752853504.0,2.816418409347534
GQA 8 groups (baseline),3755999232.0,2.8278393745422363
GQA 8 groups (baseline),3790602240.0,2.8292393684387207
GQA 8 groups (baseline),3897556992.0,2.8382678031921387
GQA 8 groups (baseline),3919577088.0,2.8091683387756348
GQA 8 groups (baseline),3995074560.0,2.8212831020355225
GQA 8 groups (baseline),4205838336.0,2.7993268966674805
GQA 8 groups (baseline),4259315712.0,2.7597813606262207
GQA 8 groups (baseline),4297064448.0,2.763084888458252
GQA 8 groups (baseline),4377280512.0,2.73716402053833
GQA 8 groups (baseline),4529848320.0,2.7448954582214355
GQA 8 groups (baseline),4559732736.0,2.731112003326416
GQA 8 groups (baseline),4578607104.0,2.668797016143799
GQA 8 groups (baseline),4608491520.0,2.7277889251708984
GQA 8 groups (baseline),4896325632.0,2.683786153793335
GQA 8 groups (baseline),4934074368.0,2.6640517711639404
GQA 8 groups (baseline),4963958784.0,2.7158620357513428
GQA 8 groups (baseline),5059903488.0,2.7149059772491455
GQA 8 groups (baseline),5286395904.0,2.670149326324463
GQA 8 groups (baseline),5303697408.0,2.668168544769287
GQA 8 groups (baseline),5350883328.0,2.6636338233947754
GQA 8 groups (baseline),5355601920.0,2.6537468433380127
GQA 8 groups (baseline),5363466240.0,2.703094959259033
GQA 8 groups (baseline),5460983808.0,2.692074775695801
GQA 8 groups (baseline),5494013952.0,2.662574291229248
GQA 8 groups (baseline),5591531520.0,2.659714460372925
GQA 8 groups (baseline),5788139520.0,2.6518421173095703
GQA 8 groups (baseline),5884084224.0,2.659827709197998
GQA 8 groups (baseline),6064963584.0,2.672898769378662
GQA 8 groups (baseline),6115295232.0,2.619428873062134
GQA 8 groups (baseline),6162481152.0,2.6436972618103027
GQA 8 groups (baseline),6414139392.0,2.6154980659484863
GQA 8 groups (baseline),6484918272.0,2.5470662117004395
GQA 8 groups (baseline),6780616704.0,2.568850040435791
GQA 8 groups (baseline),6915883008.0,2.573172092437744
GQA 8 groups (baseline),7011827712.0,2.562521457672119
GQA 8 groups (baseline),7062159360.0,2.565768241882324
GQA 8 groups (baseline),7335837696.0,2.561680793762207
GQA 8 groups (baseline),7403470848.0,2.553500175476074
GQA 8 groups (baseline),7434928128.0,2.533736228942871
GQA 8 groups (baseline),7637827584.0,2.572620153427124
GQA 8 groups (baseline),7688159232.0,2.5258121490478516
GQA 8 groups (baseline),7766802432.0,2.5655577182769775
GQA 8 groups (baseline),7865892864.0,2.543649673461914
GQA 8 groups (baseline),7941390336.0,2.5587754249572754
GQA 8 groups (baseline),7985430528.0,2.513711929321289
GQA 8 groups (baseline),8100249600.0,2.5197372436523438
GQA 8 groups (baseline),8137998336.0,2.54480242729187
GQA 8 groups (baseline),8166309888.0,2.524311065673828
GQA 8 groups (baseline),8207204352.0,2.541774272918701
GQA 8 groups (baseline),8411676672.0,2.498325824737549
GQA 8 groups (baseline),8468299776.0,2.5384581089019775
GQA 8 groups (baseline),8619294720.0,2.5293664932250977
GQA 8 groups (baseline),8627159040.0,2.5344765186309814
GQA 8 groups (baseline),8708947968.0,2.5211868286132812
GQA 8 groups (baseline),8729395200.0,2.5268306732177734
GQA 8 groups (baseline),8892973056.0,2.4925527572631836
GQA 8 groups (baseline),9025093632.0,2.5174965858459473
GQA 8 groups (baseline),9047113728.0,2.5080947875976562
GQA 8 groups (baseline),9065988096.0,2.501438856124878
GQA 8 groups (baseline),9146204160.0,2.491752862930298
GQA 8 groups (baseline),9161932800.0,2.527155876159668
GQA 8 groups (baseline),9229565952.0,2.5097496509552
GQA 8 groups (baseline),9248440320.0,2.51607084274292
GQA 8 groups (baseline),9289334784.0,2.5084569454193115
GQA 8 groups (baseline),9739173888.0,2.509582757949829
GQA 8 groups (baseline),9769058304.0,2.4346165657043457
GQA 8 groups (baseline),9830400000.0,2.4780564308166504
GQA 8 groups (baseline),9948364800.0,2.484213352203369
GQA 8 groups (baseline),10082058240.0,2.4900429248809814
GQA 8 groups (baseline),10115088384.0,2.4821901321411133
GQA 8 groups (baseline),10239344640.0,2.4803719520568848
GQA 8 groups (baseline),10557063168.0,2.447664260864258
GQA 8 groups (baseline),10585374720.0,2.4570212364196777
GQA 8 groups (baseline),10607394816.0,2.4963393211364746
GQA 8 groups (baseline),10621550592.0,2.4820196628570557
GQA 8 groups (baseline),10667163648.0,2.4606165885925293
GQA 8 groups (baseline),10676600832.0,2.484421968460083
GQA 8 groups (baseline),10873208832.0,2.435901641845703
GQA 8 groups (baseline),11017912320.0,2.4648890495300293
GQA 8 groups (baseline),11142168576.0,2.4969725608825684
GQA 8 groups (baseline),11280580608.0,2.452807664871216
GQA 8 groups (baseline),11445731328.0,2.424487829208374
GQA 8 groups (baseline),11518083072.0,2.4714534282684326
GQA 8 groups (baseline),11637620736.0,2.4245011806488037
GQA 8 groups (baseline),11662786560.0,2.461801052093506
GQA 8 groups (baseline),11725701120.0,2.409513473510742
GQA 8 groups (baseline),11749294080.0,2.4182043075561523
GQA 8 groups (baseline),11818500096.0,2.4401988983154297
GQA 8 groups (baseline),11835801600.0,2.441678047180176
GQA 8 groups (baseline),11849957376.0,2.4327127933502197
GQA 8 groups (baseline),11901861888.0,2.4384024143218994
GQA 8 groups (baseline),11944329216.0,2.4645214080810547
GQA 8 groups (baseline),11963203584.0,2.452188491821289
GQA 8 groups (baseline),12011962368.0,2.416614055633545
GQA 8 groups (baseline),12136218624.0,2.443150043487549
GQA 8 groups (baseline),12307660800.0,2.4262516498565674
GQA 8 groups (baseline),12384731136.0,2.423063278198242
GQA 8 groups (baseline),12732334080.0,2.452780246734619
GQA 8 groups (baseline),12798394368.0,2.4409542083740234
GQA 8 groups (baseline),12856590336.0,2.445659637451172
GQA 8 groups (baseline),12941524992.0,2.4544553756713867
GQA 8 groups (baseline),13013876736.0,2.4010398387908936
GQA 8 groups (baseline),13067354112.0,2.4272384643554688
GQA 8 groups (baseline),13197901824.0,2.4457297325134277
GQA 8 groups (baseline),13252952064.0,2.4059455394744873
GQA 8 groups (baseline),13303283712.0,2.398899555206299
GQA 8 groups (baseline),13405519872.0,2.4191322326660156
