original_id,category,subset,x_position,y_position
0,Chart & Table,CoSyn_400k_chart,-5.8737874,15.983195
1,Chart & Table,CoSyn_400k_chart,-4.945642,16.106464
2,Chart & Table,CoSyn_400k_chart,-5.5937595,16.452412
3,Science,CoSyn_400k_chemical,-1.5379021,10.981212
4,OCR QA,CoSyn_400k_diagram,-5.065811,13.181871
5,General VQA,CoSyn_400k_graphic,-0.48748758,15.743629
6,Chart & Table,Unichart,-5.478337,15.044097
7,General VQA,LLaVA_Instruct_150K,-0.04121901,13.326656
original_id,category,subset,x_position,y_position
0,Chart & Table,CoSyn_400k_chart,-5.8737874,15.983195
1,Chart & Table,CoSyn_400k_chart,-4.945642,16.106464
2,Chart & Table,CoSyn_400k_chart,-5.5937595,16.452412
3,Chart & Table,CoSyn_400k_chart,-6.8471727,15.6502905
4,Chart & Table,CoSyn_400k_chart,-4.593728,15.400246
5,Chart & Table,CoSyn_400k_chart,-6.5247335,15.286765
6,Chart & Table,CoSyn_400k_chart,-5.9858575,13.354458
7,Chart & Table,CoSyn_400k_chart,-5.9055824,15.795122
8,Chart & Table,CoSyn_400k_chart,-4.824333,15.338556
9,Chart & Table,CoSyn_400k_chart,-6.677866,14.968742
10,Chart & Table,CoSyn_400k_chart,-5.6846857,16.26988
11,Science,CoSyn_400k_chemical,-1.5379021,10.981212
12,Science,CoSyn_400k_circuit,-5.0486145,14.184427
13,OCR QA,CoSyn_400k_diagram,-5.065811,13.181871
14,OCR QA,CoSyn_400k_diagram,-5.261097,14.098007
15,OCR QA,CoSyn_400k_diagram,-4.6068473,14.401655
16,OCR QA,CoSyn_400k_document,-3.903585,13.690944
17,OCR QA,CoSyn_400k_document,-3.875524,17.058977
18,OCR QA,CoSyn_400k_document,-3.7943916,17.480606
19,OCR QA,CoSyn_400k_document,-4.4624634,17.283459
20,OCR QA,CoSyn_400k_document,-1.7727383,18.533064
21,OCR QA,CoSyn_400k_document,-2.8321483,17.436039
22,OCR QA,CoSyn_400k_document,-6.461951,14.257359
23,General VQA,CoSyn_400k_graphic,-5.8664246,16.971214
24,General VQA,CoSyn_400k_graphic,-0.48748758,15.743629
25,Mathematics,CoSyn_400k_math,-0.03838683,16.25767
26,Mathematics,CoSyn_400k_math,-0.4915684,16.225067
27,Mathematics,CoSyn_400k_math,-1.1946124,16.545416
28,Mathematics,CoSyn_400k_math,-0.534912,16.165432
29,Mathematics,CoSyn_400k_math,0.022691553,16.158678
30,Mathematics,CoSyn_400k_math,0.40876907,16.072973
31,OCR QA,CoSyn_400k_music,-4.5062866,14.961522
32,OCR QA,CoSyn_400k_nutrition,-4.331227,16.355286
33,Chart & Table,CoSyn_400k_table,-5.3820634,16.286442
34,Chart & Table,CoSyn_400k_table,-4.434908,16.792274
35,Chart & Table,CoSyn_400k_table,-6.117985,15.993164
36,Chart & Table,CoSyn_400k_table,-4.9423914,16.244167
37,OCR QA,DoclingMatix,-2.123511,19.758589
38,OCR QA,DoclingMatix,-1.2339255,18.348934
39,OCR QA,DoclingMatix,-2.2721937,17.460812
40,OCR QA,DoclingMatix,-1.4948343,19.09816
41,OCR QA,DoclingMatix,-2.001817,18.948124
42,OCR QA,DoclingMatix,-3.313269,18.66045
43,OCR QA,DoclingMatix,-3.0790706,16.690575
44,OCR QA,DoclingMatix,-2.2622058,18.828022
45,OCR QA,DoclingMatix,-2.583864,18.676437
46,OCR QA,DoclingMatix,-6.403138,14.5712185
47,OCR QA,DoclingMatix,-2.0187643,19.280146
48,OCR QA,DoclingMatix,-1.7590756,18.563002
49,OCR QA,DoclingMatix,-1.2618425,17.422573
50,OCR QA,DoclingMatix,-3.6012855,18.275747
51,OCR QA,DoclingMatix,-2.6068192,17.872808
52,OCR QA,DoclingMatix,-3.283061,18.019083
53,OCR QA,DoclingMatix,-3.0331342,18.203625
54,OCR QA,DoclingMatix,-2.2425787,19.199886
55,OCR QA,DoclingMatix,-1.941939,19.540573
56,OCR QA,DoclingMatix,-2.0318031,15.930559
57,OCR QA,DoclingMatix,-2.3450463,18.587273
58,OCR QA,DoclingMatix,-1.4967664,18.750023
59,OCR QA,DoclingMatix,-3.4411478,17.345871
60,OCR QA,DoclingMatix,-1.6649085,19.57321
61,OCR QA,DoclingMatix,-2.381297,19.393425
62,OCR QA,DoclingMatix,-2.3868053,18.25288
63,OCR QA,DoclingMatix,-3.477942,18.536766
64,OCR QA,DoclingMatix,-3.3863645,18.042032
65,OCR QA,DoclingMatix,-3.381429,19.029367
66,OCR QA,DoclingMatix,-2.0542133,19.27429
67,OCR QA,DoclingMatix,-2.0553746,17.631887
68,OCR QA,DoclingMatix,-1.8904015,18.499573
69,OCR QA,DoclingMatix,-2.3417099,18.13063
70,OCR QA,DoclingMatix,-2.1454659,18.419767
71,OCR QA,DoclingMatix,-2.7915456,19.205055
72,OCR QA,DoclingMatix,-3.7376049,16.510166
73,OCR QA,DoclingMatix,-2.171803,17.909151
74,OCR QA,DoclingMatix,-2.4062195,19.129288
75,OCR QA,DoclingMatix,-3.1809347,18.645334
76,OCR QA,DoclingMatix,-2.0148678,19.54656
77,OCR QA,DoclingMatix,-2.2982774,18.211866
78,OCR QA,DoclingMatix,-1.4421009,16.974617
79,OCR QA,DoclingMatix,-1.792398,17.167984
80,OCR QA,DoclingMatix,-2.3227503,18.35669
81,OCR QA,DoclingMatix,-1.9308434,15.982081
82,OCR QA,DoclingMatix,-3.4728649,18.326372
83,OCR QA,DoclingMatix,-1.9811486,19.728716
84,OCR QA,DoclingMatix,-2.9568808,18.825401
85,OCR QA,DoclingMatix,-4.254185,13.623234
86,OCR QA,DoclingMatix,-4.4296207,15.911434
87,OCR QA,DoclingMatix,-2.482577,17.241879
88,OCR QA,DoclingMatix,-1.9588791,19.403658
89,OCR QA,DoclingMatix,-1.292695,17.806475
90,OCR QA,DoclingMatix,-2.3372555,18.205208
91,OCR QA,DoclingMatix,-2.8207717,19.285505
92,OCR QA,DoclingMatix,-1.9746872,19.76563
93,OCR QA,DoclingMatix,-1.8576025,19.721828
94,OCR QA,DoclingMatix,-1.5742756,19.052324
95,OCR QA,DoclingMatix,-1.8536038,19.753435
96,OCR QA,DoclingMatix,-1.763717,17.355995
97,OCR QA,DoclingMatix,-2.303972,17.225918
98,OCR QA,DoclingMatix,-1.8316678,18.82974
99,OCR QA,DoclingMatix,-1.5295701,19.64252
100,OCR QA,DoclingMatix,-0.9577445,17.73931
101,OCR QA,DoclingMatix,-3.5142593,18.210361
102,OCR QA,DoclingMatix,-1.527282,17.49759
103,OCR QA,DoclingMatix,-2.3261003,18.39049
104,OCR QA,DoclingMatix,-2.4651723,19.005152
105,OCR QA,DoclingMatix,-4.523276,15.443817
106,OCR QA,DoclingMatix,-1.5367091,18.813587
107,OCR QA,DoclingMatix,-2.3303423,18.057833
108,OCR QA,DoclingMatix,-2.1394675,18.376097
109,OCR QA,DoclingMatix,-2.3630292,19.395987
110,OCR QA,DoclingMatix,-1.6529044,19.392685
111,OCR QA,DoclingMatix,-2.4107027,16.50055
112,OCR QA,DoclingMatix,-5.4095883,16.071615
113,OCR QA,DoclingMatix,-3.3529801,18.519686
114,OCR QA,DoclingMatix,-2.9411347,18.826674
115,OCR QA,DoclingMatix,-2.1890736,18.415182
116,OCR QA,DoclingMatix,-2.2139513,18.754198
117,OCR QA,DoclingMatix,-3.2719424,19.08318
118,OCR QA,DoclingMatix,-2.8656187,16.53646
119,OCR QA,DoclingMatix,-1.6826456,18.750132
120,OCR QA,DoclingMatix,-1.482793,18.30256
121,OCR QA,DoclingMatix,-1.4262551,19.035845
122,OCR QA,DoclingMatix,-2.6542027,19.080572
123,OCR QA,DoclingMatix,-1.733341,19.370384
124,OCR QA,DoclingMatix,-2.5386746,18.128016
125,OCR QA,DoclingMatix,-1.9642893,18.426172
126,OCR QA,DoclingMatix,-2.4258876,19.42167
127,OCR QA,DoclingMatix,-4.8599396,15.642522
128,OCR QA,DoclingMatix,-1.4616601,18.574923
129,OCR QA,DoclingMatix,-2.0061698,18.075985
130,OCR QA,DoclingMatix,-2.2746208,19.78703
131,OCR QA,DoclingMatix,-2.6560168,17.990816
132,OCR QA,DoclingMatix,-3.1165454,18.33594
133,OCR QA,DoclingMatix,-1.6757885,17.211813
134,OCR QA,DoclingMatix,-1.4582803,18.53178
135,OCR QA,DoclingMatix,-2.4365861,16.4549
136,OCR QA,DoclingMatix,-1.9898921,18.799305
137,OCR QA,DoclingMatix,-2.3840768,19.101894
138,OCR QA,DoclingMatix,-2.6806266,17.765152
139,OCR QA,DoclingMatix,-1.2126298,18.865656
140,OCR QA,DoclingMatix,-3.1112385,18.96933
141,OCR QA,DoclingMatix,-1.4632803,17.64587
142,OCR QA,DoclingMatix,-1.893244,18.17506
143,OCR QA,DoclingMatix,-1.6842548,17.662289
