original_id,category,subset,user,assistant,x_position,y_position
0,Chart & Table,CoSyn_400k_chart,What percentage of Sam Dickinson’s discography falls under the Pop genre?,"Look at the height of the Pop bar, which is labeled with its percentage value.
Answer: 35%",-5.8737874,15.983195
1,Chart & Table,CoSyn_400k_chart,what is the title of the plot?,"The title is located at the top center of the figure. By looking at that location, we can see the title displayed.
Answer: Emotional Responses to Films",-4.945642,16.106464
2,Chart & Table,CoSyn_400k_chart,Which athlete has the highest number of followers on Instagram?,"By looking at the longest bar for the Instagram category, it's clear that Cristiano Ronaldo has the highest number of followers with 593 million.
Answer: Cristiano Ronaldo",-5.5937595,16.452412
3,Chart & Table,CoSyn_400k_chart,What's the title of the figure?,"The title of the figure is displayed at the top and reads ""Library Resource Usage by Department"".
Answer: Library Resource Usage by Department",-6.8471727,15.6502905
4,Chart & Table,CoSyn_400k_chart,What's the percentage of data successfully migrated to Amazon S3?,"The gauge for Amazon S3 shows a value. Look for the number in this gauge to find the percentage.
Answer: 92.5%",-4.593728,15.400246
5,Chart & Table,CoSyn_400k_chart,What's the highest adoption rate?,"The highest adoption rate is the tallest bar in the chart which represents Kentucky with 62%.
Answer: 62%",-6.5247335,15.286765
6,Chart & Table,CoSyn_400k_chart,What is the total number of Elvis tribute artists registered in 2020?,"To find the total number, add the values for all age groups in 2020. This would be 1500 (18-30) + 2100 (31-45) + 1300 (46-60) + 580 (61+).
Answer: 5480",-5.9858575,13.354458
7,Chart & Table,CoSyn_400k_chart,Which division has the highest fixed costs?,"The fixed costs are represented by the lengths of the bars pointing to the left (negative values) for each division. Look for the longest bar segment among the fixed costs for each division.
Answer: Electronics",-5.9055824,15.795122
8,Chart & Table,CoSyn_400k_chart,What's the title of the map?,"Look at the top center of the map for a large text that describes the purpose of the figure. The title usually summarizes the visual.
Answer: ""Worldwide Cultural Festivals: Density and Diversity""",-4.824333,15.338556
9,Chart & Table,CoSyn_400k_chart,What is the title of the plot?,"The title is usually positioned at the top of the plot and gives an overview of what the plot represents. The title of this plot reads 'Anxiety Levels across Movie Phases and Viewer Experience.'
Answer: Anxiety Levels across Movie Phases and Viewer Experience",-6.677866,14.968742
10,Chart & Table,CoSyn_400k_chart,Which category receives the highest average annual donation?,"The category with the highest average annual donation is the one represented by the longest bar in the figure. Referring to the chart, the longest bar corresponds to ""Church Tithes"" with $2500.
Answer: Church Tithes",-5.6846857,16.26988
11,Science,CoSyn_400k_chemical,What is the primary functional group in this structure?,"The structure contains multiple amide groups indicated by the presence of -C(=O)N- linkages, which are characteristic of proteins and fibers.
Answer: amide",-1.5379021,10.981212
12,Science,CoSyn_400k_circuit,What type of circuit is this?,"This is a strain gauge bridge circuit, which is used to measure changes in resistance caused by strain, primarily in this context for monitoring pressure.
Answer: Strain gauge bridge",-5.0486145,14.184427
13,OCR QA,CoSyn_400k_diagram,What is the top node in the diagram?,"The top node is the starting point of the flowchart, labeled as ""Sneaker Care Routine,"" which directs the flow of the decision process based on the material type of the sneaker.
Answer: Sneaker Care Routine",-5.065811,13.181871
14,OCR QA,CoSyn_400k_diagram,What are the input data types in this pipeline?,"The diagram specifies three input data types: Character dialogue, Narrative descriptions, and Plot events.
Answer: Character dialogue, Narrative descriptions, Plot events",-5.261097,14.098007
15,OCR QA,CoSyn_400k_diagram,What is the central topic of the mind map?,"The central topic is clearly stated at the root of the diagram as ""Influential Islamic Scholars and Their Contributions.""
Answer: Influential Islamic Scholars and Their Contributions",-4.6068473,14.401655
16,OCR QA,CoSyn_400k_document,What is the name of the tour?,"The name of the tour is prominently displayed in the header of the shipping label.
Answer: Global Pop Icon Tour",-3.903585,13.690944
