run_name,metric,tokens,value
GBS 1.5M (baseline),hellaswag,629145600.0,0.2493527185819558
GBS 1.5M (baseline),hellaswag,786432000.0,0.25184226249751046
GBS 1.5M (baseline),hellaswag,943718400.0,0.25632344154550885
GBS 1.5M (baseline),hellaswag,1101004800.0,0.2620991834295957
GBS 1.5M (baseline),hellaswag,1258291200.0,0.26319458275243973
GBS 1.5M (baseline),hellaswag,1572864000.0,0.26618203545110536
GBS 1.5M (baseline),hellaswag,3145728000.0,0.30193188607847044
GBS 1.5M (baseline),hellaswag,4718592000.0,0.32971519617606054
GBS 1.5M (baseline),hellaswag,6291456000.0,0.35062736506671976
GBS 1.5M (baseline),hellaswag,7864320000.0,0.36735710017924716
GBS 1.5M (baseline),hellaswag,9437184000.0,0.3842859988050189
GBS 1.5M (baseline),hellaswag,11010048000.0,0.3948416650069707
GBS 1.5M (baseline),hellaswag,12582912000.0,0.4056960764787891
GBS 1.5M (baseline),hellaswag,14155776000.0,0.41575383389762993
GBS 1.5M (baseline),hellaswag,15728640000.0,0.4250149372634933
GBS 1.5M (baseline),hellaswag,17301504000.0,0.43308105954989046
GBS 1.5M (baseline),hellaswag,18874368000.0,0.4393547102170882
GBS 1.5M (baseline),hellaswag,20447232000.0,0.4418442541326429
GBS 1.5M (baseline),hellaswag,22020096000.0,0.4462258514240191
GBS 1.5M (baseline),hellaswag,23592960000.0,0.4554869547898825
GBS 1.5M (baseline),hellaswag,25165824000.0,0.46016729735112527
GBS 1.5M (baseline),hellaswag,26738688000.0,0.465345548695479
GBS 1.5M (baseline),hellaswag,28311552000.0,0.47012547301334395
GBS 1.5M (baseline),hellaswag,29884416000.0,0.4766978689504083
GBS 1.5M (baseline),hellaswag,31457280000.0,0.47918741286596295
GBS 1.5M (baseline),hellaswag,33030144000.0,0.48078072097191793
GBS 1.5M (baseline),hellaswag,34603008000.0,0.4865564628560048
GBS 1.5M (baseline),hellaswag,36175872000.0,0.4876518621788488
GBS 1.5M (baseline),hellaswag,37748736000.0,0.49044015136427005
GBS 1.5M (baseline),hellaswag,39321600000.0,0.49063931487751444
GBS 1.5M (baseline),hellaswag,40894464000.0,0.4931288587930691
GBS 1.5M (baseline),hellaswag,42467328000.0,0.4918342959569807
GBS 1.5M (baseline),hellaswag,44040192000.0,0.49512049392551283
GBS 1.5M (baseline),hellaswag,45613056000.0,0.5008962358095996
GBS 1.5M (baseline),hellaswag,47185920000.0,0.5011949810794663
GBS 1.5M (baseline),hellaswag,47185920000.0,0.5011949810794663
GBS 1.5M (baseline),mmlu,629145600.0,0.2489163499384853
GBS 1.5M (baseline),mmlu,786432000.0,0.2517603616264398
GBS 1.5M (baseline),mmlu,943718400.0,0.25724213780689
