run_name,steps,learning_rate
Multi-Step,0,0.0
Multi-Step,1,1.0000000000000001e-07
Multi-Step,2,2.0000000000000002e-07
Multi-Step,3,3.0000000000000004e-07
Multi-Step,4,4.0000000000000003e-07
Multi-Step,5,5.000000000000001e-07
Multi-Step,6,6.000000000000001e-07
Multi-Step,7,7.000000000000001e-07
Multi-Step,8,8.000000000000001e-07
Multi-Step,9,9e-07
Multi-Step,10,1.0000000000000002e-06
Multi-Step,11,1.1e-06
Multi-Step,12,1.2000000000000002e-06
Multi-Step,13,1.3e-06
Multi-Step,14,1.4000000000000001e-06
Multi-Step,15,1.5e-06
Multi-Step,16,1.6000000000000001e-06
Multi-Step,17,1.7000000000000002e-06
Multi-Step,18,1.8e-06
Multi-Step,19,1.9e-06
Multi-Step,20,2.0000000000000003e-06
Multi-Step,21,2.1000000000000002e-06
Multi-Step,22,2.2e-06
Multi-Step,23,2.3e-06
Multi-Step,24,2.4000000000000003e-06
Multi-Step,25,2.5e-06
Multi-Step,26,2.6e-06
Multi-Step,27,2.7e-06
Multi-Step,28,2.8000000000000003e-06
Multi-Step,29,2.9e-06
Multi-Step,30,3e-06
Multi-Step,31,3.1e-06
Multi-Step,32,3.2000000000000003e-06
Multi-Step,33,3.3e-06
Multi-Step,34,3.4000000000000005e-06
Multi-Step,35,3.5000000000000004e-06
Multi-Step,36,3.6e-06
Multi-Step,37,3.7e-06
Multi-Step,38,3.8e-06
Multi-Step,39,3.9e-06
Multi-Step,40,4.000000000000001e-06
Multi-Step,41,4.1000000000000006e-06
Multi-Step,42,4.2000000000000004e-06
Multi-Step,43,4.2999999999999995e-06
Multi-Step,44,4.4e-06
Multi-Step,45,4.5e-06
Multi-Step,46,4.6e-06
Multi-Step,47,4.7e-06
Multi-Step,48,4.800000000000001e-06
Multi-Step,49,4.9000000000000005e-06
Multi-Step,50,5e-06
Multi-Step,51,5.1e-06
Multi-Step,52,5.2e-06
Multi-Step,53,5.3e-06
Multi-Step,54,5.4e-06
Multi-Step,55,5.500000000000001e-06
Multi-Step,56,5.600000000000001e-06
Multi-Step,57,5.7000000000000005e-06
Multi-Step,58,5.8e-06
Multi-Step,59,5.9e-06
Multi-Step,60,6e-06
Multi-Step,61,6.1e-06
Multi-Step,62,6.2e-06
Multi-Step,63,6.300000000000001e-06
Multi-Step,64,6.4000000000000006e-06
Multi-Step,65,6.5000000000000004e-06
Multi-Step,66,6.6e-06
Multi-Step,67,6.700000000000001e-06
Multi-Step,68,6.800000000000001e-06
Multi-Step,69,6.900000000000001e-06
Multi-Step,70,7.000000000000001e-06
Multi-Step,71,7.1e-06
Multi-Step,72,7.2e-06
Multi-Step,73,7.2999999999999996e-06
Multi-Step,74,7.4e-06
Multi-Step,75,7.5e-06
Multi-Step,76,7.6e-06
Multi-Step,77,7.7e-06
Multi-Step,78,7.8e-06
Multi-Step,79,7.9e-06
Multi-Step,80,8.000000000000001e-06
Multi-Step,81,8.1e-06
Multi-Step,82,8.200000000000001e-06
Multi-Step,83,8.3e-06
Multi-Step,84,8.400000000000001e-06
Multi-Step,85,8.500000000000002e-06
Multi-Step,86,8.599999999999999e-06
Multi-Step,87,8.7e-06
Multi-Step,88,8.8e-06
Multi-Step,89,8.9e-06
Multi-Step,90,9e-06
Multi-Step,91,9.100000000000001e-06
Multi-Step,92,9.2e-06
Multi-Step,93,9.3e-06
Multi-Step,94,9.4e-06
Multi-Step,95,9.5e-06
Multi-Step,96,9.600000000000001e-06
Multi-Step,97,9.7e-06
Multi-Step,98,9.800000000000001e-06
Multi-Step,99,9.900000000000002e-06
Multi-Step,100,1e-05
Multi-Step,101,1.0100000000000002e-05
Multi-Step,102,1.02e-05
Multi-Step,103,1.03e-05
Multi-Step,104,1.04e-05
Multi-Step,105,1.05e-05
Multi-Step,106,1.06e-05
Multi-Step,107,1.0700000000000001e-05
Multi-Step,108,1.08e-05
Multi-Step,109,1.09e-05
Multi-Step,110,1.1000000000000001e-05
Multi-Step,111,1.11e-05
Multi-Step,112,1.1200000000000001e-05
Multi-Step,113,1.13e-05
Multi-Step,114,1.1400000000000001e-05
Multi-Step,115,1.1500000000000002e-05
Multi-Step,116,1.16e-05
Multi-Step,117,1.1700000000000001e-05
Multi-Step,118,1.18e-05
Multi-Step,119,1.19e-05
Multi-Step,120,1.2e-05
Multi-Step,121,1.2100000000000001e-05
Multi-Step,122,1.22e-05
Multi-Step,123,1.23e-05
Multi-Step,124,1.24e-05
Multi-Step,125,1.25e-05
Multi-Step,126,1.2600000000000001e-05
