run_name,metric,tokens,value
No doc masking (baseline),hellaswag,629145600.0,0.2493527185819558
No doc masking (baseline),hellaswag,786432000.0,0.25184226249751046
No doc masking (baseline),hellaswag,943718400.0,0.25632344154550885
No doc masking (baseline),hellaswag,1101004800.0,0.2620991834295957
No doc masking (baseline),hellaswag,1258291200.0,0.26319458275243973
No doc masking (baseline),hellaswag,1572864000.0,0.26618203545110536
No doc masking (baseline),hellaswag,3145728000.0,0.30193188607847044
No doc masking (baseline),hellaswag,4718592000.0,0.32971519617606054
No doc masking (baseline),hellaswag,6291456000.0,0.35062736506671976
No doc masking (baseline),hellaswag,7864320000.0,0.36735710017924716
No doc masking (baseline),hellaswag,9437184000.0,0.3842859988050189
No doc masking (baseline),hellaswag,11010048000.0,0.3948416650069707
No doc masking (baseline),hellaswag,12582912000.0,0.4056960764787891
No doc masking (baseline),hellaswag,14155776000.0,0.41575383389762993
No doc masking (baseline),hellaswag,15728640000.0,0.4250149372634933
No doc masking (baseline),hellaswag,17301504000.0,0.43308105954989046
No doc masking (baseline),hellaswag,18874368000.0,0.4393547102170882
No doc masking (baseline),hellaswag,20447232000.0,0.4418442541326429
No doc masking (baseline),hellaswag,22020096000.0,0.4462258514240191
No doc masking (baseline),hellaswag,23592960000.0,0.4554869547898825
No doc masking (baseline),hellaswag,25165824000.0,0.46016729735112527
No doc masking (baseline),hellaswag,26738688000.0,0.465345548695479
No doc masking (baseline),hellaswag,28311552000.0,0.47012547301334395
No doc masking (baseline),hellaswag,29884416000.0,0.4766978689504083
No doc masking (baseline),hellaswag,31457280000.0,0.47918741286596295
No doc masking (baseline),hellaswag,33030144000.0,0.48078072097191793
No doc masking (baseline),hellaswag,34603008000.0,0.4865564628560048
No doc masking (baseline),hellaswag,36175872000.0,0.4876518621788488
No doc masking (baseline),hellaswag,37748736000.0,0.49044015136427005
No doc masking (baseline),hellaswag,39321600000.0,0.49063931487751444
No doc masking (baseline),hellaswag,40894464000.0,0.4931288587930691
No doc masking (baseline),hellaswag,42467328000.0,0.4918342959569807
No doc masking (baseline),hellaswag,44040192000.0,0.49512049392551283
No doc masking (baseline),hellaswag,45613056000.0,0.5008962358095996
No doc masking (baseline),hellaswag,47185920000.0,0.5011949810794663
No doc masking (baseline),hellaswag,47185920000.0,0.5011949810794663
No doc masking (baseline),mmlu,629145600.0,0.2489163499384853
No doc masking (baseline),mmlu,786432000.0,0.2517603616264398
No doc masking (baseline),mmlu,943718400.0,0.25724213780689
No doc masking (baseline),mmlu,1101004800.0,0.25680173747753837
No doc masking (baseline),mmlu,1258291200.0,0.25669502347341705
No doc masking (baseline),mmlu,1572864000.0,0.2529772632728836
No doc masking (baseline),mmlu,3145728000.0,0.266739436414485
No doc masking (baseline),mmlu,4718592000.0,0.2761609150042153
No doc masking (baseline),mmlu,6291456000.0,0.27730228072464913
No doc masking (baseline),mmlu,7864320000.0,0.2887388551122367
No doc masking (baseline),mmlu,9437184000.0,0.2953111113032989
No doc masking (baseline),mmlu,11010048000.0,0.2970070415346663
No doc masking (baseline),mmlu,12582912000.0,0.3007672634359463
No doc masking (baseline),mmlu,14155776000.0,0.30561499053592006
No doc masking (baseline),mmlu,15728640000.0,0.3041190871315019
No doc masking (baseline),mmlu,17301504000.0,0.30460641017653367
No doc masking (baseline),mmlu,18874368000.0,0.31062281378537093
No doc masking (baseline),mmlu,20447232000.0,0.31986412164024264
No doc masking (baseline),mmlu,22020096000.0,0.3123236868278878
No doc masking (baseline),mmlu,23592960000.0,0.316372229668946
No doc masking (baseline),mmlu,25165824000.0,0.3139885571253008
No doc masking (baseline),mmlu,26738688000.0,0.3162923575086662
No doc masking (baseline),mmlu,28311552000.0,0.31967181375719017
No doc masking (baseline),mmlu,29884416000.0,0.32451565902328705
No doc masking (baseline),mmlu,31457280000.0,0.32343607991224915
No doc masking (baseline),mmlu,33030144000.0,0.32311396751649274
No doc masking (baseline),mmlu,34603008000.0,0.328688062201764
No doc masking (baseline),mmlu,36175872000.0,0.32595165000892123
No doc masking (baseline),mmlu,37748736000.0,0.32130001597034497
No doc masking (baseline),mmlu,39321600000.0,0.3287989794742651
No doc masking (baseline),mmlu,40894464000.0,0.3253808507449651
No doc masking (baseline),mmlu,42467328000.0,0.32714305078178496
No doc masking (baseline),mmlu,44040192000.0,0.32491375376743536
No doc masking (baseline),mmlu,45613056000.0,0.3284839336158802
No doc masking (baseline),mmlu,47185920000.0,0.33255698746721873
No doc masking (baseline),mmlu,47185920000.0,0.33255698746721873
No doc masking (baseline),arc,629145600.0,0.2565443973293803
No doc masking (baseline),arc,786432000.0,0.26943280932188785
No doc masking (baseline),arc,943718400.0,0.2660255857781455
No doc masking (baseline),arc,1101004800.0,0.2715027119890601
No doc masking (baseline),arc,1258291200.0,0.28014789533560863
No doc masking (baseline),arc,1572864000.0,0.2887471127658841
No doc masking (baseline),arc,3145728000.0,0.3456917008538169
No doc masking (baseline),arc,4718592000.0,0.3634546546235966
No doc masking (baseline),arc,6291456000.0,0.3896638455085554
No doc masking (baseline),arc,7864320000.0,0.39786517047609204
No doc masking (baseline),arc,9437184000.0,0.40465663460544005
No doc masking (baseline),arc,11010048000.0,0.4021428735592558
No doc masking (baseline),arc,12582912000.0,0.4285337734569816
No doc masking (baseline),arc,14155776000.0,0.4338579193527999
No doc masking (baseline),arc,15728640000.0,0.4484355787683433
No doc masking (baseline),arc,17301504000.0,0.43825412831385524
No doc masking (baseline),arc,18874368000.0,0.4573371657416026
No doc masking (baseline),arc,20447232000.0,0.46049373139816824
No doc masking (baseline),arc,22020096000.0,0.452667315935234
No doc masking (baseline),arc,23592960000.0,0.45706352489628943
No doc masking (baseline),arc,25165824000.0,0.445835631629147
No doc masking (baseline),arc,26738688000.0,0.4612665333655095
No doc masking (baseline),arc,28311552000.0,0.4629672722676136
No doc masking (baseline),arc,29884416000.0,0.4652878328219625
No doc masking (baseline),arc,31457280000.0,0.4716526757909011
No doc masking (baseline),arc,33030144000.0,0.4716526757909011
No doc masking (baseline),arc,34603008000.0,0.48025189322117645
No doc masking (baseline),arc,36175872000.0,0.4707994334700819
No doc masking (baseline),arc,37748736000.0,0.4714479838199975
No doc masking (baseline),arc,39321600000.0,0.47228973466174834
No doc masking (baseline),arc,40894464000.0,0.48265289412900336
No doc masking (baseline),arc,42467328000.0,0.48094066374783095
No doc masking (baseline),arc,44040192000.0,0.4840972294043967
No doc masking (baseline),arc,45613056000.0,0.48431341285436846
No doc masking (baseline),arc,47185920000.0,0.48373381137886257
No doc masking (baseline),arc,47185920000.0,0.48373381137886257
No doc masking (baseline),piqa,629145600.0,0.5272034820457019
No doc masking (baseline),piqa,786432000.0,0.5250272034820457
No doc masking (baseline),piqa,943718400.0,0.5359085963003264
No doc masking (baseline),piqa,1101004800.0,0.5424374319912949
No doc masking (baseline),piqa,1258291200.0,0.558215451577802
No doc masking (baseline),piqa,1572864000.0,0.5712731229597389
No doc masking (baseline),piqa,3145728000.0,0.5973884657236126
No doc masking (baseline),piqa,4718592000.0,0.6153427638737758
No doc masking (baseline),piqa,6291456000.0,0.6349292709466812
No doc masking (baseline),piqa,7864320000.0,0.6452665941240479
No doc masking (baseline),piqa,9437184000.0,0.6583242655059848
No doc masking (baseline),piqa,11010048000.0,0.6610446137105549
No doc masking (baseline),piqa,12582912000.0,0.6708378672470077
No doc masking (baseline),piqa,14155776000.0,0.6659412404787813
No doc masking (baseline),piqa,15728640000.0,0.6822633297062024
No doc masking (baseline),piqa,17301504000.0,0.6789989118607181
No doc masking (baseline),piqa,18874368000.0,0.6789989118607181
No doc masking (baseline),piqa,20447232000.0,0.7007616974972797
No doc masking (baseline),piqa,22020096000.0,0.6893362350380848
No doc masking (baseline),piqa,23592960000.0,0.6936887921653971
No doc masking (baseline),piqa,25165824000.0,0.6898803046789989
No doc masking (baseline),piqa,26738688000.0,0.690424374319913
No doc masking (baseline),piqa,28311552000.0,0.6947769314472253
No doc masking (baseline),piqa,29884416000.0,0.6947769314472253
No doc masking (baseline),piqa,31457280000.0,0.7002176278563657
No doc masking (baseline),piqa,33030144000.0,0.6964091403699674
No doc masking (baseline),piqa,34603008000.0,0.705658324265506
