run_name,tokens,loss
No doc masking (baseline),11010048.0,12.117668151855469
No doc masking (baseline),25165824.0,10.72366714477539
No doc masking (baseline),349175808.0,5.997757911682129
No doc masking (baseline),352321536.0,5.998300552368164
No doc masking (baseline),380633088.0,5.831534385681152
No doc masking (baseline),553648128.0,5.241981029510498
No doc masking (baseline),629145600.0,5.031440734863281
No doc masking (baseline),742391808.0,4.723248481750488
No doc masking (baseline),756547584.0,4.653656005859375
No doc masking (baseline),860356608.0,4.433552265167236
No doc masking (baseline),998768640.0,4.0411577224731445
No doc masking (baseline),1009778688.0,3.9860594272613525
No doc masking (baseline),1129316352.0,3.7510929107666016
No doc masking (baseline),1168637952.0,3.687824010848999
No doc masking (baseline),1621622784.0,3.3437957763671875
No doc masking (baseline),1626341376.0,3.4005393981933594
No doc masking (baseline),1874853888.0,3.265878438949585
No doc masking (baseline),1923612672.0,3.191035747528076
No doc masking (baseline),1944059904.0,3.195054054260254
No doc masking (baseline),2002255872.0,3.1957554817199707
No doc masking (baseline),2113929216.0,3.1253411769866943
No doc masking (baseline),2161115136.0,3.1367647647857666
No doc masking (baseline),2308964352.0,3.1096177101135254
No doc masking (baseline),2326265856.0,3.0982401371002197
No doc masking (baseline),2488270848.0,3.0411911010742188
No doc masking (baseline),2623537152.0,3.009819746017456
No doc masking (baseline),2664431616.0,2.9964160919189453
No doc masking (baseline),2873622528.0,3.0315895080566406
No doc masking (baseline),2990014464.0,2.9680728912353516
No doc masking (baseline),3001024512.0,2.973097562789917
No doc masking (baseline),3177185280.0,2.937756299972534
No doc masking (baseline),3216506880.0,2.9358224868774414
No doc masking (baseline),3265265664.0,2.978731155395508
No doc masking (baseline),3372220416.0,2.9464499950408936
No doc masking (baseline),3490185216.0,2.876661777496338
No doc masking (baseline),3515351040.0,2.8993642330169678
No doc masking (baseline),3634888704.0,2.885251522064209
No doc masking (baseline),3704094720.0,2.8305861949920654
No doc masking (baseline),3806330880.0,2.7564356327056885
No doc masking (baseline),3881828352.0,2.834218978881836
No doc masking (baseline),3892838400.0,2.775860071182251
No doc masking (baseline),3968335872.0,2.8032798767089844
No doc masking (baseline),4135059456.0,2.775966167449951
No doc masking (baseline),4169662464.0,2.7447328567504883
No doc masking (baseline),4212129792.0,2.8320980072021484
No doc masking (baseline),4240441344.0,2.781916618347168
No doc masking (baseline),4341104640.0,2.7158122062683105
No doc masking (baseline),4562878464.0,2.7394580841064453
No doc masking (baseline),4569169920.0,2.7367947101593018
No doc masking (baseline),4954521600.0,2.692891836166382
No doc masking (baseline),5147983872.0,2.724738836288452
No doc masking (baseline),5176295424.0,2.7010674476623535
No doc masking (baseline),5239209984.0,2.6500253677368164
No doc masking (baseline),5247074304.0,2.6278133392333984
No doc masking (baseline),5470420992.0,2.6659340858459473
No doc masking (baseline),5479858176.0,2.637543201446533
No doc masking (baseline),5519179776.0,2.6567306518554688
No doc masking (baseline),5660737536.0,2.6559207439422607
No doc masking (baseline),5671747584.0,2.6579983234405518
No doc masking (baseline),5747245056.0,2.6052279472351074
No doc masking (baseline),5836898304.0,2.5909528732299805
No doc masking (baseline),5844762624.0,2.627671241760254
No doc masking (baseline),5907677184.0,2.6081185340881348
No doc masking (baseline),6159335424.0,2.5830514430999756
No doc masking (baseline),6473908224.0,2.5755367279052734
No doc masking (baseline),6640631808.0,2.5931694507598877
No doc masking (baseline),6689390592.0,2.6053271293640137
