run,step,metric,value,stderr
Baseline,300,ai2d_exact_match,0.2551813471502591,0.007846598309236504
Baseline,300,average,0.1836384379377178,
Baseline,300,average_rank,1.4444444444444444,
Baseline,300,chartqa_relaxed_overall,0.1328,0.006788526912302523
Baseline,300,docvqa_val_anls,0.1503143424142802,0.004151727384820528
Baseline,300,infovqa_val_anls,0.11374396685909084,0.005163280990095591
Baseline,300,mme_total_score,691.1952781112445,
Baseline,300,mmmu_val_mmmu_acc,0.26556,
Baseline,300,mmstar_average,0.2859278470781123,
Baseline,300,ocrbench_ocrbench_accuracy,0.149,
Baseline,300,textvqa_val_exact_match,0.11657999999999999,0.004405144921606561
Baseline,1500,ai2d_exact_match,0.27525906735751293,0.008038849490577982
Baseline,1500,average,0.318819844462715,
Baseline,1500,average_rank,1.2222222222222223,
Baseline,1500,chartqa_relaxed_overall,0.374,0.009679208378267924
Baseline,1500,docvqa_val_anls,0.437411196849637,0.0061765544267728045
Baseline,1500,infovqa_val_anls,0.21582289145457856,0.006873661480889723
Baseline,1500,mme_total_score,1066.704581832733,
Baseline,1500,mmmu_val_mmmu_acc,0.24,
Baseline,1500,mmstar_average,0.23474560003999134,
Baseline,1500,ocrbench_ocrbench_accuracy,0.411,
Baseline,1500,textvqa_val_exact_match,0.36232000000000003,0.006579840604488538
Baseline,2700,ai2d_exact_match,0.27849740932642486,0.008067913113285858
Baseline,2700,average,0.36471172748595665,
Baseline,2700,average_rank,1.4444444444444444,
Baseline,2700,chartqa_relaxed_overall,0.4624,0.00997367964766694
Baseline,2700,docvqa_val_anls,0.4953558755845657,0.006275075768152338
Baseline,2700,infovqa_val_anls,0.20975551937756792,0.006468441430093479
Baseline,2700,mme_total_score,1172.469887955182,
Baseline,2700,mmmu_val_mmmu_acc,0.27111,
Baseline,2700,mmstar_average,0.2503150155990948,
Baseline,2700,ocrbench_ocrbench_accuracy,0.486,
Baseline,2700,textvqa_val_exact_match,0.46426000000000006,0.006792330795207658
Baseline,3900,ai2d_exact_match,0.35038860103626945,0.008586842325753156
Baseline,3900,average,0.398537125609502,
Baseline,3900,average_rank,1.4444444444444444,
Baseline,3900,chartqa_relaxed_overall,0.4948,0.010001459677380663
Baseline,3900,docvqa_val_anls,0.5407649774017467,0.00626354456311192
Baseline,3900,infovqa_val_anls,0.22943878312324553,0.006664668392753554
