Step,tokenizedbytes_dataloader,tokenizedbytes_dataloader__MIN,tokenizedbytes_dataloader__MAX,nanosets_dataloader,nanosets_dataloader__MIN,nanosets_dataloader__MAX
0,12.165674209594727,12.165674209594727,12.165674209594727,12.177990913391113,12.177990913391113,12.177990913391113
1,12.165860176086426,12.165860176086426,12.165860176086426,12.175806999206543,12.175806999206543,12.175806999206543
2,,,,12.17874813079834,12.17874813079834,12.17874813079834
4,12.166050910949707,12.166050910949707,12.166050910949707,,,
5,,,,12.174018859863281,12.174018859863281,12.174018859863281
6,12.161487579345703,12.161487579345703,12.161487579345703,12.173008918762207,12.173008918762207,12.173008918762207
7,12.15228271484375,12.15228271484375,12.15228271484375,,,
8,12.146592140197754,12.146592140197754,12.146592140197754,,,
10,,,,12.121856689453125,12.121856689453125,12.121856689453125
12,,,,12.106840133666992,12.106840133666992,12.106840133666992
14,11.950461387634277,11.950461387634277,11.950461387634277,,,
18,11.788556098937988,11.788556098937988,11.788556098937988,,,
19,,,,11.647221565246582,11.647221565246582,11.647221565246582
21,11.446194648742676,11.446194648742676,11.446194648742676,,,
23,11.227798461914062,11.227798461914062,11.227798461914062,,,
26,11.06544303894043,11.06544303894043,11.06544303894043,,,
27,,,,10.994245529174805,10.994245529174805,10.994245529174805
30,10.830835342407227,10.830835342407227,10.830835342407227,,,
31,,,,10.772809982299805,10.772809982299805,10.772809982299805
35,10.536271095275879,10.536271095275879,10.536271095275879,,,
37,10.52544116973877,10.52544116973877,10.52544116973877,,,
40,10.423612594604492,10.423612594604492,10.423612594604492,,,
41,,,,10.400264739990234,10.400264739990234,10.400264739990234
43,10.269878387451172,10.269878387451172,10.269878387451172,,,
44,10.28395938873291,10.28395938873291,10.28395938873291,,,
46,,,,10.213187217712402,10.213187217712402,10.213187217712402
47,10.160910606384277,10.160910606384277,10.160910606384277,10.185371398925781,10.185371398925781,10.185371398925781
49,,,,10.139161109924316,10.139161109924316,10.139161109924316
51,10.067052841186523,10.067052841186523,10.067052841186523,,,
52,10.04611873626709,10.04611873626709,10.04611873626709,10.090629577636719,10.090629577636719,10.090629577636719
53,10.025182723999023,10.025182723999023,10.025182723999023,,,
54,,,,10.0411376953125,10.0411376953125,10.0411376953125
56,,,,9.96702766418457,9.96702766418457,9.96702766418457
58,,,,9.93408489227295,9.93408489227295,9.93408489227295
60,,,,9.90023422241211,9.90023422241211,9.90023422241211
61,,,,9.816871643066406,9.816871643066406,9.816871643066406
62,,,,9.814550399780273,9.814550399780273,9.814550399780273
64,9.739097595214844,9.739097595214844,9.739097595214844,,,
68,9.67066478729248,9.67066478729248,9.67066478729248,9.729722023010254,9.729722023010254,9.729722023010254
72,9.551864624023438,9.551864624023438,9.551864624023438,9.59650993347168,9.59650993347168,9.59650993347168
73,,,,9.605148315429688,9.605148315429688,9.605148315429688
77,9.458970069885254,9.458970069885254,9.458970069885254,,,
81,,,,9.404787063598633,9.404787063598633,9.404787063598633
87,9.229109764099121,9.229109764099121,9.229109764099121,,,
91,,,,9.186656951904297,9.186656951904297,9.186656951904297
93,9.137174606323242,9.137174606323242,9.137174606323242,9.139575004577637,9.139575004577637,9.139575004577637
95,,,,9.089792251586914,9.089792251586914,9.089792251586914
96,9.01778793334961,9.01778793334961,9.01778793334961,9.10522174835205,9.10522174835205,9.10522174835205
97,,,,9.05137825012207,9.05137825012207,9.05137825012207
98,,,,9.065345764160156,9.065345764160156,9.065345764160156
99,,,,9.007550239562988,9.007550239562988,9.007550239562988
103,8.93493366241455,8.93493366241455,8.93493366241455,,,
109,8.913215637207031,8.913215637207031,8.913215637207031,,,
110,,,,8.871101379394531,8.871101379394531,8.871101379394531
111,8.782673835754395,8.782673835754395,8.782673835754395,8.912692070007324,8.912692070007324,8.912692070007324
114,8.790328025817871,8.790328025817871,8.790328025817871,8.84073543548584,8.84073543548584,8.84073543548584
115,,,,8.796310424804688,8.796310424804688,8.796310424804688
116,,,,8.874309539794922,8.874309539794922,8.874309539794922
118,8.73735523223877,8.73735523223877,8.73735523223877,,,
119,8.668875694274902,8.668875694274902,8.668875694274902,8.756534576416016,8.756534576416016,8.756534576416016
121,8.649703979492188,8.649703979492188,8.649703979492188,8.694944381713867,8.694944381713867,8.694944381713867
122,,,,8.680499076843262,8.680499076843262,8.680499076843262
123,8.68066692352295,8.68066692352295,8.68066692352295,,,
125,8.571925163269043,8.571925163269043,8.571925163269043,,,
126,,,,8.645256042480469,8.645256042480469,8.645256042480469
129,8.595703125,8.595703125,8.595703125,,,
130,8.493919372558594,8.493919372558594,8.493919372558594,,,
131,8.507343292236328,8.507343292236328,8.507343292236328,8.576356887817383,8.576356887817383,8.576356887817383
134,8.462629318237305,8.462629318237305,8.462629318237305,,,
135,,,,8.489931106567383,8.489931106567383,8.489931106567383
140,8.391609191894531,8.391609191894531,8.391609191894531,8.416340827941895,8.416340827941895,8.416340827941895
142,8.382604598999023,8.382604598999023,8.382604598999023,,,
144,8.388494491577148,8.388494491577148,8.388494491577148,,,
145,8.322717666625977,8.322717666625977,8.322717666625977,,,
146,,,,8.37177848815918,8.37177848815918,8.37177848815918
148,,,,8.37082290649414,8.37082290649414,8.37082290649414
149,8.313365936279297,8.313365936279297,8.313365936279297,,,
150,8.309553146362305,8.309553146362305,8.309553146362305,8.3302640914917,8.3302640914917,8.3302640914917
152,,,,8.248601913452148,8.248601913452148,8.248601913452148
154,,,,8.248778343200684,8.248778343200684,8.248778343200684
155,,,,8.23073959350586,8.23073959350586,8.23073959350586
157,8.207026481628418,8.207026481628418,8.207026481628418,8.20120906829834,8.20120906829834,8.20120906829834
159,8.201909065246582,8.201909065246582,8.201909065246582,8.146533012390137,8.146533012390137,8.146533012390137
161,8.152731895446777,8.152731895446777,8.152731895446777,8.154961585998535,8.154961585998535,8.154961585998535
162,,,,8.094842910766602,8.094842910766602,8.094842910766602
163,8.097823143005371,8.097823143005371,8.097823143005371,,,
164,8.106817245483398,8.106817245483398,8.106817245483398,,,
167,,,,8.035333633422852,8.035333633422852,8.035333633422852
171,,,,8.018726348876953,8.018726348876953,8.018726348876953
172,8.029316902160645,8.029316902160645,8.029316902160645,7.989353179931641,7.989353179931641,7.989353179931641
174,,,,7.970688819885254,7.970688819885254,7.970688819885254
175,8.00088882446289,8.00088882446289,8.00088882446289,7.971275329589844,7.971275329589844,7.971275329589844
176,7.927359580993652,7.927359580993652,7.927359580993652,,,
177,7.969505310058594,7.969505310058594,7.969505310058594,,,
180,7.866000652313232,7.866000652313232,7.866000652313232,,,
181,7.934378623962402,7.934378623962402,7.934378623962402,,,
182,,,,7.867792129516602,7.867792129516602,7.867792129516602
183,7.807697772979736,7.807697772979736,7.807697772979736,,,
185,7.857108116149902,7.857108116149902,7.857108116149902,,,
190,,,,7.827660083770752,7.827660083770752,7.827660083770752
191,7.738930702209473,7.738930702209473,7.738930702209473,7.7904953956604,7.7904953956604,7.7904953956604
192,7.711017608642578,7.711017608642578,7.711017608642578,,,
197,7.697617053985596,7.697617053985596,7.697617053985596,,,
199,7.666459083557129,7.666459083557129,7.666459083557129,,,
201,7.646122932434082,7.646122932434082,7.646122932434082,,,
203,,,,7.643198013305664,7.643198013305664,7.643198013305664
204,,,,7.637676239013672,7.637676239013672,7.637676239013672
210,7.580835342407227,7.580835342407227,7.580835342407227,,,
214,7.504974842071533,7.504974842071533,7.504974842071533,,,
215,7.519936561584473,7.519936561584473,7.519936561584473,,,
218,,,,7.471951484680176,7.471951484680176,7.471951484680176
219,7.446098804473877,7.446098804473877,7.446098804473877,,,
222,,,,7.433148384094238,7.433148384094238,7.433148384094238
223,7.398443222045898,7.398443222045898,7.398443222045898,,,
225,7.345947742462158,7.345947742462158,7.345947742462158,,,
227,,,,7.3242034912109375,7.3242034912109375,7.3242034912109375
228,7.352348327636719,7.352348327636719,7.352348327636719,,,
229,,,,7.378726005554199,7.378726005554199,7.378726005554199
231,7.294727325439453,7.294727325439453,7.294727325439453,,,
233,,,,7.267568111419678,7.267568111419678,7.267568111419678
235,7.28340482711792,7.28340482711792,7.28340482711792,,,
236,,,,7.257441520690918,7.257441520690918,7.257441520690918
237,7.264328956604004,7.264328956604004,7.264328956604004,7.281266212463379,7.281266212463379,7.281266212463379
238,7.279676914215088,7.279676914215088,7.279676914215088,7.273133754730225,7.273133754730225,7.273133754730225
239,7.219285011291504,7.219285011291504,7.219285011291504,,,
240,7.228135108947754,7.228135108947754,7.228135108947754,7.242946147918701,7.242946147918701,7.242946147918701
241,7.264688968658447,7.264688968658447,7.264688968658447,7.229069232940674,7.229069232940674,7.229069232940674
242,7.199968338012695,7.199968338012695,7.199968338012695,,,
244,,,,7.186864376068115,7.186864376068115,7.186864376068115
245,,,,7.164365768432617,7.164365768432617,7.164365768432617
256,7.099295616149902,7.099295616149902,7.099295616149902,,,
258,7.03741455078125,7.03741455078125,7.03741455078125,,,
259,7.055447578430176,7.055447578430176,7.055447578430176,7.09204626083374,7.09204626083374,7.09204626083374
263,7.029734134674072,7.029734134674072,7.029734134674072,,,
266,6.956096649169922,6.956096649169922,6.956096649169922,6.961738109588623,6.961738109588623,6.961738109588623
267,,,,6.971385478973389,6.971385478973389,6.971385478973389
271,,,,6.9728169441223145,6.9728169441223145,6.9728169441223145
274,,,,6.902209758758545,6.902209758758545,6.902209758758545
276,6.905447006225586,6.905447006225586,6.905447006225586,,,
277,,,,6.903043270111084,6.903043270111084,6.903043270111084
278,,,,6.916134834289551,6.916134834289551,6.916134834289551
279,6.851367473602295,6.851367473602295,6.851367473602295,,,
280,,,,6.843327045440674,6.843327045440674,6.843327045440674
281,,,,6.878290176391602,6.878290176391602,6.878290176391602
282,6.849353313446045,6.849353313446045,6.849353313446045,,,
283,,,,6.81819486618042,6.81819486618042,6.81819486618042
284,,,,6.8505401611328125,6.8505401611328125,6.8505401611328125
288,,,,6.857630252838135,6.857630252838135,6.857630252838135
289,,,,6.806197166442871,6.806197166442871,6.806197166442871
291,6.766441345214844,6.766441345214844,6.766441345214844,,,
292,,,,6.799544811248779,6.799544811248779,6.799544811248779
293,,,,6.777010440826416,6.777010440826416,6.777010440826416
295,6.742429733276367,6.742429733276367,6.742429733276367,,,
297,6.755876541137695,6.755876541137695,6.755876541137695,,,
298,,,,6.78481388092041,6.78481388092041,6.78481388092041
299,6.69993257522583,6.69993257522583,6.69993257522583,,,
307,,,,6.680063724517822,6.680063724517822,6.680063724517822
308,,,,6.667062759399414,6.667062759399414,6.667062759399414
311,6.674051284790039,6.674051284790039,6.674051284790039,,,
312,,,,6.646381378173828,6.646381378173828,6.646381378173828
313,6.614592552185059,6.614592552185059,6.614592552185059,,,
315,,,,6.617195129394531,6.617195129394531,6.617195129394531
318,6.5984673500061035,6.5984673500061035,6.5984673500061035,6.618784427642822,6.618784427642822,6.618784427642822
319,6.5860371589660645,6.5860371589660645,6.5860371589660645,,,
320,,,,6.589841842651367,6.589841842651367,6.589841842651367
324,,,,6.605683326721191,6.605683326721191,6.605683326721191
325,6.605938911437988,6.605938911437988,6.605938911437988,,,
326,6.607229232788086,6.607229232788086,6.607229232788086,,,
328,6.534132480621338,6.534132480621338,6.534132480621338,,,
329,6.51806116104126,6.51806116104126,6.51806116104126,,,
334,,,,6.488298416137695,6.488298416137695,6.488298416137695
335,6.52026891708374,6.52026891708374,6.52026891708374,6.491339206695557,6.491339206695557,6.491339206695557
342,,,,6.409477710723877,6.409477710723877,6.409477710723877
344,6.427627086639404,6.427627086639404,6.427627086639404,,,
345,,,,6.408835411071777,6.408835411071777,6.408835411071777
348,,,,6.402335166931152,6.402335166931152,6.402335166931152
350,,,,6.368771076202393,6.368771076202393,6.368771076202393
352,,,,6.390911102294922,6.390911102294922,6.390911102294922
357,6.352387428283691,6.352387428283691,6.352387428283691,6.340366840362549,6.340366840362549,6.340366840362549
358,6.31125545501709,6.31125545501709,6.31125545501709,,,
361,,,,6.323599815368652,6.323599815368652,6.323599815368652
362,6.331024169921875,6.331024169921875,6.331024169921875,,,
364,6.285048961639404,6.285048961639404,6.285048961639404,,,
366,6.346925258636475,6.346925258636475,6.346925258636475,6.289735317230225,6.289735317230225,6.289735317230225
372,6.29493522644043,6.29493522644043,6.29493522644043,,,
375,,,,6.193823337554932,6.193823337554932,6.193823337554932
376,6.272122859954834,6.272122859954834,6.272122859954834,,,
379,,,,6.214853286743164,6.214853286743164,6.214853286743164
380,6.230250358581543,6.230250358581543,6.230250358581543,6.27945613861084,6.27945613861084,6.27945613861084
384,6.2508697509765625,6.2508697509765625,6.2508697509765625,,,
385,,,,6.1732892990112305,6.1732892990112305,6.1732892990112305
387,,,,6.16571044921875,6.16571044921875,6.16571044921875
389,,,,6.194091796875,6.194091796875,6.194091796875
391,,,,6.212705612182617,6.212705612182617,6.212705612182617
392,,,,6.206306457519531,6.206306457519531,6.206306457519531
393,6.206208229064941,6.206208229064941,6.206208229064941,,,
396,,,,6.154581069946289,6.154581069946289,6.154581069946289
397,6.14337682723999,6.14337682723999,6.14337682723999,,,
403,6.111714839935303,6.111714839935303,6.111714839935303,,,
404,6.085333824157715,6.085333824157715,6.085333824157715,,,
406,6.086725234985352,6.086725234985352,6.086725234985352,6.0697736740112305,6.0697736740112305,6.0697736740112305
408,6.058836460113525,6.058836460113525,6.058836460113525,,,
411,6.078476905822754,6.078476905822754,6.078476905822754,6.071348667144775,6.071348667144775,6.071348667144775
412,,,,6.058361053466797,6.058361053466797,6.058361053466797
413,,,,6.06950569152832,6.06950569152832,6.06950569152832
415,6.037955284118652,6.037955284118652,6.037955284118652,6.015352725982666,6.015352725982666,6.015352725982666
421,6.020962715148926,6.020962715148926,6.020962715148926,,,
426,,,,5.985739231109619,5.985739231109619,5.985739231109619
430,,,,6.027305603027344,6.027305603027344,6.027305603027344
431,6.000330448150635,6.000330448150635,6.000330448150635,5.966813087463379,5.966813087463379,5.966813087463379
434,,,,5.987514495849609,5.987514495849609,5.987514495849609
435,,,,5.929462909698486,5.929462909698486,5.929462909698486
437,,,,5.971062660217285,5.971062660217285,5.971062660217285
438,5.9160614013671875,5.9160614013671875,5.9160614013671875,5.97352933883667,5.97352933883667,5.97352933883667
440,,,,5.929929256439209,5.929929256439209,5.929929256439209
441,,,,5.932390213012695,5.932390213012695,5.932390213012695
446,5.899449348449707,5.899449348449707,5.899449348449707,,,
447,5.947784900665283,5.947784900665283,5.947784900665283,,,
449,5.893279075622559,5.893279075622559,5.893279075622559,,,
450,5.833456993103027,5.833456993103027,5.833456993103027,,,
454,5.879066467285156,5.879066467285156,5.879066467285156,,,
457,5.850493907928467,5.850493907928467,5.850493907928467,5.874634265899658,5.874634265899658,5.874634265899658
458,,,,5.866833209991455,5.866833209991455,5.866833209991455
459,,,,5.870578765869141,5.870578765869141,5.870578765869141
462,,,,5.811646461486816,5.811646461486816,5.811646461486816
465,,,,5.81424617767334,5.81424617767334,5.81424617767334
467,5.817739486694336,5.817739486694336,5.817739486694336,,,
470,,,,5.805897235870361,5.805897235870361,5.805897235870361
472,,,,5.79972505569458,5.79972505569458,5.79972505569458
473,5.817539691925049,5.817539691925049,5.817539691925049,,,
474,5.78748083114624,5.78748083114624,5.78748083114624,,,
477,,,,5.791147708892822,5.791147708892822,5.791147708892822
478,,,,5.7347517013549805,5.7347517013549805,5.7347517013549805
480,5.76413631439209,5.76413631439209,5.76413631439209,,,
481,5.723878383636475,5.723878383636475,5.723878383636475,5.708308219909668,5.708308219909668,5.708308219909668
484,5.79586935043335,5.79586935043335,5.79586935043335,,,
488,,,,5.732615947723389,5.732615947723389,5.732615947723389
489,5.781697750091553,5.781697750091553,5.781697750091553,,,
490,,,,5.690855503082275,5.690855503082275,5.690855503082275
492,5.735071182250977,5.735071182250977,5.735071182250977,,,
493,,,,5.67797327041626,5.67797327041626,5.67797327041626
494,,,,5.6704182624816895,5.6704182624816895,5.6704182624816895
496,5.712717056274414,5.712717056274414,5.712717056274414,,,
497,5.69536018371582,5.69536018371582,5.69536018371582,5.720268726348877,5.720268726348877,5.720268726348877
499,,,,5.641083717346191,5.641083717346191,5.641083717346191
505,5.659799098968506,5.659799098968506,5.659799098968506,,,
506,,,,5.604637622833252,5.604637622833252,5.604637622833252
507,5.676931858062744,5.676931858062744,5.676931858062744,,,
508,5.638484477996826,5.638484477996826,5.638484477996826,5.64691162109375,5.64691162109375,5.64691162109375
509,,,,5.622452259063721,5.622452259063721,5.622452259063721
510,5.630120754241943,5.630120754241943,5.630120754241943,5.589865684509277,5.589865684509277,5.589865684509277
513,5.646115779876709,5.646115779876709,5.646115779876709,,,
514,5.621501445770264,5.621501445770264,5.621501445770264,5.630054950714111,5.630054950714111,5.630054950714111
515,5.600539684295654,5.600539684295654,5.600539684295654,5.620839595794678,5.620839595794678,5.620839595794678
516,5.622583866119385,5.622583866119385,5.622583866119385,5.615899085998535,5.615899085998535,5.615899085998535
520,5.605208873748779,5.605208873748779,5.605208873748779,5.62453556060791,5.62453556060791,5.62453556060791
522,5.550717353820801,5.550717353820801,5.550717353820801,,,
525,,,,5.572281360626221,5.572281360626221,5.572281360626221
526,,,,5.5783586502075195,5.5783586502075195,5.5783586502075195
528,,,,5.544119358062744,5.544119358062744,5.544119358062744
529,5.604061126708984,5.604061126708984,5.604061126708984,,,
530,,,,5.53057861328125,5.53057861328125,5.53057861328125
534,5.571386337280273,5.571386337280273,5.571386337280273,5.586906433105469,5.586906433105469,5.586906433105469
535,5.542949199676514,5.542949199676514,5.542949199676514,,,
536,,,,5.531327724456787,5.531327724456787,5.531327724456787
538,5.52114725112915,5.52114725112915,5.52114725112915,,,
539,,,,5.519627571105957,5.519627571105957,5.519627571105957
540,5.526697158813477,5.526697158813477,5.526697158813477,5.512866497039795,5.512866497039795,5.512866497039795
541,,,,5.514685153961182,5.514685153961182,5.514685153961182
543,,,,5.502503871917725,5.502503871917725,5.502503871917725
544,,,,5.5171217918396,5.5171217918396,5.5171217918396
