run_name,message_size,bandwidth
Through NVLink,8,0.0
Through NVLink,16,0.0
Through NVLink,32,0.0
Through NVLink,64,0.01
Through NVLink,128,0.02
Through NVLink,256,0.04
Through NVLink,512,0.08
Through NVLink,1024,0.16
Through NVLink,2048,0.31
Through NVLink,4096,0.57
Through NVLink,8192,1.04
Through NVLink,16384,2.02
Through NVLink,32768,3.95
Through NVLink,65536,7.73
Through NVLink,131072,14.92
Through NVLink,262144,24.81
Through NVLink,524288,37.66
Through NVLink,1048576,57.91
Through NVLink,2097152,90.59
Through NVLink,4194304,64.71
Through NVLink,8388608,151.81
Through NVLink,16777216,199.63
Through NVLink,33554432,232.23
Through NVLink,67108864,267.71
Through NVLink,134217728,284.83
Through NVLink,268435456,294.6
Through NVLink,536870912,353.23
Through NVLink,1073741824,358.95
Through NVLink,2147483648,362.23
Through NVLink,4294967296,363.73
Through NVLink,8589934592,364.93
Through EFA,8,0.0
Through EFA,16,0.0
Through EFA,32,0.0
Through EFA,64,0.0
Through EFA,128,0.0
Through EFA,256,0.01
Through EFA,512,0.01
Through EFA,1024,0.03
Through EFA,2048,0.05
Through EFA,4096,0.1
Through EFA,8192,0.2
Through EFA,16384,0.38
Through EFA,32768,0.69
Through EFA,65536,1.2
Through EFA,131072,2.07
Through EFA,262144,3.57
Through EFA,524288,6.68
Through EFA,1048576,10.51
Through EFA,2097152,15.85
Through EFA,4194304,21.66
Through EFA,8388608,28.82
Through EFA,16777216,33.73
Through EFA,33554432,35.92
Through EFA,67108864,37.11
Through EFA,134217728,37.6
Through EFA,268435456,37.88
Through EFA,536870912,38.13
Through EFA,1073741824,38.09
Through EFA,2147483648,38.16
Through EFA,4294967296,38.13
Through EFA,8589934592,38.07
Through CPU,8,0.0
Through CPU,16,0.0
Through CPU,32,0.0
Through CPU,64,0.01
Through CPU,128,0.01
Through CPU,256,0.02
Through CPU,512,0.05
Through CPU,1024,0.1
Through CPU,2048,0.19
Through CPU,4096,0.32
Through CPU,8192,0.5
Through CPU,16384,0.67
Through CPU,32768,0.85
Through CPU,65536,1.97
Through CPU,131072,2.55
Through CPU,262144,2.83
Through CPU,524288,3.07
Through CPU,1048576,3.19
Through CPU,2097152,3.22
Through CPU,4194304,3.24
Through CPU,8388608,3.08
Through CPU,16777216,3.06
Through CPU,33554432,3.05
Through CPU,67108864,3.04
Through CPU,134217728,3.05
Through CPU,268435456,3.05
Through CPU,536870912,3.03
Through CPU,1073741824,3.04
Through CPU,2147483648,3.06
Through CPU,4294967296,3.07
Through CPU,8589934592,3.05
