run_name,tokens,loss
With Weight Decay (baseline),4718592.0,12.171817779541016
With Weight Decay (baseline),248512512.0,6.631706237792969
With Weight Decay (baseline),308281344.0,6.239153861999512
With Weight Decay (baseline),534773760.0,5.2749457359313965
With Weight Decay (baseline),564658176.0,5.136835098266602
With Weight Decay (baseline),918552576.0,4.283334255218506
With Weight Decay (baseline),965738496.0,4.149074554443359
With Weight Decay (baseline),1036517376.0,3.960503578186035
With Weight Decay (baseline),1039663104.0,3.905548572540283
With Weight Decay (baseline),1088421888.0,3.875189065933227
With Weight Decay (baseline),1196949504.0,3.70501708984375
With Weight Decay (baseline),1286602752.0,3.5701680183410645
With Weight Decay (baseline),1292894208.0,3.590569496154785
With Weight Decay (baseline),1313341440.0,3.5624024868011475
With Weight Decay (baseline),1453326336.0,3.483870029449463
With Weight Decay (baseline),1546125312.0,3.460115909576416
With Weight Decay (baseline),1572864000.0,3.369729518890381
With Weight Decay (baseline),1684537344.0,3.2974448204040527
With Weight Decay (baseline),1755316224.0,3.305543899536133
With Weight Decay (baseline),1827667968.0,3.229928493499756
With Weight Decay (baseline),1893728256.0,3.2923359870910645
With Weight Decay (baseline),2148532224.0,3.16351318359375
With Weight Decay (baseline),2406481920.0,3.1727194786071777
With Weight Decay (baseline),2725773312.0,2.997798442840576
With Weight Decay (baseline),2807562240.0,3.0352625846862793
With Weight Decay (baseline),2810707968.0,2.97104811668396
With Weight Decay (baseline),2972712960.0,2.9686789512634277
With Weight Decay (baseline),3063939072.0,2.926718235015869
With Weight Decay (baseline),3122135040.0,2.9037210941314697
With Weight Decay (baseline),3144155136.0,2.9696998596191406
With Weight Decay (baseline),3148873728.0,2.9586799144744873
With Weight Decay (baseline),3197632512.0,2.9190239906311035
With Weight Decay (baseline),3213361152.0,2.9432811737060547
With Weight Decay (baseline),3306160128.0,2.8724379539489746
With Weight Decay (baseline),3501195264.0,2.8514323234558105
With Weight Decay (baseline),3630170112.0,2.8465752601623535
With Weight Decay (baseline),3724541952.0,2.8757967948913574
With Weight Decay (baseline),3789029376.0,2.8339223861694336
With Weight Decay (baseline),3840933888.0,2.7856173515319824
With Weight Decay (baseline),3862953984.0,2.8248462677001953
With Weight Decay (baseline),3875536896.0,2.8453526496887207
With Weight Decay (baseline),3962044416.0,2.8002562522888184
With Weight Decay (baseline),4024958976.0,2.7740073204040527
With Weight Decay (baseline),4102029312.0,2.7520713806152344
With Weight Decay (baseline),4147642368.0,2.7632946968078613
With Weight Decay (baseline),4295491584.0,2.7096056938171387
With Weight Decay (baseline),4377280512.0,2.73716402053833
With Weight Decay (baseline),4410310656.0,2.777501106262207
With Weight Decay (baseline),4438622208.0,2.7389039993286133
With Weight Decay (baseline),4476370944.0,2.736633539199829
With Weight Decay (baseline),4916772864.0,2.7051448822021484
With Weight Decay (baseline),5034737664.0,2.7199039459228516
With Weight Decay (baseline),5053612032.0,2.6534550189971924
With Weight Decay (baseline),5173149696.0,2.6738667488098145
With Weight Decay (baseline),5187305472.0,2.699345111846924
With Weight Decay (baseline),5270667264.0,2.6675572395324707
With Weight Decay (baseline),5376049152.0,2.6887824535369873
With Weight Decay (baseline),5582094336.0,2.6306419372558594
With Weight Decay (baseline),5656018944.0,2.6340999603271484
With Weight Decay (baseline),5825888256.0,2.6455326080322266
With Weight Decay (baseline),6083837952.0,2.6292853355407715
With Weight Decay (baseline),6086983680.0,2.622159481048584
With Weight Decay (baseline),6178209792.0,2.626138210296631
With Weight Decay (baseline),6341787648.0,2.5995826721191406
With Weight Decay (baseline),6524239872.0,2.6327404975891113
With Weight Decay (baseline),6668943360.0,2.578434944152832
With Weight Decay (baseline),6722420736.0,2.626776218414306
With Weight Decay (baseline),6826229760.0,2.5978803634643555
With Weight Decay (baseline),6830948352.0,2.5870115756988525
With Weight Decay (baseline),6882852864.0,2.575918436050415
With Weight Decay (baseline),6890717184.0,2.5526490211486816
With Weight Decay (baseline),7070023680.0,2.5623836517333984
With Weight Decay (baseline),7137656832.0,2.5918803215026855
With Weight Decay (baseline),7159676928.0,2.56143569946289
With Weight Decay (baseline),7202144256.0,2.5760021209716797
With Weight Decay (baseline),7244611584.0,2.560441017150879
With Weight Decay (baseline),7252475904.0,2.562516212463379
With Weight Decay (baseline),7269777408.0,2.530402660369873
With Weight Decay (baseline),7299661824.0,2.562154531478882
With Weight Decay (baseline),7305953280.0,2.5363903045654297
With Weight Decay (baseline),7379877888.0,2.5671443939208984
With Weight Decay (baseline),7626817536.0,2.4916234016418457
With Weight Decay (baseline),7719616512.0,2.5413031578063965
With Weight Decay (baseline),7729053696.0,2.5517477989196777
With Weight Decay (baseline),7746355200.0,2.537654399871826
With Weight Decay (baseline),7818706944.0,2.515362501144409
With Weight Decay (baseline),7829716992.0,2.5254950523376465
With Weight Decay (baseline),7832862720.0,2.5293352603912354
With Weight Decay (baseline),7900495872.0,2.550306558609009
With Weight Decay (baseline),7999586304.0,2.584804058074951
With Weight Decay (baseline),8086093824.0,2.52854323387146
With Weight Decay (baseline),8089239552.0,2.5385854244232178
With Weight Decay (baseline),8125415424.0,2.518885374069214
With Weight Decay (baseline),8314159104.0,2.5025105476379395
With Weight Decay (baseline),8364490752.0,2.504373073577881
With Weight Decay (baseline),8627159040.0,2.5344765186309814
With Weight Decay (baseline),8635023360.0,2.503955841064453
With Weight Decay (baseline),8748269568.0,2.49718713760376
With Weight Decay (baseline),8933867520.0,2.4917616844177246
With Weight Decay (baseline),9065988096.0,2.501438856124878
With Weight Decay (baseline),9254731776.0,2.5047569274902344
With Weight Decay (baseline),9267314688.0,2.50186824798584
With Weight Decay (baseline),9301917696.0,2.510716676712036
With Weight Decay (baseline),9350676480.0,2.4943180084228516
With Weight Decay (baseline),9363259392.0,2.485581874847412
With Weight Decay (baseline),9385279488.0,2.507434368133545
With Weight Decay (baseline),9438756864.0,2.5415172576904297
With Weight Decay (baseline),9445048320.0,2.4933481216430664
With Weight Decay (baseline),9559867392.0,2.4863553047180176
With Weight Decay (baseline),9822535680.0,2.496706008911133
With Weight Decay (baseline),9888595968.0,2.450317621231079
With Weight Decay (baseline),9978249216.0,2.456099510192871
With Weight Decay (baseline),10077339648.0,2.475487232208252
With Weight Decay (baseline),10132389888.0,2.48116683959961
With Weight Decay (baseline),10340007936.0,2.4894371032714844
With Weight Decay (baseline),10420224000.0,2.4686713218688965
With Weight Decay (baseline),10497294336.0,2.5145697593688965
With Weight Decay (baseline),10569646080.0,2.477846145629883
With Weight Decay (baseline),10630987776.0,2.432141065597534
With Weight Decay (baseline),10792992768.0,2.4526185989379883
With Weight Decay (baseline),11074535424.0,2.4377849102020264
With Weight Decay (baseline),11087118336.0,2.463298797607422
With Weight Decay (baseline),11131158528.0,2.434690475463867
With Weight Decay (baseline),11297882112.0,2.4904801845550537
With Weight Decay (baseline),11310465024.0,2.4495768547058105
With Weight Decay (baseline),11348213760.0,2.4402074813842773
With Weight Decay (baseline),11488198656.0,2.4494316577911377
With Weight Decay (baseline),11546394624.0,2.4616003036499023
With Weight Decay (baseline),11672223744.0,2.427334785461426
With Weight Decay (baseline),11684806656.0,2.4303274154663086
With Weight Decay (baseline),11700535296.0,2.409168004989624
With Weight Decay (baseline),11780751360.0,2.4478566646575928
With Weight Decay (baseline),11867258880.0,2.428473472595215
With Weight Decay (baseline),12054429696.0,2.449187755584717
With Weight Decay (baseline),12112625664.0,2.444557428359986
With Weight Decay (baseline),12155092992.0,2.4472055435180664
With Weight Decay (baseline),12582912000.0,2.408125638961792
With Weight Decay (baseline),12759072768.0,2.414855718612671
With Weight Decay (baseline),12779520000.0,2.4227991104125977
With Weight Decay (baseline),12806258688.0,2.428774833679199
With Weight Decay (baseline),12881756160.0,2.4208850860595703
With Weight Decay (baseline),12886474752.0,2.4429373741149902
With Weight Decay (baseline),13034323968.0,2.4854111671447754
With Weight Decay (baseline),13084655616.0,2.434354305267334
With Weight Decay (baseline),13554941952.0,2.4604766368865967
With Weight Decay (baseline),13558087680.0,2.448146343231201
With Weight Decay (baseline),13671333888.0,2.4075839519500732
With Weight Decay (baseline),13701218304.0,2.4037022590637207
With Weight Decay (baseline),13929283584.0,2.3992063999176025
With Weight Decay (baseline),14141620224.0,2.412275791168213
With Weight Decay (baseline),14158921728.0,2.432673454284668
With Weight Decay (baseline),14218690560.0,2.366814613342285
With Weight Decay (baseline),14248574976.0,2.4048702716827393
With Weight Decay (baseline),14520680448.0,2.3924436569213867
With Weight Decay (baseline),14555283456.0,2.3814127445220947
With Weight Decay (baseline),14556856320.0,2.399475336074829
With Weight Decay (baseline),14635499520.0,2.39426851272583
With Weight Decay (baseline),14759755776.0,2.3904426097869873
With Weight Decay (baseline),14902886400.0,2.4123477935791016
With Weight Decay (baseline),15001976832.0,2.4203057289123535
With Weight Decay (baseline),15044444160.0,2.4199249744415283
With Weight Decay (baseline),15244197888.0,2.370739459991455
With Weight Decay (baseline),15659433984.0,2.379331111907959
With Weight Decay (baseline),15730212864.0,2.399397373199463
With Weight Decay (baseline),15868624896.0,2.37970232963562
With Weight Decay (baseline),15955132416.0,2.3762974739074707
With Weight Decay (baseline),15986589696.0,2.3632616996765137
With Weight Decay (baseline),16008609792.0,2.3690896034240723
With Weight Decay (baseline),16073097216.0,2.33450698852539
