"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length__MAX"
"1","390","390","390","745.4447631835938","745.4447631835938","745.4447631835938","390","390","390","745.4447631835938","745.4447631835938","745.4447631835938","390","390","390","745.4447631835938","745.4447631835938","745.4447631835938","390","390","390","745.4447631835938","745.4447631835938","745.4447631835938","390","390","390","745.4447631835938","745.4447631835938","745.4447631835938","390","390","390","745.4447631835938","745.4447631835938","745.4447631835938"
"2","782","782","782","541.3134765625","541.3134765625","541.3134765625","782","782","782","572.4404296875","572.4404296875","572.4404296875","782","782","782","521.7265625","521.7265625","521.7265625","782","782","782","522.48828125","522.48828125","522.48828125","782","782","782","529.1396484375","529.1396484375","529.1396484375","782","782","782","522.5615234375","522.5615234375","522.5615234375"
"3","1174","1174","1174","496.0400390625","496.0400390625","496.0400390625","1174","1174","1174","496.1357421875","496.1357421875","496.1357421875","1174","1174","1174","506.0048828125","506.0048828125","506.0048828125","1174","1174","1174","493.6142578125","493.6142578125","493.6142578125","1174","1174","1174","501.1728515625","501.1728515625","501.1728515625","1174","1174","1174","471.0625","471.0625","471.0625"
"4","1566","1566","1566","550.2333984375","550.2333984375","550.2333984375","1566","1566","1566","561.869140625","561.869140625","561.869140625","1566","1566","1566","527.322265625","527.322265625","527.322265625","1566","1566","1566","543.498046875","543.498046875","543.498046875","1566","1566","1566","549.43359375","549.43359375","549.43359375","1566","1566","1566","508.984375","508.984375","508.984375"
"5","1958","1958","1958","494.4765625","494.4765625","494.4765625","1958","1958","1958","524.39453125","524.39453125","524.39453125","1958","1958","1958","503.7685546875","503.7685546875","503.7685546875","1958","1958","1958","514.662109375","514.662109375","514.662109375","1958","1958","1958","530.5166015625","530.5166015625","530.5166015625","1958","1958","1958","477.9912109375","477.9912109375","477.9912109375"
"6","2350","2350","2350","513.080078125","513.080078125","513.080078125","2350","2350","2350","529.861328125","529.861328125","529.861328125","2350","2350","2350","500.0068359375","500.0068359375","500.0068359375","2350","2350","2350","516.3505859375","516.3505859375","516.3505859375","2350","2350","2350","522.3773193359375","522.3773193359375","522.3773193359375","2350","2350","2350","471.521484375","471.521484375","471.521484375"
"7","2742","2742","2742","524.345703125","524.345703125","524.345703125","2742","2742","2742","551.2158203125","551.2158203125","551.2158203125","2742","2742","2742","532.466796875","532.466796875","532.466796875","2742","2742","2742","537.1484375","537.1484375","537.1484375","2742","2742","2742","543.501953125","543.501953125","543.501953125","2742","2742","2742","516.556640625","516.556640625","516.556640625"
"8","3134","3134","3134","554.6796875","554.6796875","554.6796875","3134","3134","3134","564.244140625","564.244140625","564.244140625","3134","3134","3134","542.9267578125","542.9267578125","542.9267578125","3134","3134","3134","553.58984375","553.58984375","553.58984375","3134","3134","3134","556.7998046875","556.7998046875","556.7998046875","3134","3134","3134","509.9609375","509.9609375","509.9609375"
"9","3526","3526","3526","521.7236328125","521.7236328125","521.7236328125","3526","3526","3526","519.60546875","519.60546875","519.60546875","3526","3526","3526","503.43359375","503.43359375","503.43359375","3526","3526","3526","528.7548828125","528.7548828125","528.7548828125","3526","3526","3526","524.04296875","524.04296875","524.04296875","3526","3526","3526","482.955078125","482.955078125","482.955078125"
"10","3918","3918","3918","557.6552734375","557.6552734375","557.6552734375","3918","3918","3918","543.017578125","543.017578125","543.017578125","3918","3918","3918","537.998046875","537.998046875","537.998046875","3918","3918","3918","540.2548828125","540.2548828125","540.2548828125","3918","3918","3918","547.5751953125","547.5751953125","547.5751953125","3918","3918","3918","483.3349609375","483.3349609375","483.3349609375"
