"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length__MAX"
"1","54","54","54","819.328125","819.328125","819.328125"
"2","110","110","110","787.3125","787.3125","787.3125"
"3","166","166","166","1148.53125","1148.53125","1148.53125"
"4","222","222","222","917.578125","917.578125","917.578125"
"5","278","278","278","1120.4921875","1120.4921875","1120.4921875"
"6","334","334","334","942.625","942.625","942.625"
"7","390","390","390","942.0625","942.0625","942.0625"
"8","446","446","446","836.15625","836.15625","836.15625"
"9","502","502","502","1399.0703125","1399.0703125","1399.0703125"
"10","558","558","558","997.1015625","997.1015625","997.1015625"
"11","614","614","614","946.9375","946.9375","946.9375"
"12","670","670","670","1325.6953125","1325.6953125","1325.6953125"
"13","726","726","726","1499.453125","1499.453125","1499.453125"
"14","782","782","782","1856.0078125","1856.0078125","1856.0078125"
"15","838","838","838","899.9453125","899.9453125","899.9453125"
"16","894","894","894","1019.75","1019.75","1019.75"
"17","950","950","950","1069.0390625","1069.0390625","1069.0390625"
"18","1006","1006","1006","1896.4566650390625","1896.4566650390625","1896.4566650390625"
"19","1062","1062","1062","1478.375","1478.375","1478.375"
"20","1118","1118","1118","1602.3984375","1602.3984375","1602.3984375"
"21","1174","1174","1174","1857.90625","1857.90625","1857.90625"
"22","1230","1230","1230","1789.43310546875","1789.43310546875","1789.43310546875"
"23","1286","1286","1286","1270.1640625","1270.1640625","1270.1640625"
"24","1342","1342","1342","2616.390625","2616.390625","2616.390625"
"25","1398","1398","1398","2833.3984375","2833.3984375","2833.3984375"
"26","1454","1454","1454","2048.921142578125","2048.921142578125","2048.921142578125"
"27","1510","1510","1510","1703.609375","1703.609375","1703.609375"
"28","1566","1566","1566","1830.3046875","1830.3046875","1830.3046875"
"29","1622","1622","1622","2145.07861328125","2145.07861328125","2145.07861328125"
"30","1678","1678","1678","3089.7734375","3089.7734375","3089.7734375"
"31","1734","1734","1734","2598.354248046875","2598.354248046875","2598.354248046875"
"32","1790","1790","1790","1868.4560546875","1868.4560546875","1868.4560546875"
"33","1846","1846","1846","3729.71875","3729.71875","3729.71875"
"34","1902","1902","1902","3014.6640625","3014.6640625","3014.6640625"
"35","1958","1958","1958","4313.73046875","4313.73046875","4313.73046875"
"36","2014","2014","2014","2788.8125","2788.8125","2788.8125"
"37","2070","2070","2070","3972.774169921875","3972.774169921875","3972.774169921875"
"38","2126","2126","2126","5246.03125","5246.03125","5246.03125"
"39","2182","2182","2182","4474.3671875","4474.3671875","4474.3671875"
"40","2238","2238","2238","4954.119140625","4954.119140625","4954.119140625"
"41","2294","2294","2294","3221.546875","3221.546875","3221.546875"
"42","2350","2350","2350","4657.1484375","4657.1484375","4657.1484375"
"43","2406","2406","2406","3652.31494140625","3652.31494140625","3652.31494140625"
"44","2462","2462","2462","3073.9296875","3073.9296875","3073.9296875"
"45","2518","2518","2518","5894.8828125","5894.8828125","5894.8828125"
"46","2574","2574","2574","6316.259765625","6316.259765625","6316.259765625"
"47","2630","2630","2630","6591.328125","6591.328125","6591.328125"
"48","2686","2686","2686","3134.8046875","3134.8046875","3134.8046875"
"49","2742","2742","2742","5409.7421875","5409.7421875","5409.7421875"
"50","2798","2798","2798","3545.671875","3545.671875","3545.671875"
"51","2854","2854","2854","3648.984375","3648.984375","3648.984375"
"52","2910","2910","2910","5358.17333984375","5358.17333984375","5358.17333984375"
"53","2966","2966","2966","4153.7861328125","4153.7861328125","4153.7861328125"
"54","3022","3022","3022","6234.14501953125","6234.14501953125","6234.14501953125"
"55","3078","3078","3078","5155.328125","5155.328125","5155.328125"
"56","3134","3134","3134","5443.8505859375","5443.8505859375","5443.8505859375"
"57","3190","3190","3190","5116.55126953125","5116.55126953125","5116.55126953125"
"58","3246","3246","3246","5464.05517578125","5464.05517578125","5464.05517578125"
"59","3302","3302","3302","5103.19873046875","5103.19873046875","5103.19873046875"
"60","3358","3358","3358","3406.373291015625","3406.373291015625","3406.373291015625"
"61","3414","3414","3414","4844.109375","4844.109375","4844.109375"
"62","3470","3470","3470","3203.1640625","3203.1640625","3203.1640625"
"63","3526","3526","3526","4979.1923828125","4979.1923828125","4979.1923828125"
"64","3582","3582","3582","5136.05615234375","5136.05615234375","5136.05615234375"
"65","3638","3638","3638","6090.15625","6090.15625","6090.15625"
"66","3694","3694","3694","5411.015625","5411.015625","5411.015625"
"67","3750","3750","3750","8835.65625","8835.65625","8835.65625"
"68","3806","3806","3806","3709.6796875","3709.6796875","3709.6796875"
"69","3862","3862","3862","4430.2109375","4430.2109375","4430.2109375"
"70","3918","3918","3918","5351.3828125","5351.3828125","5351.3828125"
"71","3974","3974","3974","5474.72265625","5474.72265625","5474.72265625"
