"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX"
"1","390","390","390","0.44140625","0.44140625","0.44140625","390","390","390","0.44140625","0.44140625","0.44140625","390","390","390","0.44140625","0.44140625","0.44140625","390","390","390","0.44140625","0.44140625","0.44140625","390","390","390","0.44140625","0.44140625","0.44140625","390","390","390","0.44140625","0.44140625","0.44140625"
"2","782","782","782","0.5545634627342224","0.5545634627342224","0.5545634627342224","782","782","782","0.567460298538208","0.567460298538208","0.567460298538208","782","782","782","0.545634925365448","0.545634925365448","0.545634925365448","782","782","782","0.5704365372657776","0.5704365372657776","0.5704365372657776","782","782","782","0.54067462682724","0.54067462682724","0.54067462682724","782","782","782","0.5476190447807312","0.5476190447807312","0.5476190447807312"
"3","1174","1174","1174","0.669921875","0.669921875","0.669921875","1174","1174","1174","0.671875","0.671875","0.671875","1174","1174","1174","0.6962890625","0.6962890625","0.6962890625","1174","1174","1174","0.68359375","0.68359375","0.68359375","1174","1174","1174","0.6650390625","0.6650390625","0.6650390625","1174","1174","1174","0.669921875","0.669921875","0.669921875"
"4","1566","1566","1566","0.6318359375","0.6318359375","0.6318359375","1566","1566","1566","0.65234375","0.65234375","0.65234375","1566","1566","1566","0.6533203125","0.6533203125","0.6533203125","1566","1566","1566","0.6630859375","0.6630859375","0.6630859375","1566","1566","1566","0.6484375","0.6484375","0.6484375","1566","1566","1566","0.6474609375","0.6474609375","0.6474609375"
"5","1958","1958","1958","0.6240079402923584","0.6240079402923584","0.6240079402923584","1958","1958","1958","0.6220238208770752","0.6220238208770752","0.6220238208770752","1958","1958","1958","0.6150793433189392","0.6150793433189392","0.6150793433189392","1958","1958","1958","0.608134925365448","0.608134925365448","0.608134925365448","1958","1958","1958","0.6408730149269104","0.6408730149269104","0.6408730149269104","1958","1958","1958","0.6180555820465088","0.6180555820465088","0.6180555820465088"
"6","2350","2350","2350","0.6455078125","0.6455078125","0.6455078125","2350","2350","2350","0.69921875","0.69921875","0.69921875","2350","2350","2350","0.654296875","0.654296875","0.654296875","2350","2350","2350","0.658203125","0.658203125","0.658203125","2350","2350","2350","0.6787109375","0.6787109375","0.6787109375","2350","2350","2350","0.669921875","0.669921875","0.669921875"
"7","2742","2742","2742","0.6572265625","0.6572265625","0.6572265625","2742","2742","2742","0.646484375","0.646484375","0.646484375","2742","2742","2742","0.634765625","0.634765625","0.634765625","2742","2742","2742","0.6611328125","0.6611328125","0.6611328125","2742","2742","2742","0.642578125","0.642578125","0.642578125","2742","2742","2742","0.634765625","0.634765625","0.634765625"
"8","3134","3134","3134","0.670634925365448","0.670634925365448","0.670634925365448","3134","3134","3134","0.6746031641960144","0.6746031641960144","0.6746031641960144","3134","3134","3134","0.6646825671195984","0.6646825671195984","0.6646825671195984","3134","3134","3134","0.66567462682724","0.66567462682724","0.66567462682724","3134","3134","3134","0.6547619104385376","0.6547619104385376","0.6547619104385376","3134","3134","3134","0.6736111044883728","0.6736111044883728","0.6736111044883728"
"9","3526","3526","3526","0.654296875","0.654296875","0.654296875","3526","3526","3526","0.6416015625","0.6416015625","0.6416015625","3526","3526","3526","0.6552734375","0.6552734375","0.6552734375","3526","3526","3526","0.666015625","0.666015625","0.666015625","3526","3526","3526","0.6728515625","0.6728515625","0.6728515625","3526","3526","3526","0.634765625","0.634765625","0.634765625"
"10","3918","3918","3918","0.7451171875","0.7451171875","0.7451171875","3918","3918","3918","0.7421875","0.7421875","0.7421875","3918","3918","3918","0.7060546875","0.7060546875","0.7060546875","3918","3918","3918","0.732421875","0.732421875","0.732421875","3918","3918","3918","0.7392578125","0.7392578125","0.7392578125","3918","3918","3918","0.708984375","0.708984375","0.708984375"
"11","4310","4310","4310","0.6064453125","0.6064453125","0.6064453125","4310","4310","4310","0.58984375","0.58984375","0.58984375","4310","4310","4310","0.5927734375","0.5927734375","0.5927734375","4310","4310","4310","0.556640625","0.556640625","0.556640625","4310","4310","4310","0.5966796875","0.5966796875","0.5966796875","4310","4310","4310","0.6005859375","0.6005859375","0.6005859375"
"12","4702","4702","4702","0.5902777910232544","0.5902777910232544","0.5902777910232544","4702","4702","4702","0.5952380895614624","0.5952380895614624","0.5952380895614624","4702","4702","4702","0.5823412537574768","0.5823412537574768","0.5823412537574768","4702","4702","4702","0.591269850730896","0.591269850730896","0.591269850730896","4702","4702","4702","0.6101190447807312","0.6101190447807312","0.6101190447807312","4702","4702","4702","0.567460298538208","0.567460298538208","0.567460298538208"
"13","5094","5094","5094","0.59765625","0.59765625","0.59765625","5094","5094","5094","0.56640625","0.56640625","0.56640625","5094","5094","5094","0.587890625","0.587890625","0.587890625","5094","5094","5094","0.560546875","0.560546875","0.560546875","5094","5094","5094","0.609375","0.609375","0.609375","5094","5094","5094","0.578125","0.578125","0.578125"
"14","5486","5486","5486","0.697265625","0.697265625","0.697265625","5486","5486","5486","0.697265625","0.697265625","0.697265625","5486","5486","5486","0.68359375","0.68359375","0.68359375","5486","5486","5486","0.6845703125","0.6845703125","0.6845703125","5486","5486","5486","0.7060546875","0.7060546875","0.7060546875","5486","5486","5486","0.6572265625","0.6572265625","0.6572265625"
