"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward__MAX"
"1","54","54","54","0.2265625","0.2265625","0.2265625"
"2","110","110","110","0.375","0.375","0.375"
"3","166","166","166","0.2890625","0.2890625","0.2890625"
"4","222","222","222","0.2734375","0.2734375","0.2734375"
"5","278","278","278","0.28125","0.28125","0.28125"
"6","334","334","334","0.40625","0.40625","0.40625"
"7","390","390","390","0.2734375","0.2734375","0.2734375"
"8","446","446","446","0.4609375","0.4609375","0.4609375"
"9","502","502","502","0.41263580322265625","0.41263580322265625","0.41263580322265625"
"10","558","558","558","0.453125","0.453125","0.453125"
"11","614","614","614","0.5625","0.5625","0.5625"
"12","670","670","670","0.4921875","0.4921875","0.4921875"
"13","726","726","726","0.1015625","0.1015625","0.1015625"
"14","782","782","782","0.1640625","0.1640625","0.1640625"
"15","838","838","838","0.8125","0.8125","0.8125"
"16","894","894","894","0.4765625","0.4765625","0.4765625"
"17","950","950","950","0.4921875","0.4921875","0.4921875"
"18","1006","1006","1006","0.578125","0.578125","0.578125"
"19","1062","1062","1062","0.4140625","0.4140625","0.4140625"
"20","1118","1118","1118","0.3984375","0.3984375","0.3984375"
"21","1174","1174","1174","0.390625","0.390625","0.390625"
"22","1230","1230","1230","0.6328125","0.6328125","0.6328125"
"23","1286","1286","1286","0.4453125","0.4453125","0.4453125"
"24","1342","1342","1342","0.3203125","0.3203125","0.3203125"
"25","1398","1398","1398","0.53125","0.53125","0.53125"
"26","1454","1454","1454","0.59375","0.59375","0.59375"
"27","1510","1510","1510","0.421875","0.421875","0.421875"
"28","1566","1566","1566","0.5390625","0.5390625","0.5390625"
"29","1622","1622","1622","0.5546875","0.5546875","0.5546875"
"30","1678","1678","1678","0.4921875","0.4921875","0.4921875"
"31","1734","1734","1734","0.7511215209960938","0.7511215209960938","0.7511215209960938"
"32","1790","1790","1790","0.546875","0.546875","0.546875"
"33","1846","1846","1846","0.39366912841796875","0.39366912841796875","0.39366912841796875"
"34","1902","1902","1902","0.6015625","0.6015625","0.6015625"
"35","1958","1958","1958","0.3236541748046875","0.3236541748046875","0.3236541748046875"
"36","2014","2014","2014","0.6373672485351562","0.6373672485351562","0.6373672485351562"
"37","2070","2070","2070","0.4453125","0.4453125","0.4453125"
"38","2126","2126","2126","0.32482147216796875","0.32482147216796875","0.32482147216796875"
"39","2182","2182","2182","0.5431976318359375","0.5431976318359375","0.5431976318359375"
"40","2238","2238","2238","0.4296875","0.4296875","0.4296875"
"41","2294","2294","2294","0.6484375","0.6484375","0.6484375"
"42","2350","2350","2350","0.5475311279296875","0.5475311279296875","0.5475311279296875"
