run,step,metric,value,stderr
≥1,1000,ai2d_exact_match,0.48283678756476683,0.00899385068939683
≥1,1000,average,0.4841740613238066,
≥1,1000,average_rank,2.4,
≥1,1000,chartqa_relaxed_overall,0.6328,0.00964276190429159
≥1,1000,docvqa_val_anls,0.6709958484393396,0.006009113294340719
≥1,1000,infovqa_val_anls,0.2911610792718508,0.007480963558334323
≥1,1000,mme_total_score,1300.6441576630652,
≥1,1000,mmmu_val_mmmu_acc,0.28111,
≥1,1000,mmstar_average,0.34899099672724077,
≥1,1000,ocrbench_ocrbench_accuracy,0.53,
≥1,1000,seedbench_seed_all,0.5613118399110617,
≥1,1000,textvqa_val_exact_match,0.5583600000000001,0.006733787259646062
≥1,2000,ai2d_exact_match,0.4834844559585492,0.008994243503406855
≥1,2000,average,0.4870755750428875,
≥1,2000,average_rank,2.0,
≥1,2000,chartqa_relaxed_overall,0.6296,0.0096601689190934
≥1,2000,docvqa_val_anls,0.6827112292156415,0.005909694544631059
≥1,2000,infovqa_val_anls,0.26248215166111283,0.006999241957900095
≥1,2000,mme_total_score,1316.5322128851542,
≥1,2000,mmmu_val_mmmu_acc,0.29556,
≥1,2000,mmstar_average,0.351185684854186,
≥1,2000,ocrbench_ocrbench_accuracy,0.557,
≥1,2000,seedbench_seed_all,0.5579766536964981,
≥1,2000,textvqa_val_exact_match,0.5636800000000001,0.006720565803631728
≥1,3000,ai2d_exact_match,0.47085492227979275,0.008983852707691605
≥1,3000,average,0.48291385198510484,
≥1,3000,average_rank,2.7,
≥1,3000,chartqa_relaxed_overall,0.6416,0.00959252743718011
≥1,3000,docvqa_val_anls,0.680081009037435,0.005963713977526521
≥1,3000,infovqa_val_anls,0.2758757523314467,0.007145074435929658
≥1,3000,mme_total_score,1338.268607442977,
≥1,3000,mmmu_val_mmmu_acc,0.26889,
≥1,3000,mmstar_average,0.34908867626840856,
≥1,3000,ocrbench_ocrbench_accuracy,0.542,
≥1,3000,seedbench_seed_all,0.5577543079488605,
≥1,3000,textvqa_val_exact_match,0.56008,0.00674696843305253
≥1,4000,ai2d_exact_match,0.48218911917098445,0.008993442748995703
≥1,4000,average,0.49172515123492716,
≥1,4000,average_rank,2.3,
≥1,4000,chartqa_relaxed_overall,0.6488,0.009548816468986266
≥1,4000,docvqa_val_anls,0.6902890941626307,0.005912204920631156
≥1,4000,infovqa_val_anls,0.26986279043614175,0.007091114226807192
≥1,4000,mme_total_score,1322.6090436174468,
≥1,4000,mmmu_val_mmmu_acc,0.31,
≥1,4000,mmstar_average,0.35470222226954573,
≥1,4000,ocrbench_ocrbench_accuracy,0.542,
≥1,4000,seedbench_seed_all,0.5576431350750417,
≥1,4000,textvqa_val_exact_match,0.57004,0.006721660198430491
≥1,5000,ai2d_exact_match,0.48704663212435234,0.008996133680935945
≥1,5000,average,0.4922453953675835,
≥1,5000,average_rank,2.3,
≥1,5000,chartqa_relaxed_overall,0.6524,0.009526069199715017
≥1,5000,docvqa_val_anls,0.7021575420936199,0.005829944728253253
≥1,5000,infovqa_val_anls,0.2714850202382579,0.0071017460136769345
≥1,5000,mme_total_score,1372.0063025210084,
≥1,5000,mmmu_val_mmmu_acc,0.28444,
≥1,5000,mmstar_average,0.34918092027225467,
≥1,5000,ocrbench_ocrbench_accuracy,0.553,
≥1,5000,seedbench_seed_all,0.5571984435797666,
≥1,5000,textvqa_val_exact_match,0.5733,0.0066972526186883305
≥1,6000,ai2d_exact_match,0.4838082901554404,0.008994434238637761
≥1,6000,average,0.4949352825546263,
≥1,6000,average_rank,2.3,
≥1,6000,chartqa_relaxed_overall,0.6484,0.009551307082635064
≥1,6000,docvqa_val_anls,0.7034964362890477,0.00583650860725618
≥1,6000,infovqa_val_anls,0.2724245614355471,0.0071074877022118095
≥1,6000,mme_total_score,1406.1297519007603,
≥1,6000,mmmu_val_mmmu_acc,0.30333,
≥1,6000,mmstar_average,0.3537726186468994,
≥1,6000,ocrbench_ocrbench_accuracy,0.551,
≥1,6000,seedbench_seed_all,0.5621456364647026,
≥1,6000,textvqa_val_exact_match,0.57604,0.006696965995935035
≥1,7000,ai2d_exact_match,0.49158031088082904,0.008997878107766406
≥1,7000,average,0.5010900439307898,
≥1,7000,average_rank,1.9,
≥1,7000,chartqa_relaxed_overall,0.6564,0.009500090351500593
≥1,7000,docvqa_val_anls,0.7105997601562098,0.005781434620670767
≥1,7000,infovqa_val_anls,0.29338120425035286,0.007415977951206446
≥1,7000,mme_total_score,1362.5676270508204,
≥1,7000,mmmu_val_mmmu_acc,0.30778,
≥1,7000,mmstar_average,0.34667048751606516,
≥1,7000,ocrbench_ocrbench_accuracy,0.555,
≥1,7000,seedbench_seed_all,0.569538632573652,
≥1,7000,textvqa_val_exact_match,0.57886,0.006701104464206482
≥1,8000,ai2d_exact_match,0.48704663212435234,0.008996133680935945
≥1,8000,average,0.5012874693126343,
≥1,8000,average_rank,2.4,
≥1,8000,chartqa_relaxed_overall,0.66,0.009476070829586857
≥1,8000,docvqa_val_anls,0.7013710839567656,0.00584567154399218
≥1,8000,infovqa_val_anls,0.2843596286067672,0.00726326016667778
≥1,8000,mme_total_score,1366.6049419767905,
≥1,8000,mmmu_val_mmmu_acc,0.29778,
≥1,8000,mmstar_average,0.3726316801263804,
≥1,8000,ocrbench_ocrbench_accuracy,0.568,
≥1,8000,seedbench_seed_all,0.5647581989994441,
≥1,8000,textvqa_val_exact_match,0.5756399999999999,0.006701275960583923
≥1,9000,ai2d_exact_match,0.5080958549222798,0.008997974381217102
≥1,9000,average,0.5049424624827252,
≥1,9000,average_rank,1.9,
≥1,9000,chartqa_relaxed_overall,0.6644,0.009445885130487209
≥1,9000,docvqa_val_anls,0.7114743939854425,0.005784207378273765
≥1,9000,infovqa_val_anls,0.27927629692536604,0.007234508289873752
≥1,9000,mme_total_score,1385.721988795518,
≥1,9000,mmmu_val_mmmu_acc,0.30333,
≥1,9000,mmstar_average,0.35371044141416225,
≥1,9000,ocrbench_ocrbench_accuracy,0.572,
≥1,9000,seedbench_seed_all,0.5673151750972762,
≥1,9000,textvqa_val_exact_match,0.58488,0.006674247990391685
≥1,10000,ai2d_exact_match,0.5006476683937824,0.008999146569435552
≥1,10000,average,0.5082439013030791,
≥1,10000,average_rank,2.1,
≥1,10000,chartqa_relaxed_overall,0.66,0.009476070829586857
≥1,10000,docvqa_val_anls,0.7160888537676756,0.005756158349745215
≥1,10000,infovqa_val_anls,0.29920594326668903,0.0074179476099996864
≥1,10000,mme_total_score,1331.7510004001601,
≥1,10000,mmmu_val_mmmu_acc,0.31222,
≥1,10000,mmstar_average,0.34770435280317685,
≥1,10000,ocrbench_ocrbench_accuracy,0.572,
≥1,10000,seedbench_seed_all,0.5709282934963869,
≥1,10000,textvqa_val_exact_match,0.5954,0.006639803114330983
≥1,11000,ai2d_exact_match,0.506800518134715,0.008998321712163856
≥1,11000,average,0.5113045470128461,
≥1,11000,average_rank,2.4,
≥1,11000,chartqa_relaxed_overall,0.6648,0.009443095510537233
≥1,11000,docvqa_val_anls,0.7219007936057111,0.005738025679608452
≥1,11000,infovqa_val_anls,0.2919206859707748,0.007295238934448537
≥1,11000,mme_total_score,1423.2838135254103,
≥1,11000,mmmu_val_mmmu_acc,0.32,
≥1,11000,mmstar_average,0.34837257743331856,
≥1,11000,ocrbench_ocrbench_accuracy,0.584,
≥1,11000,seedbench_seed_all,0.567426347971095,
≥1,11000,textvqa_val_exact_match,0.5965199999999999,0.006637830223651069
≥1,12000,ai2d_exact_match,0.4957901554404145,0.0089988351333547
≥1,12000,average,0.5133063005116858,
≥1,12000,average_rank,2.0,
≥1,12000,chartqa_relaxed_overall,0.6752,0.00936787525721462
≥1,12000,docvqa_val_anls,0.7317458509080867,0.005677899397993261
≥1,12000,infovqa_val_anls,0.30244398410320705,0.0074372299260171675
≥1,12000,mme_total_score,1358.8711484593837,
≥1,12000,mmmu_val_mmmu_acc,0.30222,
≥1,12000,mmstar_average,0.36151764800560426,
≥1,12000,ocrbench_ocrbench_accuracy,0.571,
≥1,12000,seedbench_seed_all,0.5743190661478599,
≥1,12000,textvqa_val_exact_match,0.6055199999999998,0.006601107546780982
≥1,13000,ai2d_exact_match,0.5029145077720207,0.008999001233939133
≥1,13000,average,0.5113232076887448,
≥1,13000,average_rank,2.2,
≥1,13000,chartqa_relaxed_overall,0.6764,0.009358859508536295
≥1,13000,docvqa_val_anls,0.7299154645021083,0.005686391180628681
≥1,13000,infovqa_val_anls,0.28296895663700367,0.007106598521793854
≥1,13000,mme_total_score,1461.5425170068027,
≥1,13000,mmmu_val_mmmu_acc,0.28444,
≥1,13000,mmstar_average,0.3679555656349867,
≥1,13000,ocrbench_ocrbench_accuracy,0.575,
≥1,13000,seedbench_seed_all,0.5738743746525847,
≥1,13000,textvqa_val_exact_match,0.60844,0.006603822784953804
≥1,14000,ai2d_exact_match,0.508419689119171,0.00899787810776641
≥1,14000,average,0.5204248423941521,
≥1,14000,average_rank,1.5,
≥1,14000,chartqa_relaxed_overall,0.6748,0.009370864914387439
≥1,14000,docvqa_val_anls,0.7348023413497262,0.005658144612389036
≥1,14000,infovqa_val_anls,0.30339204212390886,0.007452040139655917
≥1,14000,mme_total_score,1421.6612645058024,
≥1,14000,mmmu_val_mmmu_acc,0.32333,
≥1,14000,mmstar_average,0.3578816768256025,
≥1,14000,ocrbench_ocrbench_accuracy,0.59,
≥1,14000,seedbench_seed_all,0.5760978321289605,
≥1,14000,textvqa_val_exact_match,0.6151,0.006568548330143662
≥1,15000,ai2d_exact_match,0.5123056994818653,0.008996428218289524
≥1,15000,average,0.518135626255078,
≥1,15000,average_rank,1.8,
≥1,15000,chartqa_relaxed_overall,0.6768,0.009355838641547569
≥1,15000,docvqa_val_anls,0.7406818231641893,0.00561534943093856
≥1,15000,infovqa_val_anls,0.2993680664172523,0.007344080406067735
≥1,15000,mme_total_score,1410.685474189676,
≥1,15000,mmmu_val_mmmu_acc,0.31778,
≥1,15000,mmstar_average,0.34818335740471335,
≥1,15000,ocrbench_ocrbench_accuracy,0.581,
≥1,15000,seedbench_seed_all,0.575041689827682,
≥1,15000,textvqa_val_exact_match,0.61206,0.006579602534644686
≥1,16000,ai2d_exact_match,0.5148963730569949,0.008995159373289019
≥1,16000,average,0.5188529848530237,
≥1,16000,average_rank,2.2,
≥1,16000,chartqa_relaxed_overall,0.6768,0.009355838641547569
≥1,16000,docvqa_val_anls,0.7381040832460759,0.005632273383411858
≥1,16000,infovqa_val_anls,0.30209162600532213,0.007372809699325085
≥1,16000,mme_total_score,1390.1362545018007,
≥1,16000,mmmu_val_mmmu_acc,0.31111,
≥1,16000,mmstar_average,0.35327018992913145,
≥1,16000,ocrbench_ocrbench_accuracy,0.581,
≥1,16000,seedbench_seed_all,0.5762645914396887,
≥1,16000,textvqa_val_exact_match,0.6161399999999999,0.006566896139347796
≥1,17000,ai2d_exact_match,0.5148963730569949,0.008995159373289019
≥1,17000,average,0.5197229023161958,
≥1,17000,average_rank,2.4,
≥1,17000,chartqa_relaxed_overall,0.6808,0.009325198535746702
≥1,17000,docvqa_val_anls,0.7415371461870564,0.005606416638789011
≥1,17000,infovqa_val_anls,0.31757741607819345,0.0075605614362149656
≥1,17000,mme_total_score,1349.7522008803521,
≥1,17000,mmmu_val_mmmu_acc,0.29556,
≥1,17000,mmstar_average,0.3467129398314668,
≥1,17000,ocrbench_ocrbench_accuracy,0.589,
≥1,17000,seedbench_seed_all,0.5760422456920511,
≥1,17000,textvqa_val_exact_match,0.6153799999999999,0.0065759668329423305
≥1,18000,ai2d_exact_match,0.5113341968911918,0.008996841687150462
≥1,18000,average,0.5217542622446647,
≥1,18000,average_rank,2.1,
≥1,18000,chartqa_relaxed_overall,0.686,0.00928418431696466
≥1,18000,docvqa_val_anls,0.7485976064804745,0.005545760483304357
≥1,18000,infovqa_val_anls,0.3079394168596966,0.007506515528281936
≥1,18000,mme_total_score,1386.236494597839,
≥1,18000,mmmu_val_mmmu_acc,0.30889,
≥1,18000,mmstar_average,0.36329690094894107,
≥1,18000,ocrbench_ocrbench_accuracy,0.58,
≥1,18000,seedbench_seed_all,0.5744302390216787,
≥1,18000,textvqa_val_exact_match,0.6153,0.006569673821646289
≥1,19000,ai2d_exact_match,0.5116580310880829,0.008996707642249475
≥1,19000,average,0.5243525940235553,
≥1,19000,average_rank,1.6,
≥1,19000,chartqa_relaxed_overall,0.6896,0.009254998541285659
≥1,19000,docvqa_val_anls,0.7410075109051968,0.005624845495160182
≥1,19000,infovqa_val_anls,0.31451986671246684,0.00754441993362511
≥1,19000,mme_total_score,1379.0539215686274,
≥1,19000,mmmu_val_mmmu_acc,0.30889,
≥1,19000,mmstar_average,0.36379458008546134,
≥1,19000,ocrbench_ocrbench_accuracy,0.594,
≥1,19000,seedbench_seed_all,0.5780433574207893,
≥1,19000,textvqa_val_exact_match,0.61766,0.006552511881896322
≥2,1000,ai2d_exact_match,0.47765544041450775,0.00899016344465196
≥2,1000,average,0.48208320918746633,
≥2,1000,average_rank,2.7,
≥2,1000,chartqa_relaxed_overall,0.626,0.009679208378267924
≥2,1000,docvqa_val_anls,0.6830886615719474,0.005941664313882304
≥2,1000,infovqa_val_anls,0.2636626226113445,0.007012099858086531
≥2,1000,mme_total_score,1394.7869147659064,
≥2,1000,mmmu_val_mmmu_acc,0.28111,
≥2,1000,mmstar_average,0.3621500124529322,
≥2,1000,ocrbench_ocrbench_accuracy,0.53,
≥2,1000,seedbench_seed_all,0.5518621456364647,
