consumed_tokens,11/04/2025_14:07:07_elie-48n-1004-part1-resume1104-farsi-change_tp_group_0 - _step,11/04/2025_14:07:07_elie-48n-1004-part1-resume1104-farsi-change_tp_group_0 - _step__MIN,11/04/2025_14:07:07_elie-48n-1004-part1-resume1104-farsi-change_tp_group_0 - _step__MAX,11/04/2025_14:07:07_elie-48n-1004-part1-resume1104-farsi-change_tp_group_0 - lm_loss,11/04/2025_14:07:07_elie-48n-1004-part1-resume1104-farsi-change_tp_group_0 - lm_loss__MIN,11/04/2025_14:07:07_elie-48n-1004-part1-resume1104-farsi-change_tp_group_0 - lm_loss__MAX,10/04/2025_21:06:56_elie-48n-1004-part1_tp_group_0 - _step,10/04/2025_21:06:56_elie-48n-1004-part1_tp_group_0 - _step__MIN,10/04/2025_21:06:56_elie-48n-1004-part1_tp_group_0 - _step__MAX,10/04/2025_21:06:56_elie-48n-1004-part1_tp_group_0 - lm_loss,10/04/2025_21:06:56_elie-48n-1004-part1_tp_group_0 - lm_loss__MIN,10/04/2025_21:06:56_elie-48n-1004-part1_tp_group_0 - lm_loss__MAX
9437184,,,,,,,4,4,4,12.174397468566895,12.174397468566895,12.174397468566895
122683392,,,,,,,52,52,52,9.771706581115723,9.771706581115723,9.771706581115723
141557760,,,,,,,60,60,60,9.578605651855469,9.578605651855469,9.578605651855469
169869312,,,,,,,72,72,72,9.219314575195312,9.219314575195312,9.219314575195312
193462272,,,,,,,82,82,82,9.006930351257324,9.006930351257324,9.006930351257324
198180864,,,,,,,84,84,84,8.964831352233887,8.964831352233887,8.964831352233887
266600448,,,,,,,113,113,113,8.383803367614746,8.383803367614746,8.383803367614746
290193408,,,,,,,123,123,123,8.174689292907715,8.174689292907715,8.174689292907715
330301440,,,,,,,140,140,140,7.857190132141113,7.857190132141113,7.857190132141113
346816512,,,,,,,147,147,147,7.757302761077881,7.757302761077881,7.757302761077881
375128064,,,,,,,159,159,159,7.570293426513672,7.570293426513672,7.570293426513672
448266240,,,,,,,190,190,190,7.175827503204346,7.175827503204346,7.175827503204346
464781312,,,,,,,197,197,197,7.145612716674805,7.145612716674805,7.145612716674805
467140608,,,,,,,198,198,198,7.122246742248535,7.122246742248535,7.122246742248535
476577792,,,,,,,202,202,202,7.072052001953125,7.072052001953125,7.072052001953125
488374272,,,,,,,207,207,207,7.004755973815918,7.004755973815918,7.004755973815918
511967232,,,,,,,217,217,217,6.9538068771362305,6.9538068771362305,6.9538068771362305
523763712,,,,,,,222,222,222,6.900271892547607,6.900271892547607,6.900271892547607
528482304,,,,,,,224,224,224,6.918119430541992,6.918119430541992,6.918119430541992
