run_name,step,throughput
3B-nanotron-old-nn1-fwedu-32k,0,126.75561940419112
3B-nanotron-old-nn1-fwedu-,0,116.55848390207883
3B-nanotron-old-nn1-fwedu-32k,3,7269.141308444116
3B-nanotron-old-nn1-fwedu-,3,15531.940637037422
3B-nanotron-old-nn1-fwedu-32k,5,2953.401770106235
3B-nanotron-old-nn1-fwedu-,5,15529.890763230338
3B-nanotron-old-nn1-fwedu-32k,9,15561.776420800405
3B-nanotron-old-nn1-fwedu-,9,15493.038766559552
3B-nanotron-old-nn1-fwedu-,10,15467.484588517962
3B-nanotron-old-nn1-fwedu-32k,12,15518.911160331989
3B-nanotron-old-nn1-fwedu-,12,15511.335505458504
3B-nanotron-old-nn1-fwedu-,14,15460.58976029604
3B-nanotron-old-nn1-fwedu-32k,15,15628.27336647822
3B-nanotron-old-nn1-fwedu-,15,15489.527975130011
3B-nanotron-old-nn1-fwedu-,17,15441.431633544533
3B-nanotron-old-nn1-fwedu-,18,15465.284628218207
3B-nanotron-old-nn1-fwedu-,20,15470.669605936171
3B-nanotron-old-nn1-fwedu-,22,15405.255626966396
3B-nanotron-old-nn1-fwedu-,23,15491.557893901558
3B-nanotron-old-nn1-fwedu-,25,15460.376424936212
3B-nanotron-old-nn1-fwedu-32k,26,15588.633444134255
3B-nanotron-old-nn1-fwedu-,26,15493.7187589058
3B-nanotron-old-nn1-fwedu-32k,27,15588.425990102454
3B-nanotron-old-nn1-fwedu-,27,15486.260737252584
3B-nanotron-old-nn1-fwedu-32k,28,15572.167470056434
3B-nanotron-old-nn1-fwedu-,28,15497.073019011572
3B-nanotron-old-nn1-fwedu-32k,29,15619.577520244387
3B-nanotron-old-nn1-fwedu-,29,15418.021079233797
3B-nanotron-old-nn1-fwedu-32k,30,15609.104214732512
3B-nanotron-old-nn1-fwedu-,30,15482.976272473616
3B-nanotron-old-nn1-fwedu-,31,15422.422455505344
3B-nanotron-old-nn1-fwedu-32k,32,15542.966814879865
3B-nanotron-old-nn1-fwedu-,32,15434.633962802069
3B-nanotron-old-nn1-fwedu-,34,15475.90033612446
3B-nanotron-old-nn1-fwedu-32k,35,15626.368546190915
3B-nanotron-old-nn1-fwedu-,35,15490.617360804292
3B-nanotron-old-nn1-fwedu-,36,15491.865221549788
3B-nanotron-old-nn1-fwedu-,37,15452.46862171565
3B-nanotron-old-nn1-fwedu-,38,15436.862199347295
3B-nanotron-old-nn1-fwedu-32k,39,15579.6519707775
3B-nanotron-old-nn1-fwedu-,39,15464.375122869807
3B-nanotron-old-nn1-fwedu-32k,40,15456.43541775878
3B-nanotron-old-nn1-fwedu-,40,15530.836071590647
3B-nanotron-old-nn1-fwedu-,41,15491.064332589733
3B-nanotron-old-nn1-fwedu-,45,15451.254892484949
3B-nanotron-old-nn1-fwedu-,46,15419.912348170748
3B-nanotron-old-nn1-fwedu-,47,15391.306966635191
3B-nanotron-old-nn1-fwedu-,49,15430.853904568694
3B-nanotron-old-nn1-fwedu-32k,50,15611.06156996256
3B-nanotron-old-nn1-fwedu-,50,15375.15409637318
3B-nanotron-old-nn1-fwedu-,52,15385.756619000507
3B-nanotron-old-nn1-fwedu-,55,15439.03558074761
3B-nanotron-old-nn1-fwedu-,56,15406.876634639011
3B-nanotron-old-nn1-fwedu-32k,57,15576.374851307048
3B-nanotron-old-nn1-fwedu-,57,15356.417461756151
3B-nanotron-old-nn1-fwedu-,58,15477.65709370991
3B-nanotron-old-nn1-fwedu-32k,60,15528.67419906502
3B-nanotron-old-nn1-fwedu-,60,15357.149576915352
3B-nanotron-old-nn1-fwedu-32k,61,15568.300943529592
3B-nanotron-old-nn1-fwedu-,61,15419.42334148688
3B-nanotron-old-nn1-fwedu-,62,15294.251155238127
3B-nanotron-old-nn1-fwedu-32k,63,15498.564267508338
3B-nanotron-old-nn1-fwedu-,63,15394.47907840312
3B-nanotron-old-nn1-fwedu-,64,15425.745913223682
3B-nanotron-old-nn1-fwedu-,65,15383.892086279398
3B-nanotron-old-nn1-fwedu-32k,67,15569.627199747694
3B-nanotron-old-nn1-fwedu-,67,15456.48177086926
3B-nanotron-old-nn1-fwedu-,68,15388.797787149271
3B-nanotron-old-nn1-fwedu-32k,69,15478.735512826366
3B-nanotron-old-nn1-fwedu-,69,15323.2072400773
3B-nanotron-old-nn1-fwedu-32k,75,15537.418981721536
3B-nanotron-old-nn1-fwedu-,75,15438.240144642494
3B-nanotron-old-nn1-fwedu-,76,15388.384264675058
3B-nanotron-old-nn1-fwedu-,80,15408.101826983098
3B-nanotron-old-nn1-fwedu-32k,81,15405.209580594908
3B-nanotron-old-nn1-fwedu-,81,15474.682923314163
3B-nanotron-old-nn1-fwedu-32k,82,15474.478491091748
3B-nanotron-old-nn1-fwedu-,82,15287.138048000912
3B-nanotron-old-nn1-fwedu-,83,15419.79240026424
3B-nanotron-old-nn1-fwedu-32k,84,15515.556782734193
3B-nanotron-old-nn1-fwedu-,84,15390.635933735552
3B-nanotron-old-nn1-fwedu-,87,15372.723543591876
3B-nanotron-old-nn1-fwedu-32k,88,15503.62733255564
3B-nanotron-old-nn1-fwedu-,88,15397.33049722344
3B-nanotron-old-nn1-fwedu-,89,15411.197917887652
3B-nanotron-old-nn1-fwedu-32k,90,15462.500765630626
3B-nanotron-old-nn1-fwedu-,90,15379.8614644103
3B-nanotron-old-nn1-fwedu-32k,92,15378.273667325484
3B-nanotron-old-nn1-fwedu-,92,15346.67782450699
3B-nanotron-old-nn1-fwedu-32k,93,15431.52844914054
3B-nanotron-old-nn1-fwedu-,93,15384.838073495548
3B-nanotron-old-nn1-fwedu-,97,15374.851381867798
3B-nanotron-old-nn1-fwedu-,98,15375.933870450954
3B-nanotron-old-nn1-fwedu-32k,99,15508.731040326618
3B-nanotron-old-nn1-fwedu-,99,15477.415399695134
3B-nanotron-old-nn1-fwedu-32k,102,15399.170682910912
3B-nanotron-old-nn1-fwedu-,102,15254.994036477296
3B-nanotron-old-nn1-fwedu-32k,103,15409.622073300608
3B-nanotron-old-nn1-fwedu-,103,15429.772908178082
3B-nanotron-old-nn1-fwedu-32k,105,15360.985170605396
3B-nanotron-old-nn1-fwedu-,105,15369.074571890184
3B-nanotron-old-nn1-fwedu-32k,106,15493.560399192187
3B-nanotron-old-nn1-fwedu-,106,15363.631839983307
3B-nanotron-old-nn1-fwedu-,108,15387.189769023207
3B-nanotron-old-nn1-fwedu-,109,15488.280490868636
3B-nanotron-old-nn1-fwedu-,110,15390.608358292746
3B-nanotron-old-nn1-fwedu-32k,111,15416.425393684183
3B-nanotron-old-nn1-fwedu-,111,15407.162188371778
