run_name,step,throughput
With drops,1,44.69169249042097
Without drops,1,1952.231979954811
With drops,2,6899.002802992214
Without drops,2,11402.5529063457
With drops,3,9049.701668711674
Without drops,3,13478.0224844625
With drops,4,13331.755674704757
Without drops,4,13817.78178998742
With drops,5,11314.321342344469
Without drops,5,13318.416339862524
With drops,6,9983.022060826006
Without drops,6,14206.857038897975
With drops,7,11571.610844258044
Without drops,7,13828.258788416371
With drops,8,11253.007604680624
Without drops,8,13931.039357513087
With drops,9,10669.511246545424
Without drops,9,14020.529746110593
With drops,10,13174.092990276044
Without drops,10,13958.922308824413
With drops,11,13305.110541682692
Without drops,11,13859.561705368322
With drops,12,12085.919855249254
Without drops,12,13794.482473326185
With drops,13,13240.134702056166
Without drops,13,13772.718893299898
With drops,14,10904.719353040968
Without drops,14,13731.76013304509
With drops,15,13465.486538329902
Without drops,15,13895.35845984119
With drops,16,13727.268879133597
Without drops,16,13929.819433137978
With drops,17,13324.924197305523
Without drops,17,13982.606403724383
With drops,18,13196.5719254493
Without drops,18,13929.676369586265
With drops,19,13568.446291026172
Without drops,19,13943.446517250071
With drops,20,13619.410305168016
Without drops,20,13975.92552624343
With drops,21,13542.491414877935
Without drops,21,13931.75484466002
With drops,22,13422.912349329656
Without drops,22,13516.71363336435
With drops,23,11459.42402548574
Without drops,23,13872.49896157337
With drops,24,11283.294631527788
Without drops,24,13867.780856181893
With drops,25,13513.134256134836
Without drops,25,13911.591232553694
With drops,26,13533.395115126636
Without drops,26,13701.963684468545
With drops,27,13570.73279671393
Without drops,27,13996.35981944178
With drops,28,13773.410848420775
Without drops,28,13896.654788180904
With drops,29,13836.931182623646
Without drops,29,13961.697833401056
With drops,30,13664.872301670925
Without drops,30,13767.35491998365
With drops,31,13596.250939003176
Without drops,31,13931.574083074333
With drops,32,13676.729838743917
Without drops,32,13920.684325957169
With drops,33,13161.62505477668
Without drops,33,13873.63417473052
With drops,34,13486.51509669073
Without drops,34,13994.254424759538
With drops,35,13929.638721771593
Without drops,35,13858.570397717647
With drops,36,13767.259304056272
Without drops,36,13993.56289901914
With drops,37,13951.010184260844
Without drops,37,13892.729080016152
With drops,38,13751.94848823471
Without drops,38,13547.239998780373
With drops,39,13785.000380334104
Without drops,39,13495.65447928739
With drops,40,14009.584311755583
Without drops,40,13876.966201764117
With drops,41,13871.020475655285
Without drops,41,13954.25103006116
With drops,42,13895.268550082124
Without drops,42,13936.07945734862
With drops,43,13949.47716182004
Without drops,43,13922.707463697763
With drops,44,13959.935587705846
Without drops,44,13949.620632387618
With drops,45,13874.29895815443
Without drops,45,13817.981838625978
With drops,46,13914.783733888127
Without drops,46,13919.75944398321
With drops,47,13880.045640221308
Without drops,47,13957.085170822593
With drops,48,14027.283887824422
Without drops,48,13917.1208222667
With drops,49,13881.137225539764
Without drops,49,13870.341075199134
With drops,50,13808.408230452676
Without drops,50,13984.435089097866
With drops,51,13512.099779515667
Without drops,51,13699.494372638654
With drops,52,13854.20436961815
Without drops,52,13930.399247093215
With drops,53,13881.443797500677
Without drops,53,13735.66127612034
With drops,54,13859.233738267694
Without drops,54,13997.4089528696
With drops,55,13999.713036836312
Without drops,55,13841.048434370534
With drops,56,13496.806609243262
Without drops,56,13933.607921400226
With drops,57,13270.2568774647
Without drops,57,13911.193211588325
With drops,58,13801.271834640544
Without drops,58,13643.298757693274
With drops,59,13789.63280127527
Without drops,59,13858.123237673732
With drops,60,13819.789948318848
Without drops,60,13786.040191133645
With drops,61,13429.137842785653
Without drops,61,13900.59021373736
With drops,62,13801.10922560567
Without drops,62,13936.44121908285
With drops,63,13669.308310758735
Without drops,63,13857.98164300879
With drops,64,13926.243725711976
Without drops,64,13870.206696179876
With drops,65,13829.564891850046
Without drops,65,13786.917884021015
With drops,66,13673.88505571474
Without drops,66,13892.73656971328
With drops,67,13727.37856531022
Without drops,67,13909.774039208913
With drops,68,13816.737185642707
Without drops,68,13406.153235006925
With drops,69,13913.94227370774
Without drops,69,13877.907826725705
With drops,70,13899.937903428949
Without drops,70,13933.057973208532
With drops,71,13800.924447262609
Without drops,71,13913.491533330272
With drops,72,13567.839067460633
Without drops,72,13961.470909859245
With drops,73,13565.27504028291
Without drops,73,13827.323888614344
With drops,74,13796.402616036285
Without drops,74,13661.214036858522
With drops,75,13680.599772253709
Without drops,75,13942.028299773743
With drops,76,13759.562902825352
Without drops,76,13890.040800486398
With drops,77,13722.130219055216
Without drops,77,13776.208822614324
