Step,throughput_drops,throughput_no_drops
1,44.69169249042097,1952.231979954811
2,6899.002802992214,11402.5529063457
3,9049.701668711674,13478.0224844625
4,13331.755674704757,13817.78178998742
5,11314.321342344469,13318.416339862524
6,9983.022060826006,14206.857038897975
7,11571.610844258044,13828.258788416371
8,11253.007604680624,13931.039357513087
9,10669.511246545424,14020.529746110593
10,13174.092990276044,13958.922308824413
11,13305.110541682692,13859.561705368322
12,12085.919855249254,13794.482473326185
13,13240.134702056166,13772.718893299898
14,10904.719353040968,13731.76013304509
15,13465.486538329902,13895.35845984119
16,13727.268879133597,13929.819433137978
17,13324.924197305523,13982.606403724383
18,13196.5719254493,13929.676369586265
19,13568.446291026172,13943.446517250071
20,13619.410305168016,13975.92552624343
21,13542.491414877935,13931.75484466002
22,13422.912349329656,13516.71363336435
23,11459.42402548574,13872.49896157337
24,11283.294631527788,13867.780856181893
25,13513.134256134836,13911.591232553694
26,13533.395115126636,13701.963684468545
27,13570.73279671393,13996.35981944178
28,13773.410848420775,13896.654788180904
29,13836.931182623646,13961.697833401056
30,13664.872301670925,13767.35491998365
31,13596.250939003176,13931.574083074333
32,13676.729838743917,13920.684325957169
33,13161.62505477668,13873.63417473052
34,13486.51509669073,13994.254424759538
35,13929.638721771593,13858.570397717647
36,13767.259304056272,13993.56289901914
37,13951.010184260844,13892.729080016152
38,13751.94848823471,13547.239998780373
39,13785.000380334104,13495.65447928739
40,14009.584311755583,13876.966201764117
41,13871.020475655285,13954.25103006116
42,13895.268550082124,13936.07945734862
43,13949.47716182004,13922.707463697763
44,13959.935587705846,13949.620632387618
45,13874.29895815443,13817.981838625978
46,13914.783733888127,13919.75944398321
47,13880.045640221308,13957.085170822593
48,14027.283887824422,13917.1208222667
49,13881.137225539764,13870.341075199134
50,13808.408230452676,13984.435089097866
51,13512.099779515667,13699.494372638654
52,13854.20436961815,13930.399247093215
53,13881.443797500677,13735.66127612034
54,13859.233738267694,13997.4089528696
55,13999.713036836312,13841.048434370534
56,13496.806609243262,13933.607921400226
57,13270.2568774647,13911.193211588325
58,13801.271834640544,13643.298757693274
59,13789.63280127527,13858.123237673732
60,13819.789948318848,13786.040191133645
61,13429.137842785653,13900.59021373736
62,13801.10922560567,13936.44121908285
63,13669.308310758735,13857.98164300879
64,13926.243725711976,13870.206696179876
65,13829.564891850046,13786.917884021015
66,13673.88505571474,13892.73656971328
67,13727.37856531022,13909.774039208913
68,13816.737185642707,13406.153235006925
69,13913.94227370774,13877.907826725705
70,13899.937903428949,13933.057973208532
71,13800.924447262609,13913.491533330272
72,13567.839067460633,13961.470909859245
73,13565.27504028291,13827.323888614344
74,13796.402616036285,13661.214036858522
75,13680.599772253709,13942.028299773743
76,13759.562902825352,13890.040800486398
77,13722.130219055216,13776.208822614324
78,13645.36489635639,13884.08386761692
79,13817.944792144785,13367.238643596203
80,13395.212605006636,13983.59277210423
81,13798.722270354208,13951.7352777483
82,13247.676254554726,13752.65303665374
83,13773.1973654885,13946.306460647247
84,13659.302376959333,13758.666651717283
85,13696.516357815046,13895.733096361737
86,13786.180319475896,13887.41343257763
87,13759.702493424444,13709.683289540397
88,13873.141230406798,13841.9554508016
89,13647.75690813724,13951.32740338754
90,13664.444799358607,13906.163588885996
91,13332.797211111472,13836.596856378574
92,13764.266461563113,13929.992619263969
93,13777.83658837424,13757.102165278668
94,13789.138429663622,13749.233716344266
95,13844.96730048482,13720.048074307111
