"Step","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MIN","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MAX"
"1","44.69169249042097","44.69169249042097","44.69169249042097"
"2","6899.002802992214","6899.002802992214","6899.002802992214"
"3","9049.701668711674","9049.701668711674","9049.701668711674"
"4","13331.755674704755","13331.755674704755","13331.755674704755"
"5","11314.321342344467","11314.321342344467","11314.321342344467"
"6","9983.022060826006","9983.022060826006","9983.022060826006"
"7","11571.610844258044","11571.610844258044","11571.610844258044"
"8","11253.007604680623","11253.007604680623","11253.007604680623"
"9","10669.511246545424","10669.511246545424","10669.511246545424"
"10","13174.092990276045","13174.092990276045","13174.092990276045"
"11","13305.110541682692","13305.110541682692","13305.110541682692"
"12","12085.919855249254","12085.919855249254","12085.919855249254"
"13","13240.134702056166","13240.134702056166","13240.134702056166"
"14","10904.719353040968","10904.719353040968","10904.719353040968"
"15","13465.486538329902","13465.486538329902","13465.486538329902"
"16","13727.268879133595","13727.268879133595","13727.268879133595"
"17","13324.924197305523","13324.924197305523","13324.924197305523"
"18","13196.5719254493","13196.5719254493","13196.5719254493"
"19","13568.446291026172","13568.446291026172","13568.446291026172"
"20","13619.410305168016","13619.410305168016","13619.410305168016"
"21","13542.491414877935","13542.491414877935","13542.491414877935"
"22","13422.912349329657","13422.912349329657","13422.912349329657"
"23","11459.424025485741","11459.424025485741","11459.424025485741"
"24","11283.294631527788","11283.294631527788","11283.294631527788"
"25","13513.134256134836","13513.134256134836","13513.134256134836"
"26","13533.395115126637","13533.395115126637","13533.395115126637"
"27","13570.73279671393","13570.73279671393","13570.73279671393"
"28","13773.410848420775","13773.410848420775","13773.410848420775"
"29","13836.931182623646","13836.931182623646","13836.931182623646"
"30","13664.872301670925","13664.872301670925","13664.872301670925"
"31","13596.250939003177","13596.250939003177","13596.250939003177"
"32","13676.729838743917","13676.729838743917","13676.729838743917"
"33","13161.625054776681","13161.625054776681","13161.625054776681"
"34","13486.51509669073","13486.51509669073","13486.51509669073"
"35","13929.638721771591","13929.638721771591","13929.638721771591"
"36","13767.259304056272","13767.259304056272","13767.259304056272"
"37","13951.010184260844","13951.010184260844","13951.010184260844"
"38","13751.94848823471","13751.94848823471","13751.94848823471"
"39","13785.000380334104","13785.000380334104","13785.000380334104"
"40","14009.584311755583","14009.584311755583","14009.584311755583"
"41","13871.020475655285","13871.020475655285","13871.020475655285"
"42","13895.268550082123","13895.268550082123","13895.268550082123"
"43","13949.47716182004","13949.47716182004","13949.47716182004"
"44","13959.935587705846","13959.935587705846","13959.935587705846"
"45","13874.29895815443","13874.29895815443","13874.29895815443"
"46","13914.783733888129","13914.783733888129","13914.783733888129"
"47","13880.045640221308","13880.045640221308","13880.045640221308"
"48","14027.283887824422","14027.283887824422","14027.283887824422"
"49","13881.137225539764","13881.137225539764","13881.137225539764"
"50","13808.408230452675","13808.408230452675","13808.408230452675"
"51","13512.099779515667","13512.099779515667","13512.099779515667"
"52","13854.20436961815","13854.20436961815","13854.20436961815"
"53","13881.443797500675","13881.443797500675","13881.443797500675"
"54","13859.233738267694","13859.233738267694","13859.233738267694"
"55","13999.713036836312","13999.713036836312","13999.713036836312"
"56","13496.806609243262","13496.806609243262","13496.806609243262"
"57","13270.256877464699","13270.256877464699","13270.256877464699"
"58","13801.271834640545","13801.271834640545","13801.271834640545"
"59","13789.63280127527","13789.63280127527","13789.63280127527"
"60","13819.789948318847","13819.789948318847","13819.789948318847"
"61","13429.137842785653","13429.137842785653","13429.137842785653"
"62","13801.10922560567","13801.10922560567","13801.10922560567"
"63","13669.308310758735","13669.308310758735","13669.308310758735"
"64","13926.243725711976","13926.243725711976","13926.243725711976"
"65","13829.564891850046","13829.564891850046","13829.564891850046"
"66","13673.88505571474","13673.88505571474","13673.88505571474"
"67","13727.378565310219","13727.378565310219","13727.378565310219"
"68","13816.737185642707","13816.737185642707","13816.737185642707"
"69","13913.94227370774","13913.94227370774","13913.94227370774"
"70","13899.937903428947","13899.937903428947","13899.937903428947"
"71","13800.924447262609","13800.924447262609","13800.924447262609"
"72","13567.839067460633","13567.839067460633","13567.839067460633"
"73","13565.27504028291","13565.27504028291","13565.27504028291"
"74","13796.402616036285","13796.402616036285","13796.402616036285"
"75","13680.599772253707","13680.599772253707","13680.599772253707"
"76","13759.562902825352","13759.562902825352","13759.562902825352"
"77","13722.130219055216","13722.130219055216","13722.130219055216"
"78","13645.36489635639","13645.36489635639","13645.36489635639"
"79","13817.944792144785","13817.944792144785","13817.944792144785"
"80","13395.212605006636","13395.212605006636","13395.212605006636"
"81","13798.722270354207","13798.722270354207","13798.722270354207"
"82","13247.676254554726","13247.676254554726","13247.676254554726"
"83","13773.197365488499","13773.197365488499","13773.197365488499"
"84","13659.302376959333","13659.302376959333","13659.302376959333"
"85","13696.516357815046","13696.516357815046","13696.516357815046"
"86","13786.180319475896","13786.180319475896","13786.180319475896"
"87","13759.702493424445","13759.702493424445","13759.702493424445"
"88","13873.141230406798","13873.141230406798","13873.141230406798"
"89","13647.75690813724","13647.75690813724","13647.75690813724"
"90","13664.444799358609","13664.444799358609","13664.444799358609"
"91","13332.797211111472","13332.797211111472","13332.797211111472"
"92","13764.266461563113","13764.266461563113","13764.266461563113"
"93","13777.836588374239","13777.836588374239","13777.836588374239"
"94","13789.138429663622","13789.138429663622","13789.138429663622"
"95","13844.967300484821","13844.967300484821","13844.967300484821"
"96","13850.317493401299","13850.317493401299","13850.317493401299"
"97","13619.165581141671","13619.165581141671","13619.165581141671"
"98","13663.61160901519","13663.61160901519","13663.61160901519"
"99","13817.596564931133","13817.596564931133","13817.596564931133"
"100","13818.115207603078","13818.115207603078","13818.115207603078"
"101","13580.416108804362","13580.416108804362","13580.416108804362"
"102","13949.877376558614","13949.877376558614","13949.877376558614"
"103","13882.475773359989","13882.475773359989","13882.475773359989"
"104","13270.325213500922","13270.325213500922","13270.325213500922"
"105","13935.958874277441","13935.958874277441","13935.958874277441"
"106","13912.75538684719","13912.75538684719","13912.75538684719"
"107","13914.91146441924","13914.91146441924","13914.91146441924"
"108","13898.40109246471","13898.40109246471","13898.40109246471"
"109","13871.386334238901","13871.386334238901","13871.386334238901"
"110","13922.128289850438","13922.128289850438","13922.128289850438"
"111","13663.662322044953","13663.662322044953","13663.662322044953"
