"Step","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu__MIN","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu__MAX"
"0","1952.2319799548113","1952.2319799548113","1952.2319799548113"
"1","11402.5529063457","11402.5529063457","11402.5529063457"
"2","13478.022484462499","13478.022484462499","13478.022484462499"
"3","13817.78178998742","13817.78178998742","13817.78178998742"
"4","13318.416339862524","13318.416339862524","13318.416339862524"
"5","14206.857038897977","14206.857038897977","14206.857038897977"
"6","13828.258788416371","13828.258788416371","13828.258788416371"
"7","13931.039357513087","13931.039357513087","13931.039357513087"
"8","14020.529746110593","14020.529746110593","14020.529746110593"
"9","13958.922308824413","13958.922308824413","13958.922308824413"
"10","13859.561705368322","13859.561705368322","13859.561705368322"
"11","13794.482473326183","13794.482473326183","13794.482473326183"
"12","13772.718893299898","13772.718893299898","13772.718893299898"
"13","13731.76013304509","13731.76013304509","13731.76013304509"
"14","13895.35845984119","13895.35845984119","13895.35845984119"
"15","13929.819433137978","13929.819433137978","13929.819433137978"
"16","13982.606403724383","13982.606403724383","13982.606403724383"
"17","13929.676369586263","13929.676369586263","13929.676369586263"
"18","13943.446517250073","13943.446517250073","13943.446517250073"
"19","13975.92552624343","13975.92552624343","13975.92552624343"
"20","13931.754844660021","13931.754844660021","13931.754844660021"
"21","13516.71363336435","13516.71363336435","13516.71363336435"
"22","13872.49896157337","13872.49896157337","13872.49896157337"
"23","13867.780856181891","13867.780856181891","13867.780856181891"
"24","13911.591232553694","13911.591232553694","13911.591232553694"
"25","13701.963684468545","13701.963684468545","13701.963684468545"
"26","13996.359819441781","13996.359819441781","13996.359819441781"
"27","13896.654788180904","13896.654788180904","13896.654788180904"
"28","13961.697833401056","13961.697833401056","13961.697833401056"
"29","13767.35491998365","13767.35491998365","13767.35491998365"
"30","13931.574083074333","13931.574083074333","13931.574083074333"
"31","13920.684325957169","13920.684325957169","13920.684325957169"
"32","13873.63417473052","13873.63417473052","13873.63417473052"
"33","13994.254424759538","13994.254424759538","13994.254424759538"
"34","13858.570397717647","13858.570397717647","13858.570397717647"
"35","13993.56289901914","13993.56289901914","13993.56289901914"
"36","13892.729080016152","13892.729080016152","13892.729080016152"
"37","13547.239998780371","13547.239998780371","13547.239998780371"
"38","13495.65447928739","13495.65447928739","13495.65447928739"
"39","13876.966201764117","13876.966201764117","13876.966201764117"
"40","13954.251030061161","13954.251030061161","13954.251030061161"
"41","13936.07945734862","13936.07945734862","13936.07945734862"
"42","13922.707463697763","13922.707463697763","13922.707463697763"
"43","13949.620632387618","13949.620632387618","13949.620632387618"
"44","13817.981838625978","13817.981838625978","13817.981838625978"
"45","13919.75944398321","13919.75944398321","13919.75944398321"
"46","13957.085170822591","13957.085170822591","13957.085170822591"
"47","13917.1208222667","13917.1208222667","13917.1208222667"
"48","13870.341075199134","13870.341075199134","13870.341075199134"
"49","13984.435089097866","13984.435089097866","13984.435089097866"
"50","13699.494372638654","13699.494372638654","13699.494372638654"
"51","13930.399247093215","13930.399247093215","13930.399247093215"
"52","13735.661276120341","13735.661276120341","13735.661276120341"
"53","13997.408952869599","13997.408952869599","13997.408952869599"
"54","13841.048434370534","13841.048434370534","13841.048434370534"
"55","13933.607921400226","13933.607921400226","13933.607921400226"
"56","13911.193211588323","13911.193211588323","13911.193211588323"
"57","13643.298757693274","13643.298757693274","13643.298757693274"
"58","13858.123237673732","13858.123237673732","13858.123237673732"
"59","13786.040191133643","13786.040191133643","13786.040191133643"
"60","13900.590213737361","13900.590213737361","13900.590213737361"
"61","13936.44121908285","13936.44121908285","13936.44121908285"
"62","13857.98164300879","13857.98164300879","13857.98164300879"
"63","13870.206696179877","13870.206696179877","13870.206696179877"
"64","13786.917884021017","13786.917884021017","13786.917884021017"
"65","13892.73656971328","13892.73656971328","13892.73656971328"
"66","13909.774039208913","13909.774039208913","13909.774039208913"
"67","13406.153235006923","13406.153235006923","13406.153235006923"
"68","13877.907826725705","13877.907826725705","13877.907826725705"
"69","13933.057973208532","13933.057973208532","13933.057973208532"
"70","13913.491533330272","13913.491533330272","13913.491533330272"
"71","13961.470909859245","13961.470909859245","13961.470909859245"
"72","13827.323888614344","13827.323888614344","13827.323888614344"
"73","13661.214036858522","13661.214036858522","13661.214036858522"
"74","13942.028299773745","13942.028299773745","13942.028299773745"
"75","13890.040800486398","13890.040800486398","13890.040800486398"
"76","13776.208822614324","13776.208822614324","13776.208822614324"
"77","13884.08386761692","13884.08386761692","13884.08386761692"
"78","13367.238643596203","13367.238643596203","13367.238643596203"
