run_name,tokens,loss
"Tied embeddings (16 layers, baseline)",58195968.0,9.440255165100098
"Tied embeddings (16 layers, baseline)",202899456.0,6.981451988220215
"Tied embeddings (16 layers, baseline)",295698432.0,6.2934770584106445
"Tied embeddings (16 layers, baseline)",297271296.0,6.2419586181640625
"Tied embeddings (16 layers, baseline)",341311488.0,6.087305545806885
"Tied embeddings (16 layers, baseline)",567803904.0,5.217591285705566
"Tied embeddings (16 layers, baseline)",828899328.0,4.471127510070801
"Tied embeddings (16 layers, baseline)",1063256064.0,3.8630409240722656
"Tied embeddings (16 layers, baseline)",1123024896.0,3.763535976409912
"Tied embeddings (16 layers, baseline)",1185939456.0,3.7077999114990234
"Tied embeddings (16 layers, baseline)",1255145472.0,3.611525058746338
"Tied embeddings (16 layers, baseline)",1270874112.0,3.576805591583252
"Tied embeddings (16 layers, baseline)",1354235904.0,3.5672850608825684
"Tied embeddings (16 layers, baseline)",1491075072.0,3.4376461505889893
"Tied embeddings (16 layers, baseline)",1558708224.0,3.472886085510254
"Tied embeddings (16 layers, baseline)",1706557440.0,3.304523468017578
"Tied embeddings (16 layers, baseline)",1752170496.0,3.2976441383361816
"Tied embeddings (16 layers, baseline)",1988100096.0,3.170661687850952
"Tied embeddings (16 layers, baseline)",2093481984.0,3.2027883529663086
"Tied embeddings (16 layers, baseline)",2112356352.0,3.1308863162994385
"Tied embeddings (16 layers, baseline)",2389180416.0,3.0966145992279053
"Tied embeddings (16 layers, baseline)",2404909056.0,3.164820671081543
"Tied embeddings (16 layers, baseline)",2411200512.0,3.133058547973633
"Tied embeddings (16 layers, baseline)",2623537152.0,3.009819746017456
"Tied embeddings (16 layers, baseline)",2629828608.0,2.9487457275390625
"Tied embeddings (16 layers, baseline)",2639265792.0,3.007776975631714
"Tied embeddings (16 layers, baseline)",2677014528.0,3.0396790504455566
"Tied embeddings (16 layers, baseline)",2730491904.0,3.010589838027954
"Tied embeddings (16 layers, baseline)",2750939136.0,2.9864635467529297
"Tied embeddings (16 layers, baseline)",2864185344.0,2.963388442993164
"Tied embeddings (16 layers, baseline)",2947547136.0,2.9610254764556885
"Tied embeddings (16 layers, baseline)",2961702912.0,2.9435179233551025
"Tied embeddings (16 layers, baseline)",2967994368.0,2.9192185401916504
"Tied embeddings (16 layers, baseline)",3027763200.0,2.9517412185668945
"Tied embeddings (16 layers, baseline)",3057647616.0,2.9585773944854736
"Tied embeddings (16 layers, baseline)",3073376256.0,2.951212167739868
"Tied embeddings (16 layers, baseline)",3107979264.0,2.924609661102295
"Tied embeddings (16 layers, baseline)",3263692800.0,2.90286922454834
"Tied embeddings (16 layers, baseline)",3378511872.0,2.8782615661621094
"Tied embeddings (16 layers, baseline)",3465019392.0,2.8486862182617188
"Tied embeddings (16 layers, baseline)",3493330944.0,2.864572048187256
"Tied embeddings (16 layers, baseline)",3527933952.0,2.848179340362549
"Tied embeddings (16 layers, baseline)",3601858560.0,2.8870654106140137
"Tied embeddings (16 layers, baseline)",3686793216.0,2.842069625854492
"Tied embeddings (16 layers, baseline)",3866099712.0,2.83030366897583
"Tied embeddings (16 layers, baseline)",3936878592.0,2.7682623863220215
"Tied embeddings (16 layers, baseline)",4065853440.0,2.7881019115448
"Tied embeddings (16 layers, baseline)",4188536832.0,2.774003505706787
"Tied embeddings (16 layers, baseline)",4191682560.0,2.7329442501068115
"Tied embeddings (16 layers, baseline)",4212129792.0,2.8320980072021484
"Tied embeddings (16 layers, baseline)",4243587072.0,2.7317705154418945
"Tied embeddings (16 layers, baseline)",4298637312.0,2.7303466796875
"Tied embeddings (16 layers, baseline)",4481089536.0,2.736124038696289
"Tied embeddings (16 layers, baseline)",4547149824.0,2.7448506355285645
"Tied embeddings (16 layers, baseline)",4668260352.0,2.716869354248047
"Tied embeddings (16 layers, baseline)",4690280448.0,2.6887283325195312
"Tied embeddings (16 layers, baseline)",4817682432.0,2.6673712730407715
"Tied embeddings (16 layers, baseline)",4860149760.0,2.704995632171631
"Tied embeddings (16 layers, baseline)",5103943680.0,2.6875391006469727
"Tied embeddings (16 layers, baseline)",5168431104.0,2.6634440422058105
"Tied embeddings (16 layers, baseline)",5272240128.0,2.673863410949707
"Tied embeddings (16 layers, baseline)",5426380800.0,2.6855051517486572
"Tied embeddings (16 layers, baseline)",5429526528.0,2.6400394439697266
"Tied embeddings (16 layers, baseline)",5545918464.0,2.612807273864746
"Tied embeddings (16 layers, baseline)",5869928448.0,2.6539499759674072
"Tied embeddings (16 layers, baseline)",6294601728.0,2.616908073425293
"Tied embeddings (16 layers, baseline)",6297747456.0,2.6128058433532715
"Tied embeddings (16 layers, baseline)",6439305216.0,2.587801456451416
"Tied embeddings (16 layers, baseline)",6535249920.0,2.601496934890747
"Tied embeddings (16 layers, baseline)",6604455936.0,2.6273579597473145
"Tied embeddings (16 layers, baseline)",6705119232.0,2.619947910308838
"Tied embeddings (16 layers, baseline)",6925320192.0,2.57071590423584
"Tied embeddings (16 layers, baseline)",6989807616.0,2.5648465156555176
"Tied embeddings (16 layers, baseline)",7030702080.0,2.575998067855835
"Tied embeddings (16 layers, baseline)",7246184448.0,2.538079261779785
"Tied embeddings (16 layers, baseline)",7335837696.0,2.561680793762207
"Tied embeddings (16 layers, baseline)",7497842688.0,2.601498603820801
"Tied embeddings (16 layers, baseline)",7628390400.0,2.5336358547210693
"Tied embeddings (16 layers, baseline)",7791968256.0,2.549487590789795
"Tied embeddings (16 layers, baseline)",7842299904.0,2.533903121948242
"Tied embeddings (16 layers, baseline)",7897350144.0,2.5311615467071533
"Tied embeddings (16 layers, baseline)",7933526016.0,2.5663599967956543
"Tied embeddings (16 layers, baseline)",7961837568.0,2.5646791458129883
"Tied embeddings (16 layers, baseline)",8133279744.0,2.4959843158721924
"Tied embeddings (16 layers, baseline)",8304721920.0,2.533855438232422
"Tied embeddings (16 layers, baseline)",8460435456.0,2.5249385833740234
"Tied embeddings (16 layers, baseline)",8660189184.0,2.4827353954315186
"Tied embeddings (16 layers, baseline)",8886681600.0,2.501396656036377
"Tied embeddings (16 layers, baseline)",8949596160.0,2.5184903144836426
"Tied embeddings (16 layers, baseline)",9037676544.0,2.5153167247772217
"Tied embeddings (16 layers, baseline)",9412018176.0,2.466740369796753
"Tied embeddings (16 layers, baseline)",9515827200.0,2.470625400543213
"Tied embeddings (16 layers, baseline)",9578741760.0,2.493527889251709
"Tied embeddings (16 layers, baseline)",9618063360.0,2.507216453552246
"Tied embeddings (16 layers, baseline)",9674686464.0,2.4884848594665527
"Tied embeddings (16 layers, baseline)",9767485440.0,2.4597582817077637
"Tied embeddings (16 layers, baseline)",10113515520.0,2.41581130027771
"Tied embeddings (16 layers, baseline)",10245636096.0,2.4840691089630127
