bucket,FineWeb-Edu,DCLM,FineMath,Python-Edu
0-1k,69.11,67.656,60.07599999999999,91.636
1-2k,21.602,19.158,22.5635,5.906000000000001
2-3k,4.8759999999999994,5.856999999999999,7.509,1.38
3-4k,1.8290000000000002,2.471,3.444,0.473
4-5k,0.8290000000000001,1.2489999999999999,1.9574999999999998,0.246
5-6k,0.47200000000000003,0.8240000000000001,1.1365,0.13899999999999998
6-7k,0.281,0.608,0.7575000000000001,0.065
7-8k,0.233,0.40800000000000003,0.58,0.046
8-9k,0.16,0.327,0.3895,0.032
9-10k,0.127,0.24,0.2695,0.018000000000000002
10-11k,0.08,0.217,0.194,0.006
11-12k,0.06899999999999999,0.158,0.1635,0.008
12-13k,0.053,0.145,0.1495,0.009000000000000001
13-14k,0.045,0.14200000000000002,0.11950000000000001,0.004
14-15k,0.034999999999999996,0.07200000000000001,0.091,0.002
15-16k,0.027999999999999997,0.061,0.07150000000000001,0.001
16k+,0.17099999999999999,0.407,0.528,0.029
