Step,TP2 after fix,TP2 after fix__MIN,TP2 after fix__MAX,TP2,TP=2__MIN,TP=2__MAX,TP1,TP=1__MIN,TP=1__MAX
1,11.18962287902832,11.18962287902832,11.18962287902832,,,,,,
2,,,,11.231038093566895,11.231038093566895,11.231038093566895,11.19151782989502,11.19151782989502,11.19151782989502
3,11.183610916137695,11.183610916137695,11.183610916137695,11.228050231933594,11.228050231933594,11.228050231933594,11.186816215515137,11.186816215515137,11.186816215515137
4,,,,11.212546348571777,11.212546348571777,11.212546348571777,11.161072731018066,11.161072731018066,11.161072731018066
5,,,,11.159126281738281,11.159126281738281,11.159126281738281,11.077779769897461,11.077779769897461,11.077779769897461
6,10.803980827331543,10.803980827331543,10.803980827331543,10.976743698120117,10.976743698120117,10.976743698120117,10.792694091796875,10.792694091796875,10.792694091796875
7,,,,10.624781608581543,10.624781608581543,10.624781608581543,,,
8,,,,10.335526466369629,10.335526466369629,10.335526466369629,,,
9,,,,9.923125267028809,9.923125267028809,9.923125267028809,9.539200782775879,9.539200782775879,9.539200782775879
10,9.471823692321777,9.471823692321777,9.471823692321777,9.841405868530273,9.841405868530273,9.841405868530273,9.47927188873291,9.47927188873291,9.47927188873291
11,9.254319190979004,9.254319190979004,9.254319190979004,9.703315734863281,9.703315734863281,9.703315734863281,9.271188735961914,9.271188735961914,9.271188735961914
12,9.06572151184082,9.06572151184082,9.06572151184082,9.433798789978027,9.433798789978027,9.433798789978027,,,
13,,,,9.310646057128906,9.310646057128906,9.310646057128906,,,
14,8.825233459472656,8.825233459472656,8.825233459472656,9.217519760131836,9.217519760131836,9.217519760131836,,,
15,,,,9.131752967834473,9.131752967834473,9.131752967834473,,,
16,8.692541122436523,8.692541122436523,8.692541122436523,9.069881439208984,9.069881439208984,9.069881439208984,8.675790786743164,8.675790786743164,8.675790786743164
17,,,,8.994574546813965,8.994574546813965,8.994574546813965,8.60010814666748,8.60010814666748,8.60010814666748
18,8.599806785583496,8.599806785583496,8.599806785583496,8.91773509979248,8.91773509979248,8.91773509979248,8.56467342376709,8.56467342376709,8.56467342376709
19,,,,8.787583351135254,8.787583351135254,8.787583351135254,,,
20,8.490175247192383,8.490175247192383,8.490175247192383,8.801324844360352,8.801324844360352,8.801324844360352,,,
21,8.428422927856445,8.428422927856445,8.428422927856445,8.72158145904541,8.72158145904541,8.72158145904541,8.377519607543945,8.377519607543945,8.377519607543945
22,,,,8.657142639160156,8.657142639160156,8.657142639160156,,,
23,8.321442604064941,8.321442604064941,8.321442604064941,8.622603416442871,8.622603416442871,8.622603416442871,8.276004791259766,8.276004791259766,8.276004791259766
24,,,,8.5547456741333,8.5547456741333,8.5547456741333,8.252710342407227,8.252710342407227,8.252710342407227
25,,,,8.559161186218262,8.559161186218262,8.559161186218262,8.251667022705078,8.251667022705078,8.251667022705078
26,8.216691970825195,8.216691970825195,8.216691970825195,8.522774696350098,8.522774696350098,8.522774696350098,8.177555084228516,8.177555084228516,8.177555084228516
27,,,,8.403420448303223,8.403420448303223,8.403420448303223,8.096916198730469,8.096916198730469,8.096916198730469
28,,,,8.391193389892578,8.391193389892578,8.391193389892578,8.094378471374512,8.094378471374512,8.094378471374512
29,8.012151718139648,8.012151718139648,8.012151718139648,8.325728416442871,8.325728416442871,8.325728416442871,8.000592231750488,8.000592231750488,8.000592231750488
30,,,,8.290427207946777,8.290427207946777,8.290427207946777,7.992721080780029,7.992721080780029,7.992721080780029
31,7.958861351013184,7.958861351013184,7.958861351013184,8.233015060424805,8.233015060424805,8.233015060424805,,,
32,7.967220306396484,7.967220306396484,7.967220306396484,8.223686218261719,8.223686218261719,8.223686218261719,,,
33,,,,8.22368335723877,8.22368335723877,8.22368335723877,,,
34,7.88849401473999,7.88849401473999,7.88849401473999,,,,,,
35,,,,8.103841781616211,8.103841781616211,8.103841781616211,7.773110866546631,7.773110866546631,7.773110866546631
36,7.732856750488281,7.732856750488281,7.732856750488281,8.049878120422363,8.049878120422363,8.049878120422363,,,
37,,,,7.945918560028076,7.945918560028076,7.945918560028076,,,
38,7.661957263946533,7.661957263946533,7.661957263946533,7.938906192779541,7.938906192779541,7.938906192779541,7.629945755004883,7.629945755004883,7.629945755004883
39,,,,,,,7.54074764251709,7.54074764251709,7.54074764251709
40,,,,7.832634925842285,7.832634925842285,7.832634925842285,,,
41,7.498693943023682,7.498693943023682,7.498693943023682,7.785158634185791,7.785158634185791,7.785158634185791,7.474944114685059,7.474944114685059,7.474944114685059
42,7.402105331420898,7.402105331420898,7.402105331420898,7.688924312591553,7.688924312591553,7.688924312591553,7.375597953796387,7.375597953796387,7.375597953796387
43,,,,7.729312896728516,7.729312896728516,7.729312896728516,7.43285608291626,7.43285608291626,7.43285608291626
44,7.3810906410217285,7.3810906410217285,7.3810906410217285,7.635656356811523,7.635656356811523,7.635656356811523,7.348841667175293,7.348841667175293,7.348841667175293
45,,,,7.64546012878418,7.64546012878418,7.64546012878418,,,
46,,,,7.540976524353027,7.540976524353027,7.540976524353027,,,
47,,,,7.528212547302246,7.528212547302246,7.528212547302246,,,
48,,,,7.476100444793701,7.476100444793701,7.476100444793701,7.230646133422852,7.230646133422852,7.230646133422852
49,7.230456352233887,7.230456352233887,7.230456352233887,7.424361228942871,7.424361228942871,7.424361228942871,7.233973503112793,7.233973503112793,7.233973503112793
50,,,,,,,7.147549629211426,7.147549629211426,7.147549629211426
51,,,,,,,7.09473991394043,7.09473991394043,7.09473991394043
52,,,,7.330356121063232,7.330356121063232,7.330356121063232,,,
53,,,,7.261747360229492,7.261747360229492,7.261747360229492,7.049427032470703,7.049427032470703,7.049427032470703
54,7.018054962158203,7.018054962158203,7.018054962158203,7.21001672744751,7.21001672744751,7.21001672744751,6.993644714355469,6.993644714355469,6.993644714355469
55,,,,7.265796184539795,7.265796184539795,7.265796184539795,7.034182548522949,7.034182548522949,7.034182548522949
56,,,,7.101995944976807,7.101995944976807,7.101995944976807,,,
57,6.935450553894043,6.935450553894043,6.935450553894043,7.096438884735107,7.096438884735107,7.096438884735107,6.900075912475586,6.900075912475586,6.900075912475586
58,6.899194240570068,6.899194240570068,6.899194240570068,7.072531223297119,7.072531223297119,7.072531223297119,6.876156806945801,6.876156806945801,6.876156806945801
59,6.901161193847656,6.901161193847656,6.901161193847656,,,,6.862785816192627,6.862785816192627,6.862785816192627
60,,,,6.996726036071777,6.996726036071777,6.996726036071777,6.80738639831543,6.80738639831543,6.80738639831543
61,6.845705032348633,6.845705032348633,6.845705032348633,6.996844291687012,6.996844291687012,6.996844291687012,6.821455001831055,6.821455001831055,6.821455001831055
62,6.767329692840576,6.767329692840576,6.767329692840576,6.9314751625061035,6.9314751625061035,6.9314751625061035,6.753626346588135,6.753626346588135,6.753626346588135
63,,,,6.873409748077393,6.873409748077393,6.873409748077393,,,
64,6.8158369064331055,6.8158369064331055,6.8158369064331055,6.967884063720703,6.967884063720703,6.967884063720703,6.789653778076172,6.789653778076172,6.789653778076172
65,,,,6.893922805786133,6.893922805786133,6.893922805786133,6.73911190032959,6.73911190032959,6.73911190032959
66,,,,6.821209907531738,6.821209907531738,6.821209907531738,6.630587577819824,6.630587577819824,6.630587577819824
67,,,,6.862578868865967,6.862578868865967,6.862578868865967,6.696805000305176,6.696805000305176,6.696805000305176
68,,,,6.767511367797852,6.767511367797852,6.767511367797852,6.587072849273682,6.587072849273682,6.587072849273682
69,6.633934020996094,6.633934020996094,6.633934020996094,6.793151378631592,6.793151378631592,6.793151378631592,,,
70,,,,6.828988075256348,6.828988075256348,6.828988075256348,6.630034446716309,6.630034446716309,6.630034446716309
71,,,,6.797440528869629,6.797440528869629,6.797440528869629,6.573030471801758,6.573030471801758,6.573030471801758
72,6.5404181480407715,6.5404181480407715,6.5404181480407715,6.714161396026611,6.714161396026611,6.714161396026611,,,
73,,,,6.695011138916016,6.695011138916016,6.695011138916016,6.481127738952637,6.481127738952637,6.481127738952637
74,,,,6.656310081481934,6.656310081481934,6.656310081481934,6.474225997924805,6.474225997924805,6.474225997924805
