Step,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MIN,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MAX
1,48.933076914968815,48.933076914968815,48.933076914968815
2,10259.055576876222,10259.055576876222,10259.055576876222
3,13872.603512912332,13872.603512912332,13872.603512912332
4,13692.92844181577,13692.92844181577,13692.92844181577
5,13725.302137903853,13725.302137903853,13725.302137903853
6,13712.404353521992,13712.404353521992,13712.404353521992
7,13776.356115904035,13776.356115904035,13776.356115904035
8,13644.33174880684,13644.33174880684,13644.33174880684
9,13581.568441190886,13581.568441190886,13581.568441190886
10,13891.48590221764,13891.48590221764,13891.48590221764
11,13771.21744260613,13771.21744260613,13771.21744260613
12,13886.275963411514,13886.275963411514,13886.275963411514
13,13850.429154811032,13850.429154811032,13850.429154811032
14,13893.133535217501,13893.133535217501,13893.133535217501
15,13903.85268386326,13903.85268386326,13903.85268386326
16,13702.269678884839,13702.269678884839,13702.269678884839
17,13689.516935394762,13689.516935394762,13689.516935394762
18,13760.870757366289,13760.870757366289,13760.870757366289
19,13832.266934189147,13832.266934189147,13832.266934189147
20,13219.263324908576,13219.263324908576,13219.263324908576
21,13899.495566906327,13899.495566906327,13899.495566906327
22,13346.24141499203,13346.24141499203,13346.24141499203
23,13712.966209014441,13712.966209014441,13712.966209014441
24,13855.701622156388,13855.701622156388,13855.701622156388
25,13790.444533039792,13790.444533039792,13790.444533039792
26,13831.88828773123,13831.88828773123,13831.88828773123
27,13867.930114140878,13867.930114140878,13867.930114140878
28,13862.01449686206,13862.01449686206,13862.01449686206
29,13793.205136014241,13793.205136014241,13793.205136014241
30,13906.126068060132,13906.126068060132,13906.126068060132
31,13819.3897521232,13819.3897521232,13819.3897521232
32,13748.500178193017,13748.500178193017,13748.500178193017
33,14000.6181485685,14000.6181485685,14000.6181485685
34,13876.465548463804,13876.465548463804,13876.465548463804
35,13737.147660269276,13737.147660269276,13737.147660269276
36,13855.723971660338,13855.723971660338,13855.723971660338
37,13919.706812119797,13919.706812119797,13919.706812119797
38,13860.993016200866,13860.993016200866,13860.993016200866
39,13773.88200658714,13773.88200658714,13773.88200658714
40,13488.26573499046,13488.26573499046,13488.26573499046
41,13895.897942830643,13895.897942830643,13895.897942830643
42,14091.207924820073,14091.207924820073,14091.207924820073
43,13897.711512160187,13897.711512160187,13897.711512160187
44,13748.800919368032,13748.800919368032,13748.800919368032
45,13859.718240592987,13859.718240592987,13859.718240592987
46,13684.123097510077,13684.123097510077,13684.123097510077
47,13913.048333768851,13913.048333768851,13913.048333768851
48,13762.245007209613,13762.245007209613,13762.245007209613
49,13946.60082219004,13946.60082219004,13946.60082219004
50,13777.667164954737,13777.667164954737,13777.667164954737
51,13951.259426645971,13951.259426645971,13951.259426645971
52,13970.326397449868,13970.326397449868,13970.326397449868
53,13740.21663320007,13740.21663320007,13740.21663320007
54,13917.135854314505,13917.135854314505,13917.135854314505
55,13910.569941496351,13910.569941496351,13910.569941496351
56,13428.200152051946,13428.200152051946,13428.200152051946
57,13886.126310287504,13886.126310287504,13886.126310287504
58,13977.153539956686,13977.153539956686,13977.153539956686
59,13903.762664147389,13903.762664147389,13903.762664147389
60,13982.477427378193,13982.477427378193,13982.477427378193
61,13896.295089021629,13896.295089021629,13896.295089021629
62,13922.384023010738,13922.384023010738,13922.384023010738
63,13907.559507484073,13907.559507484073,13907.559507484073
64,13540.150385610867,13540.150385610867,13540.150385610867
65,13477.909697840432,13477.909697840432,13477.909697840432
66,13907.837223635623,13907.837223635623,13907.837223635623
67,13851.240615135217,13851.240615135217,13851.240615135217
68,13854.882190131078,13854.882190131078,13854.882190131078
69,13962.726645983397,13962.726645983397,13962.726645983397
70,13942.963687419855,13942.963687419855,13942.963687419855
71,14048.986892964114,14048.986892964114,14048.986892964114
72,13939.886433146998,13939.886433146998,13939.886433146998
73,13933.93941799271,13933.93941799271,13933.93941799271
74,13920.548969698671,13920.548969698671,13920.548969698671
75,13820.872076316251,13820.872076316251,13820.872076316251
76,13639.846957317064,13639.846957317064,13639.846957317064
77,13950.489069868285,13950.489069868285,13950.489069868285
78,13888.9927282997,13888.9927282997,13888.9927282997
79,13875.613773630319,13875.613773630319,13875.613773630319
80,13859.375358520623,13859.375358520623,13859.375358520623
81,13784.757043010695,13784.757043010695,13784.757043010695
82,14051.39226856739,14051.39226856739,14051.39226856739
83,13683.490944773393,13683.490944773393,13683.490944773393
84,13897.966349083763,13897.966349083763,13897.966349083763
85,14007.688130065391,14007.688130065391,14007.688130065391
86,13996.755126615382,13996.755126615382,13996.755126615382
87,13654.192762427954,13654.192762427954,13654.192762427954
88,13848.27068658282,13848.27068658282,13848.27068658282
89,13982.909886866166,13982.909886866166,13982.909886866166
90,13924.844054067928,13924.844054067928,13924.844054067928
91,13979.185542688916,13979.185542688916,13979.185542688916
92,13841.739837765193,13841.739837765193,13841.739837765193
93,13945.4159039561,13945.4159039561,13945.4159039561
94,13987.645930199107,13987.645930199107,13987.645930199107
95,14020.918791221107,14020.918791221107,14020.918791221107
96,14013.355354643367,14013.355354643367,14013.355354643367
97,13916.384291700868,13916.384291700868,13916.384291700868
98,13986.68176393102,13986.68176393102,13986.68176393102
99,13910.547414707507,13910.547414707507,13910.547414707507
100,13978.89738695152,13978.89738695152,13978.89738695152
101,13845.592144541131,13845.592144541131,13845.592144541131
102,13886.971892813532,13886.971892813532,13886.971892813532
103,14017.921413095568,14017.921413095568,14017.921413095568
104,13764.57524504816,13764.57524504816,13764.57524504816
105,13901.97751390613,13901.97751390613,13901.97751390613
106,14009.005503074992,14009.005503074992,14009.005503074992
107,13896.467442545194,13896.467442545194,13896.467442545194
108,13880.613841291182,13880.613841291182,13880.613841291182
109,13811.220443120064,13811.220443120064,13811.220443120064
110,13869.803574744386,13869.803574744386,13869.803574744386
