run_name,tokens,loss
Cosine (baseline),103809024.0,8.345298767089844
Cosine (baseline),122683392.0,8.024398803710938
Cosine (baseline),169869312.0,7.295576572418213
Cosine (baseline),250085376.0,6.541507720947266
Cosine (baseline),256376832.0,6.566319465637207
Cosine (baseline),270532608.0,6.471525192260742
Cosine (baseline),394788864.0,5.827489852905273
Cosine (baseline),552075264.0,5.217081069946289
Cosine (baseline),566231040.0,5.198441028594971
Cosine (baseline),621281280.0,5.035019874572754
Cosine (baseline),681050112.0,4.884093284606934
Cosine (baseline),761266176.0,4.663566589355469
Cosine (baseline),827326464.0,4.534407615661621
Cosine (baseline),838336512.0,4.4216108322143555
Cosine (baseline),1052246016.0,3.926114559173584
Cosine (baseline),1082130432.0,3.863067865371704
Cosine (baseline),1168637952.0,3.687824010848999
Cosine (baseline),1176502272.0,3.721820831298828
Cosine (baseline),1231552512.0,3.644843101501465
Cosine (baseline),1414004736.0,3.5022950172424316
Cosine (baseline),1432879104.0,3.4752235412597656
Cosine (baseline),1588592640.0,3.3386383056640625
Cosine (baseline),1648361472.0,3.3328137397766113
Cosine (baseline),1870135296.0,3.168048620223999
Cosine (baseline),1898446848.0,3.272601842880249
Cosine (baseline),1922039808.0,3.238125801086426
Cosine (baseline),1940914176.0,3.1679046154022217
Cosine (baseline),1967652864.0,3.248948097229004
Cosine (baseline),2032140288.0,3.171130657196045
Cosine (baseline),2052587520.0,3.112170934677124
Cosine (baseline),2408054784.0,3.188648223876953
Cosine (baseline),2434793472.0,3.1126465797424316
Cosine (baseline),2890924032.0,3.0474867820739746
Cosine (baseline),3310878720.0,2.899728298187256
Cosine (baseline),3340763136.0,2.927206039428711
Cosine (baseline),3370647552.0,2.886168956756592
Cosine (baseline),3721396224.0,2.8193531036376953
Cosine (baseline),3732406272.0,2.8020970821380615
Cosine (baseline),3760717824.0,2.824632167816162
Cosine (baseline),3927441408.0,2.7977652549743652
Cosine (baseline),3977773056.0,2.795513153076172
Cosine (baseline),4051697664.0,2.782339334487915
Cosine (baseline),4245159936.0,2.7364795207977295
Cosine (baseline),4248305664.0,2.7911291122436523
Cosine (baseline),4249878528.0,2.7726845741271973
Cosine (baseline),4262461440.0,2.749018907546997
Cosine (baseline),4287627264.0,2.7284111976623535
Cosine (baseline),4337958912.0,2.755568504333496
Cosine (baseline),4353687552.0,2.8052916526794434
Cosine (baseline),4422893568.0,2.7207961082458496
Cosine (baseline),4454350848.0,2.70644474029541
Cosine (baseline),4510973952.0,2.751946449279785
Cosine (baseline),4621074432.0,2.722540855407715
Cosine (baseline),4869586944.0,2.7231717109680176
Cosine (baseline),4904189952.0,2.7207283973693848
Cosine (baseline),4962385920.0,2.7246253490448
Cosine (baseline),5011144704.0,2.6652472019195557
Cosine (baseline),5096079360.0,2.6762187480926514
Cosine (baseline),5431099392.0,2.6693332195281982
Cosine (baseline),5432672256.0,2.633709669113159
Cosine (baseline),5449973760.0,2.66827392578125
Cosine (baseline),5714214912.0,2.632763624191284
Cosine (baseline),5921832960.0,2.6331310272216797
Cosine (baseline),5923405824.0,2.6180965900421143
Cosine (baseline),6006767616.0,2.600210666656494
Cosine (baseline),6068109312.0,2.6329102516174316
Cosine (baseline),6075973632.0,2.5943851470947266
Cosine (baseline),6094848000.0,2.597233295440674
Cosine (baseline),6102712320.0,2.6455883979797363
Cosine (baseline),6140461056.0,2.621030807495117
Cosine (baseline),6179782656.0,2.574915885925293
Cosine (baseline),6321340416.0,2.621406078338623
Cosine (baseline),6370099200.0,2.614217758178711
Cosine (baseline),6617038848.0,2.5808298587799072
Cosine (baseline),6670516224.0,2.556342124938965
Cosine (baseline),6683099136.0,2.655599355697632
Cosine (baseline),6911164416.0,2.6142945289611816
Cosine (baseline),6959923200.0,2.5346357822418213
Cosine (baseline),6980370432.0,2.5771632194519043
Cosine (baseline),7151812608.0,2.6039137840270996
Cosine (baseline),7165968384.0,2.560976028442383
Cosine (baseline),7217872896.0,2.5572915077209473
Cosine (baseline),7423918080.0,2.5807406902313232
Cosine (baseline),7483686912.0,2.5417776107788086
Cosine (baseline),7523008512.0,2.5763039588928223
Cosine (baseline),7524581376.0,2.5647711753845215
Cosine (baseline),7535591424.0,2.5231242179870605
Cosine (baseline),7699169280.0,2.5694611072540283
Cosine (baseline),7711752192.0,2.546854019165039
Cosine (baseline),7784103936.0,2.553647994995117
Cosine (baseline),7807696896.0,2.530810832977295
Cosine (baseline),7955546112.0,2.5616486072540283
Cosine (baseline),7968129024.0,2.522940158843994
Cosine (baseline),8071938048.0,2.5695886611938477
Cosine (baseline),8164737024.0,2.526561737060547
Cosine (baseline),8194621440.0,2.5381996631622314
Cosine (baseline),8276410368.0,2.5215582847595215
Cosine (baseline),8290566144.0,2.5464563369750977
Cosine (baseline),8410103808.0,2.545884609222412
Cosine (baseline),8436842496.0,2.524249315261841
Cosine (baseline),8463581184.0,2.5017852783203125
Cosine (baseline),8770289664.0,2.4964606761932373
Cosine (baseline),8811184128.0,2.5303781032562256
Cosine (baseline),8979480576.0,2.5140161514282227
Cosine (baseline),8984199168.0,2.5179343223571777
Cosine (baseline),9139912704.0,2.462149143218994
Cosine (baseline),9246867456.0,2.4891672134399414
Cosine (baseline),9256304640.0,2.4808502197265625
Cosine (baseline),9287761920.0,2.524503469467163
Cosine (baseline),9312927744.0,2.4800262451171875
Cosine (baseline),9424601088.0,2.4920201301574707
Cosine (baseline),9459204096.0,2.4691038131713867
Cosine (baseline),9583460352.0,2.504960536956787
Cosine (baseline),9714008064.0,2.5130882263183594
Cosine (baseline),9797369856.0,2.4602179527282715
Cosine (baseline),9849274368.0,2.4752731323242188
Cosine (baseline),9954656256.0,2.477242946624756
Cosine (baseline),10085203968.0,2.4961299896240234
Cosine (baseline),10088349696.0,2.4675278663635254
Cosine (baseline),10094641152.0,2.497433662414551
Cosine (baseline),10104078336.0,2.4691905975341797
Cosine (baseline),10137108480.0,2.49501371383667
Cosine (baseline),10195304448.0,2.524080753326416
Cosine (baseline),10322706432.0,2.4847888946533203
Cosine (baseline),10423369728.0,2.517866611480713
Cosine (baseline),10612113408.0,2.467235565185547
Cosine (baseline),10632560640.0,2.4596445560455322
Cosine (baseline),10637279232.0,2.4537432193756104
Cosine (baseline),11006902272.0,2.4998838901519775
Cosine (baseline),11032068096.0,2.432802677154541
Cosine (baseline),11131158528.0,2.434690475463867
Cosine (baseline),11288444928.0,2.4416770935058594
Cosine (baseline),11483480064.0,2.463517189025879
Cosine (baseline),11563696128.0,2.4211721420288086
Cosine (baseline),11870404608.0,2.4410624504089355
