run_name,tokens,loss
No Z-loss (baseline),416808960.0,5.731218338012695
No Z-loss (baseline),426246144.0,5.672913551330566
No Z-loss (baseline),489160704.0,5.462558746337891
No Z-loss (baseline),578813952.0,5.119006633758545
No Z-loss (baseline),1017643008.0,3.992401599884033
No Z-loss (baseline),1107296256.0,3.8434269428253174
No Z-loss (baseline),1233125376.0,3.632693529129028
No Z-loss (baseline),1484783616.0,3.413907051086426
No Z-loss (baseline),1531969536.0,3.440540313720703
No Z-loss (baseline),1610612736.0,3.3715806007385254
No Z-loss (baseline),1640497152.0,3.4224112033843994
No Z-loss (baseline),1648361472.0,3.3328137397766113
No Z-loss (baseline),1774190592.0,3.3426308631896973
No Z-loss (baseline),1917321216.0,3.2028160095214844
No Z-loss (baseline),2032140288.0,3.171130657196045
No Z-loss (baseline),2049441792.0,3.1333532333374023
No Z-loss (baseline),2079326208.0,3.168691873550415
No Z-loss (baseline),2110783488.0,3.1166276931762695
No Z-loss (baseline),2195718144.0,3.1493897438049316
No Z-loss (baseline),2478833664.0,3.0708746910095215
No Z-loss (baseline),2518155264.0,3.070627212524414
No Z-loss (baseline),2617245696.0,3.070460319519043
No Z-loss (baseline),2728919040.0,2.989501714706421
No Z-loss (baseline),3015180288.0,2.920490264892578
No Z-loss (baseline),3076521984.0,2.9172840118408203
No Z-loss (baseline),3085959168.0,2.9409351348876953
No Z-loss (baseline),3093823488.0,2.9332926273345947
No Z-loss (baseline),3336044544.0,2.9244256019592285
No Z-loss (baseline),3353346048.0,2.9226179122924805
No Z-loss (baseline),3471310848.0,2.8491456508636475
No Z-loss (baseline),3638034432.0,2.811572551727295
No Z-loss (baseline),3664773120.0,2.8252949714660645
No Z-loss (baseline),3675783168.0,2.8404393196105957
No Z-loss (baseline),3947888640.0,2.825807571411133
No Z-loss (baseline),3951034368.0,2.8178086280822754
No Z-loss (baseline),4180672512.0,2.8049182891845703
No Z-loss (baseline),4193255424.0,2.7754242420196533
No Z-loss (baseline),4326948864.0,2.728760242462158
No Z-loss (baseline),4348968960.0,2.743683099746704
No Z-loss (baseline),4363124736.0,2.760695457458496
No Z-loss (baseline),4396154880.0,2.7524423599243164
No Z-loss (baseline),4429185024.0,2.760929584503174
No Z-loss (baseline),4501536768.0,2.7254552841186523
No Z-loss (baseline),4517265408.0,2.7380218505859375
No Z-loss (baseline),4532994048.0,2.747056245803833
No Z-loss (baseline),4551868416.0,2.7220823764801025
No Z-loss (baseline),4665114624.0,2.745781421661377
No Z-loss (baseline),4761059328.0,2.721729278564453
No Z-loss (baseline),5080350720.0,2.6734039783477783
No Z-loss (baseline),5232918528.0,2.6797680854797363
No Z-loss (baseline),5281677312.0,2.6383564472198486
No Z-loss (baseline),5286395904.0,2.670149326324463
No Z-loss (baseline),5437390848.0,2.696173667907715
No Z-loss (baseline),5467275264.0,2.645660400390625
No Z-loss (baseline),5618270208.0,2.6550281047821045
No Z-loss (baseline),5652873216.0,2.62662935256958
No Z-loss (baseline),5756682240.0,2.6076440811157227
No Z-loss (baseline),5895094272.0,2.6094117164611816
No Z-loss (baseline),5940707328.0,2.589996337890625
No Z-loss (baseline),6126305280.0,2.662130355834961
No Z-loss (baseline),6208094208.0,2.6188268661499023
No Z-loss (baseline),6335496192.0,2.566345691680908
No Z-loss (baseline),6395265024.0,2.581899642944336
No Z-loss (baseline),6418857984.0,2.581742286682129
No Z-loss (baseline),6495928320.0,2.6194634437561035
No Z-loss (baseline),6712983552.0,2.5762951374053955
No Z-loss (baseline),6829375488.0,2.6048426628112793
No Z-loss (baseline),6835666944.0,2.527195930480957
No Z-loss (baseline),6934757376.0,2.6014556884765625
No Z-loss (baseline),6983516160.0,2.6042258739471436
No Z-loss (baseline),6997671936.0,2.58522367477417
No Z-loss (baseline),7008681984.0,2.565018653869629
No Z-loss (baseline),7206862848.0,2.5214123725891113
No Z-loss (baseline),7219445760.0,2.572214126586914
No Z-loss (baseline),7241465856.0,2.582316637039185
No Z-loss (baseline),7423918080.0,2.5807406902313232
No Z-loss (baseline),7746355200.0,2.537654399871826
No Z-loss (baseline),7813988352.0,2.574209690093994
No Z-loss (baseline),7861174272.0,2.5096654891967773
No Z-loss (baseline),8012169216.0,2.5776515007019043
No Z-loss (baseline),8068792320.0,2.519090175628662
No Z-loss (baseline),8719958016.0,2.5493898391723633
No Z-loss (baseline),8808038400.0,2.5050435066223145
No Z-loss (baseline),8814329856.0,2.4978997707366943
No Z-loss (baseline),8870952960.0,2.5273666381835938
No Z-loss (baseline),8919711744.0,2.5344486236572266
No Z-loss (baseline),8951169024.0,2.510664939880371
No Z-loss (baseline),8957460480.0,2.512929916381836
No Z-loss (baseline),9070706688.0,2.541766881942749
No Z-loss (baseline),9202827264.0,2.528144598007202
No Z-loss (baseline),9328656384.0,2.470986843109131
No Z-loss (baseline),9369550848.0,2.494224786758423
No Z-loss (baseline),9421455360.0,2.5292582511901855
No Z-loss (baseline),9643229184.0,2.4693825244903564
No Z-loss (baseline),9715580928.0,2.4868156909942627
No Z-loss (baseline),9767485440.0,2.4597582817077637
No Z-loss (baseline),9778495488.0,2.4337317943573
No Z-loss (baseline),9783214080.0,2.4916672706604004
No Z-loss (baseline),9855565824.0,2.454786539077759
No Z-loss (baseline),9866575872.0,2.5039024353027344
No Z-loss (baseline),10094641152.0,2.497433662414551
No Z-loss (baseline),10130817024.0,2.4961769580841064
No Z-loss (baseline),10187440128.0,2.466923952102661
No Z-loss (baseline),10195304448.0,2.524080753326416
No Z-loss (baseline),10346299392.0,2.4641523361206055
No Z-loss (baseline),10508304384.0,2.4715890884399414
No Z-loss (baseline),10626269184.0,2.492598533630371
No Z-loss (baseline),10665590784.0,2.439897060394287
No Z-loss (baseline),10690756608.0,2.470508813858032
No Z-loss (baseline),10816585728.0,2.449299573898315
No Z-loss (baseline),10873208832.0,2.435901641845703
No Z-loss (baseline),10925113344.0,2.442115306854248
No Z-loss (baseline),10953424896.0,2.483398914337158
No Z-loss (baseline),10959716352.0,2.4581265449523926
No Z-loss (baseline),10962862080.0,2.406435251235962
No Z-loss (baseline),10975444992.0,2.483684539794922
No Z-loss (baseline),11000610816.0,2.452205181121826
No Z-loss (baseline),11148460032.0,2.4672532081604004
No Z-loss (baseline),11453595648.0,2.441762685775757
No Z-loss (baseline),11477188608.0,2.4339535236358643
No Z-loss (baseline),11488198656.0,2.4494316577911377
No Z-loss (baseline),11585716224.0,2.4207968711853027
No Z-loss (baseline),11673796608.0,2.4250497817993164
No Z-loss (baseline),11678515200.0,2.427154779434204
No Z-loss (baseline),11746148352.0,2.429872512817383
No Z-loss (baseline),11925454848.0,2.4340295791625977
No Z-loss (baseline),12089032704.0,2.4219372272491455
No Z-loss (baseline),12123635712.0,2.437051296234131
No Z-loss (baseline),12169248768.0,2.4580507278442383
No Z-loss (baseline),12186550272.0,2.492516040802002
No Z-loss (baseline),12218007552.0,2.4416635036468506
No Z-loss (baseline),12282494976.0,2.4595165252685547
No Z-loss (baseline),12428771328.0,2.421424627304077
No Z-loss (baseline),12631670784.0,2.409630537033081
No Z-loss (baseline),12678856704.0,2.439410448074341
No Z-loss (baseline),12820414464.0,2.4271225929260254
No Z-loss (baseline),12870746112.0,2.4216489791870117
No Z-loss (baseline),13035896832.0,2.4499735832214355
No Z-loss (baseline),13161725952.0,2.443942070007324
No Z-loss (baseline),13186891776.0,2.424971580505371
No Z-loss (baseline),13265534976.0,2.4189276695251465
No Z-loss (baseline),13279690752.0,2.434028387069702
No Z-loss (baseline),13359906816.0,2.4197442531585693
No Z-loss (baseline),13427539968.0,2.4105045795440674
No Z-loss (baseline),13473153024.0,2.3964099884033203
No Z-loss (baseline),13543931904.0,2.409054756164551
No Z-loss (baseline),13551796224.0,2.395644426345825
No Z-loss (baseline),13808173056.0,2.4227452278137207
No Z-loss (baseline),13822328832.0,2.4107701778411865
No Z-loss (baseline),13899399168.0,2.4312148094177246
No Z-loss (baseline),13935575040.0,2.387632369995117
No Z-loss (baseline),14088142848.0,2.422100067138672
No Z-loss (baseline),14182514688.0,2.4211695194244385
No Z-loss (baseline),14191951872.0,2.4178619384765625
No Z-loss (baseline),14234419200.0,2.385857582092285
No Z-loss (baseline),14442037248.0,2.4035658836364746
No Z-loss (baseline),14514388992.0,2.435551166534424
No Z-loss (baseline),14548992000.0,2.4205827713012695
No Z-loss (baseline),14846263296.0,2.4173359870910645
No Z-loss (baseline),14976811008.0,2.376481771469116
No Z-loss (baseline),15028715520.0,2.4270386695861816
No Z-loss (baseline),15066464256.0,2.3911609649658203
No Z-loss (baseline),15163981824.0,2.396754264831543
No Z-loss (baseline),15197011968.0,2.388923168182373
No Z-loss (baseline),15280373760.0,2.376891613006592
No Z-loss (baseline),15319695360.0,2.374168872833252
No Z-loss (baseline),15398338560.0,2.352214813232422
No Z-loss (baseline),15432941568.0,2.368276596069336
No Z-loss (baseline),15618539520.0,2.3941516876220703
No Z-loss (baseline),15659433984.0,2.379331111907959
No Z-loss (baseline),15756951552.0,2.361335277557373
No Z-loss (baseline),16183197696.0,2.345715045928955
No Z-loss (baseline),16206790656.0,2.3935892581939697
No Z-loss (baseline),16225665024.0,2.3687007427215576
No Z-loss (baseline),16415981568.0,2.3620758056640625
No Z-loss (baseline),16533946368.0,2.3590617179870605
No Z-loss (baseline),16622026752.0,2.3827483654022217
No Z-loss (baseline),16699097088.0,2.3786113262176514
No Z-loss (baseline),16705388544.0,2.3602685928344727
No Z-loss (baseline),16815489024.0,2.340794563293457
No Z-loss (baseline),16947609600.0,2.3900232315063477
No Z-loss (baseline),17159946240.0,2.3689658641815186
No Z-loss (baseline),17164664832.0,2.356902599334717
No Z-loss (baseline),17336107008.0,2.3484697341918945
No Z-loss (baseline),17391157248.0,2.343137264251709
No Z-loss (baseline),17466654720.0,2.3658885955810547
No Z-loss (baseline),17474519040.0,2.352506637573242
No Z-loss (baseline),17581473792.0,2.385388135910034
No Z-loss (baseline),17696292864.0,2.367748498916626
No Z-loss (baseline),17746624512.0,2.363739013671875
No Z-loss (baseline),17760780288.0,2.3493967056274414
No Z-loss (baseline),17767071744.0,2.371659278869629
No Z-loss (baseline),17828413440.0,2.3833558559417725
No Z-loss (baseline),17870880768.0,2.342895269393921
No Z-loss (baseline),18026594304.0,2.358372688293457
No Z-loss (baseline),18209046528.0,2.346376419067383
No Z-loss (baseline),18246795264.0,2.3897528648376465
No Z-loss (baseline),18254659584.0,2.324826717376709
No Z-loss (baseline),18262523904.0,2.3845620155334473
No Z-loss (baseline),18358468608.0,2.339632034301758
No Z-loss (baseline),18575523840.0,2.312987804412842
No Z-loss (baseline),18753257472.0,2.339592218399048
No Z-loss (baseline),18756403200.0,2.3655052185058594
No Z-loss (baseline),18770558976.0,2.349748373031616
No Z-loss (baseline),18978177024.0,2.321939468383789
No Z-loss (baseline),19146473472.0,2.3374061584472656
No Z-loss (baseline),19443744768.0,2.3453969955444336
No Z-loss (baseline),19456327680.0,2.3742737770080566
No Z-loss (baseline),19531825152.0,2.3421545028686523
No Z-loss (baseline),19763036160.0,2.344849109649658
No Z-loss (baseline),19805503488.0,2.3262667655944824
No Z-loss (baseline),19814940672.0,2.3199753761291504
No Z-loss (baseline),20005257216.0,2.408883571624756
No Z-loss (baseline),20126367744.0,2.3415720462799072
No Z-loss (baseline),20132659200.0,2.30972671508789
No Z-loss (baseline),20437794816.0,2.3371100425720215
No Z-loss (baseline),20565196800.0,2.319007158279419
No Z-loss (baseline),20602945536.0,2.33748197555542
No Z-loss (baseline),20808990720.0,2.32554292678833
